app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.000179,0.000179,16482.000179,0.000179,16482.000179,16482.0,16482.0,8.95
1,6.000179,6.000179,16608.000179,6.000179,16608.000179,16602.0,16602.0,9.619047619047619
2,6.000179,6.000179,16285.000179,6.000179,16285.000179,16279.0,16279.0,9.705882352941176
3,6.000179,6.000179,16793.000179,6.000179,16793.000179,16787.0,16787.0,9.035714285714286
4,10.000179,10.000179,16680.000179,10.000179,16680.000179,16670.000000000004,16670.000000000004,10.75
5,11.000179,11.000179,16669.000179,11.000179,16669.000179,16658.0,16658.0,11.222222222222221
6,12.000179,12.000179,16765.000179,12.000179,16765.000179,16753.0,16753.0,9.958333333333334
7,14.000179,14.000179,16723.000179,14.000179,16723.000179,16709.0,16709.0,10.761904761904763
8,17.000179,17.000179,14597.000179,17.000179,14597.000179,14580.0,14580.0,12.4
9,18.000179,18.000179,16722.000179,18.000179,16722.000179,16704.0,16704.0,11.444444444444445
10,21.000179,21.000179,16707.000179,21.000179,16707.000179,16686.0,16686.0,11.9375
11,22.000179,22.000179,14497.000179,22.000179,14497.000179,14475.0,14475.0,13.666666666666666
12,25.000179,25.000179,16725.000179,25.000179,16725.000179,16700.0,16700.0,10.882352941176471
13,26.000179,26.000179,16593.000179,26.000179,16593.000179,16567.0,16567.0,14.125
14,29.000179,29.000179,16793.000179,29.000179,16793.000179,16764.0,16764.0,9.222222222222221
15,30.000179,30.000179,16689.000179,30.000179,16689.000179,16659.0,16659.0,12.4
16,44102.000179,44102.000179,44248.000179,44102.000179,44248.000179,146.0,146.0,1.0
17,44477.000179,44477.000179,116567.000179,44477.000179,116567.000179,72090.0,72090.0,9.076923076923077
18,44477.000179,44477.000179,116631.000179,44477.000179,116631.000179,72154.0,72154.0,8.964285714285714
19,44488.000179,44488.000179,116731.000179,44488.000179,116731.000179,72243.0,72243.0,8.533333333333333
20,44488.000179,44488.000179,106281.000179,44488.000179,106281.000179,61792.99999999999,61792.99999999999,10.272727272727273
