app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.000161,0.000161,3613015.000161,0.000161,3613015.000161,7578781.398400317,3613015.0,134.24854574299312
1,266564.000161,266564.000161,4146396.000161,266564.000161,4146396.000161,8128298.956430445,3879831.9999999995,134.08083989501313
2,266566.000161,266566.000161,4144152.000161,266566.000161,4144152.000161,8129011.125821072,3877586.0,134.17025748817656
3,289185.000161,289185.000161,4602392.000161,289185.000161,4599472.000161,9006066.467896841,4310287.0,133.7238689547582
4,290070.000161,290070.000161,4603538.000161,290070.000161,4600364.000161,9008637.739339575,4310294.0,133.76183047321894
5,291876.000161,291876.000161,4594070.000161,291876.000161,4591618.000161,8997088.301507946,4299742.0,133.91818655549764
6,786808.000161,786808.000161,7620261.090836,786808.000161,5186062.000161,31178637.003913812,15105907.830334904,132.09618320610687
7,1243820.000161,1243820.000161,5296731.000161,1243820.000161,5289712.000161,8426648.59460418,4045892.0,133.29706034038165
8,1279491.000161,1279491.000161,6553210.000161,1279491.000161,6172028.000161,10130896.927799247,4892537.0,132.52376085845682
9,1362192.000161,1362192.000161,6019864.000161,1362192.000161,5928732.000161,9487093.805024384,4566540.0,132.96149897330596
10,1452854.000161,1452854.000161,8556194.414193,1452854.000161,6518084.000161,18903242.33510184,9182104.911492478,131.75709939148072
11,1487280.000161,1487280.000161,9223637.131439,1487280.000161,6586556.000161,30901487.932956237,15077282.642201835,131.17053481331988
12,1494845.000161,1494845.000161,8773503.892228,1494845.000161,6203051.000161,28584472.630961552,13920986.547837486,131.41354903943378
13,1537172.000161,1537172.000161,8769627.977565,1537172.000161,6687318.000161,19624680.177657187,9548713.036336433,131.53390688259108
14,1537243.000161,1537243.000161,9437364.550932,1537243.000161,6687359.000161,33303558.12401207,16273694.911107624,130.97380352644836
15,1559948.000161,1559948.000161,7452644.000161,1559948.000161,6723590.000161,10711369.512762282,5163642.0,132.76049129989764
16,1896806.000161,1896806.000161,7585458.771936,1896806.000161,6843230.000161,10261488.222620266,4946424.0,132.7697031729785
17,2003517.000161,2003517.000161,5266421.000161,2003517.000161,5259562.000161,6815734.562167726,3256045.0000000005,133.96836099585062
18,2025050.000161,2025050.000161,4672181.000161,2025050.000161,4668088.000161,5557425.424637159,2643038.0,134.57060669456067
19,2026073.000161,2026073.000161,5252666.000161,2026073.000161,5245899.000161,6747992.1554220775,3219826.0,134.12883116883117
20,2026383.000161,2026383.000161,4919598.000161,2026383.000161,4913910.000161,6067776.861242498,2887527.0000000005,134.48799582463465
21,2083781.000161,2083781.000161,5002180.000161,2083781.000161,4996249.000161,6121279.809009656,2912468.0,134.51200417536535
22,2084777.000161,2084777.000161,5310313.000161,2084777.000161,5302862.000161,6745175.500876169,3218085.0,134.1453790238837
23,2097261.000161,2097261.000161,4188678.000161,2097261.000161,4188640.000161,4426160.805143161,2091379.0,135.44856839872747
24,2100304.000161,2100304.000161,8177952.000161,2100304.000161,7272877.000161,10746892.003283571,5172572.999999999,132.970784213224
25,2100307.000161,2100307.000161,7776427.000161,2100307.000161,6990752.000161,10177241.79165864,4890445.0,133.1869542886492
26,2113144.000161,2113144.000161,4169703.000161,2113144.000161,4169703.000161,4359579.130158492,2056559.0,135.66985645933013
27,2274866.000161,2274866.000161,4096639.000161,2274866.000161,4096639.000161,3865850.7393306894,1821772.9999999998,135.8097014925373
28,2449488.000161,2449488.000161,9082247.000161,2449488.000161,7630584.000161,10707455.433774833,5181095.999999999,132.26490066225165
29,2449642.000161,2449642.000161,3899051.000161,2449642.000161,3899051.000161,3080357.6404995993,1449409.0000000002,136.01605136436598
30,2454620.000161,2454620.000161,9128935.000161,2454620.000161,7641545.000161,10723065.277379587,5186925.0,132.30886850152905
31,2486553.000161,2486553.000161,5451934.000161,2486553.000161,5443951.000161,6214326.842464862,2957398.0,134.48204060385217
32,2532635.000161,2532635.000161,10728779.60667,2532635.000161,7718944.000161,38665041.95520856,18779618.503885813,131.76852791878173
33,2532663.000161,2532663.000161,9891882.316227,2532663.000161,6984840.000161,33221438.780378412,16121327.435710987,131.8856707317073
34,2532908.000161,2532908.000161,9231898.000161,2532908.000161,7719898.000161,10729717.204799108,5186990.000000001,132.3892857142857
35,2580746.000161,2580746.000161,5912133.000161,2580746.000161,5830005.000161,6831614.644067382,3249259.0,134.5609375
36,2592271.000161,2592271.000161,9336454.000161,2592271.000161,7779727.000161,10728448.04387755,5187456.0,132.36173469387754
37,2592337.000161,2592337.000161,6953606.000161,2592337.000161,6307481.000161,7780536.759904196,3715144.0,134.03366131538064
38,2592367.000161,2592367.000161,9290417.000161,2592367.000161,7774315.000161,10730175.586452479,5181948.0,132.52376085845682
39,2593223.000161,2593223.000161,5331563.000161,2593223.000161,5323942.000161,5761406.0524541885,2730719.0,135.03036649214658
40,2593602.000161,2593602.000161,8261077.000161,2593602.000161,7329908.000161,9898483.522678848,4736306.0,133.75464876033058
41,2595254.000161,2595254.000161,8573749.000161,2595254.000161,7409039.000161,10034011.971791323,4813785.0,133.40370751802266
42,2595255.000161,2595255.000161,8425955.000161,2595255.000161,7343097.000161,9921443.236683238,4747842.0,133.73915289256198
43,2595591.000161,2595591.000161,9340216.000161,2595591.000161,7780430.000161,10744892.247617066,5184838.999999999,132.6315250767656
44,2597361.000161,2597361.000161,8601219.000161,2597361.000161,7410011.000161,10037840.544056056,4812650.0,133.4860824742268
45,2597371.000161,2597371.000161,8286276.000161,2597371.000161,7336685.000161,9918224.210743401,4739314.0,133.9363354037267
46,2614324.000161,2614324.000161,8755139.000161,2614324.000161,7420705.000161,10013551.558798917,4806380.999999999,133.33676622039135
47,2631213.000161,2631213.000161,9374451.000161,2631213.000161,7796349.000161,10713363.399410557,5165135.999999999,132.7467965146079
48,2635455.000161,2635455.000161,4364573.000161,2635455.000161,4363344.000161,3686338.2822855427,1727889.0,136.5398182789952
49,2635460.000161,2635460.000161,4611703.000161,2635460.000161,4607901.000161,4200010.817179188,1972440.9999999998,136.2781914893617
50,2663373.000161,2663373.000161,8491642.000161,2663373.000161,7406032.000161,9933514.949139776,4742659.0,134.04821150855366
51,2663374.000161,2663374.000161,8522541.000161,2663374.000161,7407571.000161,9935698.732698288,4744197.0,134.03421461897355
52,2669417.000161,2669417.000161,8546087.000161,2669417.000161,7408332.000161,9923523.543165175,4738915.0,134.0191809227579
53,2669418.000161,2669418.000161,8627754.000161,2669418.000161,7410212.000161,9913039.821962344,4740794.0,133.82453416149067
54,2675408.000161,2675408.000161,7806171.000161,2675408.000161,6997157.000161,9086243.618795596,4321749.0,134.55653986451276
