app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.00019,0.00019,1027284.00019,0.00019,1027284.00019,1027284.0000000001,1027284.0000000001,38.95247933884298
1,303.00019,303.00019,1027302.00019,303.00019,1027302.00019,1026999.0000000001,1026999.0000000001,39.09297520661157
2,328.00019,328.00019,1027358.00019,328.00019,1027358.00019,1027030.0000000001,1027030.0000000001,39.38809034907597
3,103680.00019,103680.00019,1027309.00019,103680.00019,1027309.00019,923629.0,923629.0,39.3064182194617
4,103686.00019,103686.00019,1027333.00019,103686.00019,1027333.00019,923647.0,923647.0,39.489669421487605
5,189282.00019,189282.00019,1027328.00019,189282.00019,1027328.00019,838046.0,838046.0,39.510373443983404
6,198471.00019,198471.00019,4243040.270342,198471.00019,2766358.00019,4810482.020608701,2567887.0,119.8926780341023
7,198471.00019,198471.00019,4192104.00019,198471.00019,2766258.00019,4814943.028826243,2567787.0,120.00853413654619
8,205455.00019,205455.00019,2647987.00019,205455.00019,2382825.00019,4180342.775849766,2177370.0,122.87389724961079
9,274883.00019,274883.00019,1027400.00019,274883.00019,1027400.00019,752517.0,752517.0,39.937629937629936
10,380602.00019,380602.00019,4923486.874977,380602.00019,3364314.00019,5594436.596134538,2983712.0,119.99949799196787
11,380626.00019,380626.00019,2648853.00019,380626.00019,2382864.00019,3848749.9893181818,2002238.0,123.02233766233766
12,482808.00019,482808.00019,3725651.095977,482808.00019,2524923.00019,3856193.1794148325,2042115.0,120.85331310065756
13,482809.00019,482809.00019,3181743.044708,482809.00019,2458881.00019,3769402.2622310454,1976072.0,122.08145491803279
14,486181.00019,486181.00019,3342175.61943,486181.00019,2459230.00019,3755645.364147089,1973049.0,121.82226762002043
15,486183.00019,486183.00019,3085680.114699,486183.00019,2458869.00019,3772888.7543059117,1972685.9999999998,122.40411311053984
16,486268.00019,486268.00019,3303684.527273,486268.00019,2458946.00019,3761174.6066402253,1972678.0,122.0245649948823
17,486397.00019,486397.00019,3601672.483583,486397.00019,2459667.00019,3742783.194506228,1973270.0000000002,121.39145907473309
18,497648.00019,497648.00019,3420941.225583,497648.00019,2459341.00019,3734843.5579992337,1961693.0,121.8488253319714
19,542673.00019,542673.00019,2289516.00019,542673.00019,2056319.00019,2930026.708475802,1513646.0,123.88742766964755
20,659108.00019,659108.00019,694319.00019,659108.00019,694319.00019,35211.0,35211.0,24.083333333333332
21,659244.00019,659244.00019,676918.00019,659244.00019,676918.00019,10931.90517342285,30753.491476881867,22.75
22,659689.00019,659689.00019,677684.00019,659689.00019,677684.00019,17995.0,17995.0,23.8
23,666277.00019,666277.00019,941310.082388,666277.00019,939110.00019,983036.5444402226,1804567.3775792415,34.863945578231295
24,677037.00019,677037.00019,677109.00019,677037.00019,677109.00019,99.12484129732225,260.71191135734074,24.333333333333332
25,677067.00019,677067.00019,677137.00019,677067.00019,677137.00019,92.63952593005779,240.3620132239337,24.666666666666668
26,677527.00019,677527.00019,680086.00019,677527.00019,680086.00019,3336.7077710908566,8897.887389575617,24.0
27,677552.00019,677552.00019,679989.00019,677552.00019,679989.00019,3731.3199465112134,9681.262563920985,24.666666666666668
28,681615.00019,681615.00019,681678.00019,681615.00019,681678.00019,81.98167525103878,228.12292243767314,23.0
29,681808.00019,681808.00019,688054.00019,681808.00019,688054.00019,6246.0,6246.0,25.454545454545453
30,681864.00019,681864.00019,682865.00019,681864.00019,682865.00019,1287.9401116714698,3270.959013768812,25.2
31,681903.00019,681903.00019,688804.00019,681903.00019,688804.00019,6901.0,6901.0,25.583333333333332
32,681960.00019,681960.00019,688361.00019,681960.00019,688361.00019,6401.0,6401.0,26.0
33,682053.00019,682053.00019,688206.00019,682053.00019,688206.00019,6153.0,6153.0,26.375
34,682896.00019,682896.00019,682967.00019,682896.00019,682967.00019,51.701261122570344,122.55113747572229,27.0
35,685458.00019,685458.00019,687049.00019,685458.00019,687049.00019,2333.837366854727,5532.058943655649,27.0
36,691498.00019,691498.00019,722828.00019,691498.00019,722828.00019,77709.8285351639,175532.789161782,28.333333333333332
37,691530.00019,691530.00019,722600.00019,691530.00019,722600.00019,77450.2583610112,174076.08551728594,28.475
38,691532.00019,691532.00019,724127.685052,691532.00019,724051.00019,81445.89915781555,182194.40698218928,28.609756097560975
39,691630.00019,691630.00019,691773.00019,691630.00019,691773.00019,143.0,143.0,26.0
40,697930.00019,697930.00019,697991.00019,697930.00019,697991.00019,41.46192367871313,106.1425246175056,25.0
41,698186.00019,698186.00019,699485.00019,698186.00019,699485.00019,917.887522583899,2242.167994098074,26.2
42,698322.00019,698322.00019,997365.00019,698322.00019,997365.00019,299043.0,299043.0,38.91784702549575
43,698355.00019,698355.00019,999728.00019,698355.00019,999728.00019,301373.0,301373.0,38.96045197740113
44,699280.00019,699280.00019,2651165.112621,699280.00019,2384164.00019,3306741.8546325876,1684884.0,125.6059637912673
45,699619.00019,699619.00019,699779.00019,699619.00019,699779.00019,160.0,160.0,28.25
46,699745.00019,699745.00019,699769.00019,699745.00019,699769.00019,37.813413584069885,83.4502920476025,29.0
47,699914.00019,699914.00019,701058.00019,699914.00019,701058.00019,1823.1570748733157,3977.7972542690527,29.333333333333332
48,699991.00019,699991.00019,812816.00019,699991.00019,812816.00019,112825.0,112825.0,31.455357142857142
49,699991.00019,699991.00019,700005.00019,699991.00019,700005.00019,14.0,14.0,30.0
50,700230.00019,700230.00019,700414.00019,700230.00019,700414.00019,563.1124893000593,1201.3066438401265,30.0
51,700542.00019,700542.00019,801756.00019,700542.00019,801756.00019,101214.0,101214.0,31.485436893203882
52,700736.00019,700736.00019,803373.00019,700736.00019,803373.00019,102637.00000000001,102637.00000000001,31.533980582524272
53,702387.00019,702387.00019,704374.737838,702387.00019,704367.00019,1686.752619690073,3445.281946601001,31.333333333333332
54,703129.00019,703129.00019,703183.00019,703129.00019,703183.00019,88.22766570605187,176.45533141210373,32.0
55,703662.00019,703662.00019,703804.00019,703662.00019,703804.00019,142.0,142.0,32.0
56,706079.00019,706079.00019,706108.00019,706079.00019,706108.00019,29.000000000000004,29.000000000000004,31.0
57,707298.00019,707298.00019,708832.00019,707298.00019,708832.00019,1534.0,1534.0,31.0
58,709166.00019,709166.00019,709196.00019,709166.00019,709196.00019,30.0,30.0,31.0
59,713011.00019,713011.00019,713052.00019,713011.00019,713052.00019,41.0,41.0,31.0
60,728328.00019,728328.00019,729183.00019,728328.00019,729183.00019,855.0,855.0,28.0
61,729944.00019,729944.00019,730292.00019,729944.00019,730292.00019,348.0,348.0,28.0
62,731609.00019,731609.00019,734139.00019,731609.00019,734139.00019,2530.0,2530.0,28.333333333333332
63,732803.00019,732803.00019,733058.00019,732803.00019,733058.00019,687.0384323649445,1516.2227472881534,29.0
64,733513.00019,733513.00019,733795.00019,733513.00019,733795.00019,599.4689308972503,1322.9659164628972,29.0
65,734285.00019,734285.00019,734870.00019,734285.00019,734870.00019,2018.2653530309262,4558.905268022798,28.333333333333332
66,734387.00019,734387.00019,749054.00019,734387.00019,749054.00019,39516.834068614284,87209.5648410798,29.0
67,737715.00019,737715.00019,786644.00019,737715.00019,786644.00019,48929.0,48929.0,31.058823529411764
68,743231.00019,743231.00019,866813.00019,743231.00019,866813.00019,123581.99999999999,123581.99999999999,34.30555555555556
69,752051.00019,752051.00019,757332.00019,752051.00019,757332.00019,8594.569423886835,18133.59702622277,30.333333333333332
70,756463.00019,756463.00019,764086.00019,756463.00019,764086.00019,6399.005599844183,13264.335494413854,30.875
71,758362.00019,758362.00019,758420.00019,758362.00019,758420.00019,48.884287720869644,100.92240045598894,31.0
72,758467.00019,758467.00019,764767.00019,758467.00019,764767.00019,6300.0,6300.0,31.0
73,758578.00019,758578.00019,759013.00019,758578.00019,759013.00019,435.00000000000006,435.00000000000006,32.0
74,765496.00019,765496.00019,776666.00019,765496.00019,776666.00019,21191.166588883898,42572.3884834977,31.857142857142858
75,768373.00019,768373.00019,768585.00019,768373.00019,768585.00019,178.6804999452476,368.88877408051115,31.0
76,769898.00019,769898.00019,775011.00019,769898.00019,775011.00019,5113.0,5113.0,32.875
77,770107.00019,770107.00019,775124.00019,770107.00019,775124.00019,5017.0,5017.0,33.125
78,770107.00019,770107.00019,773902.00019,770107.00019,773902.00019,3795.0,3795.0,33.75
