app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.000173,0.000173,11014091.932611,0.000173,2683411.000173,14036223.996330636,2683411.0,334.7673300009431
1,336541.000173,336541.000173,20826829.38864,336541.000173,1631047.000173,44227490.4096426,8562099.517582526,330.5917410098409
2,475911.000173,475911.000173,2133761.000173,475911.000173,1768411.000173,2065362.1069785277,1292500.0,102.26938092582265
3,476285.000173,476285.000173,13447917.361412,476285.000173,1271394.000173,24675994.46992723,4727695.499504065,334.0451275343362
4,543390.000173,543390.000173,12682923.410234,543390.000173,1261167.000173,22301993.936840445,4267881.626981369,334.43467666354263
5,600049.000173,600049.000173,10576858.510843,-1,-1,15386297.261271024,2939758.7264678045,334.96729369505624
6,627951.000173,627951.000173,12979818.061211,627951.000173,1271196.000173,18828920.761653088,3603912.830015017,334.37294007490635
7,671239.000173,671239.000173,21616261.787099,671239.000173,1899887.000173,37698798.073673695,7305506.062784688,330.26090950849795
8,837589.000173,837589.000173,21517584.207019,837589.000173,1780815.000173,31786639.930517707,6158172.0676236255,330.34883293512223
9,837888.000173,837888.000173,17147486.932042,837888.000173,1269179.000173,17463329.925009523,3361050.9605996925,332.53084475731754
10,880076.000173,880076.000173,1406660.211892,880076.000173,1404076.000173,545456.54539801,524000.00000000006,66.62064676616916
11,880119.000173,880119.000173,1440496.000173,880119.000173,1413814.000173,560226.2965345037,533695.0000000001,67.181598062954
12,880145.000173,880145.000173,1488492.497533,880145.000173,1446135.000173,597393.1403658176,565990.0,67.55094786729858
13,880165.000173,880165.000173,1527086.912042,880165.000173,1454310.000173,609350.841387457,574145.0,67.92439862542955
14,881304.000173,881304.000173,1138507.000173,881304.000173,1138507.000173,257203.00000000003,257203.00000000003,45.78823529411765
15,884079.000173,884079.000173,922402.000173,884079.000173,922402.000173,40405.51122593459,125227.73455011207,20.65
16,896743.000173,896743.000173,11387817.216362,896743.000173,1446672.159106,10550470.263828056,2014473.633082156,335.1893446487506
17,906050.000173,906050.000173,919201.000173,906050.000173,919201.000173,13151.0,13151.0,21.25
18,906242.000173,906242.000173,1127595.000173,906242.000173,1127595.000173,221353.0,221353.0,45.844621513944226
19,906308.000173,906308.000173,1001981.24542,906308.000173,997998.000173,130872.08543842222,271104.37745740503,30.89516129032258
20,912363.000173,912363.000173,920099.000173,912363.000173,920099.000173,8689.608149215497,25278.860070445084,22.0
21,912416.000173,912416.000173,916247.000173,912416.000173,916247.000173,4590.431582461282,13154.669609441287,22.333333333333332
22,912464.000173,912464.000173,963440.000173,912464.000173,963440.000173,62289.39540714571,150723.27129750984,26.44927536231884
23,919057.000173,919057.000173,919093.000173,919057.000173,919093.000173,36.0,36.0,23.333333333333332
