app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.000169,0.000169,3613015.000169,0.000169,3613015.000169,28254962.70786552,3613015.0,500.50099800399204
1,266564.000169,266564.000169,4146396.000169,266564.000169,4146396.000169,30491908.530348256,3879831.9999999995,502.9810945273632
2,266566.000169,266566.000169,4144152.000169,266566.000169,4144152.000169,30474738.00205633,3877586.0,502.9890329012961
3,289185.000169,289185.000169,4599472.000169,289185.000169,4599472.000169,34073458.10850608,4310287.0,505.92949354518373
4,290070.000169,290070.000169,4600364.000169,290070.000169,4600364.000169,34139657.94500993,4310294.0,506.9116186693148
5,291876.000169,291876.000169,4591618.000169,291876.000169,4591618.000169,34024746.55257097,4299742.0,506.445219123506
6,786808.000169,786808.000169,5186062.000169,786808.000169,5186062.000169,120332862.6903919,15105907.830334904,509.82061446977207
7,1243820.000169,1243820.000169,5289712.000169,1243820.000169,5289712.000169,32350190.575729474,4045892.0,511.73194856577646
8,1279491.000169,1279491.000169,6172028.000169,1279491.000169,6172028.000169,39439321.08493983,4892537.0,515.9115913555992
9,1362192.000169,1362192.000169,5928732.000169,1362192.000169,5928732.000169,36782228.40055419,4566540.0,515.5024630541872
10,1452854.000169,1452854.000169,6518084.000169,1452854.000169,6518084.000169,74418794.18608347,9182104.911492478,518.7049019607844
11,1487280.000169,1487280.000169,6586556.000169,1487280.000169,6586556.000169,122420005.65188882,15077282.642201835,519.6480392156863
12,1494845.000169,1494845.000169,6203051.000169,1494845.000169,6203051.000169,112751419.00143202,13920986.547837486,518.360591133005
13,1537172.000169,1537172.000169,6687318.000169,1537172.000169,6687318.000169,77811333.30417421,9548713.036336433,521.528431372549
14,1537243.000169,1537243.000169,6687359.000169,1537243.000169,6687359.000169,132850737.1867788,16273694.911107624,522.4656862745098
15,1559948.000169,1559948.000169,6723590.000169,1559948.000169,6723590.000169,42228988.83115809,5163642.0,523.4009803921568
16,1896806.000169,1896806.000169,6843230.000169,1896806.000169,6843230.000169,40591410.45205479,4946424.0,525.197651663405
17,2003517.000169,2003517.000169,5259562.000169,2003517.000169,5259562.000169,26265141.371015627,3256045.0000000005,516.261
18,2025050.000169,2025050.000169,4668088.000169,2025050.000169,4668088.000169,21243019.076207243,2643038.0,514.3903420523138
19,2026073.000169,2026073.000169,5245899.000169,2026073.000169,5245899.000169,25999610.522818457,3219826.0,516.79037111334
20,2026383.000169,2026383.000169,4913910.000169,2026383.000169,4913910.000169,23274734.366172586,2887527.0000000005,515.8680765357502
21,2083781.000169,2083781.000169,4996249.000169,2083781.000169,4996249.000169,23520177.205563948,2912468.0,516.8439073514602
22,2084777.000169,2084777.000169,5302862.000169,2084777.000169,5302862.000169,26131558.29167189,3218085.0,519.6940822467402
23,2097261.000169,2097261.000169,4188640.000169,2097261.000169,4188640.000169,16827705.198064722,2091379.0,514.9583756345178
24,2100304.000169,2100304.000169,7272877.000169,2100304.000169,7272877.000169,43008966.08837842,5172572.999999999,532.1478942213516
25,2100307.000169,2100307.000169,6990752.000169,2100307.000169,6990752.000169,40637262.01789661,4890445.0,531.8094302554027
26,2113144.000169,2113144.000169,4169703.000169,2113144.000169,4169703.000169,16580057.01059187,2056559.0,515.9704383282365
27,2274866.000169,2274866.000169,4096639.000169,2274866.000169,4096639.000169,14659433.932798104,1821772.9999999998,514.9948822927329
28,2449488.000169,2449488.000169,7630584.000169,2449488.000169,7630584.000169,43125178.106149726,5181095.999999999,532.7080213903744
29,2449642.000169,2449642.000169,3899051.000169,2449642.000169,3899051.000169,11674513.303131418,1449409.0000000002,515.4989733059548
30,2454620.000169,2454620.000169,7641545.000169,2454620.000169,7641545.000169,43198834.11228431,5186925.0,533.0181915462814
31,2486553.000169,2486553.000169,5443951.000169,2486553.000169,5443951.000169,24265319.896906562,2957398.0,525.1171717171717
32,2532635.000169,2532635.000169,7718944.000169,2532635.000169,7718944.000169,156426956.2135429,18779618.503885813,533.0952380952381
33,2532663.000169,2532663.000169,6984840.000169,2532663.000169,6984840.000169,134858838.46640334,16121327.435710987,535.3756194251735
34,2532908.000169,2532908.000169,7719898.000169,2532908.000169,7719898.000169,43230311.10387113,5186990.000000001,533.3998929336188
35,2580746.000169,2580746.000169,5830005.000169,2580746.000169,5830005.000169,26784834.072679203,3249259.0,527.5754812563323
36,2592271.000169,2592271.000169,7779727.000169,2592271.000169,7779727.000169,43202042.06631016,5187456.0,533.0032085561497
37,2592337.000169,2592337.000169,6307481.000169,2592337.000169,6307481.000169,30841072.505423814,3715144.0,531.29263370333
38,2592367.000169,2592367.000169,7774315.000169,2592367.000169,7774315.000169,43218143.67641939,5181948.0,533.7686127477236
39,2593223.000169,2593223.000169,5323942.000169,2593223.000169,5323942.000169,22556267.825433232,2730719.0,528.6523955147809
40,2593602.000169,2593602.000169,7329908.000169,2593602.000169,7329908.000169,40032544.68706554,4736306.0,540.9453823237338
41,2595254.000169,2595254.000169,7409039.000169,2595254.000169,7409039.000169,43840175.50627461,4813785.0,582.8617672790901
42,2595255.000169,2595255.000169,7343097.000169,2595255.000169,7343097.000169,40234391.809331514,4747842.0,542.3518886679921
43,2595591.000169,2595591.000169,7780430.000169,2595591.000169,7780430.000169,43311546.67567226,5184838.999999999,534.6239270386266
44,2597361.000169,3613015.000169,8425665.000169,3613015.000169,8425665.000169,39006922.755070634,4812650.0,518.725246241576
45,2597371.000169,3899051.000169,8638365.000169,3899051.000169,8638365.000169,38374277.305751555,4739314.0,518.2087001553599
46,2614324.000169,4096639.000169,8903020.000169,4096639.000169,8903020.000169,38839781.14031007,4806380.999999999,517.1762273901809
47,2631213.000169,4144152.000169,9309288.000169,4144152.000169,9309288.000169,41550541.66087963,5165135.999999999,514.8431069958848
48,2635455.000169,4146396.000169,5874285.000169,4146396.000169,5874285.000169,14431306.775576923,1727889.0,534.5271794871795
49,2635460.000169,4169703.000169,6142144.000169,4169703.000169,6142144.000169,16517204.008596951,1972440.9999999998,535.9354508196722
50,2663373.000169,4188640.000169,8931299.000169,4188640.000169,8931299.000169,38377879.84967812,4742659.0,517.8918219461698
51,2663374.000169,4591618.000169,9335815.000169,4591618.000169,9335815.000169,38177715.19659515,4744197.0,515.0236747297993
52,2669417.000169,4599472.000169,9338387.000169,4599472.000169,9338387.000169,38133570.967254244,4738915.0,515.0015440041174
53,2669418.000169,4600364.000169,9341158.000169,4600364.000169,9341158.000169,38146975.511306606,4740794.0,514.9783839423571
54,2675408.000169,4668088.000169,8989837.000169,4668088.000169,8989837.000169,34984751.190137886,4321749.0,518.0828586224754
55,2678400.000169,4913910.000169,7089105.049856,4913910.000169,7089105.049856,33878961.5795667,3962633.2372555304,547.1749241658241
56,2680341.000169,5186062.000169,9916047.000169,5186062.000169,9916047.000169,38054409.04175245,4729985.0,514.9027277406074
57,2717244.000169,5186062.000169,6761986.000169,5186062.000169,6761986.000169,13414695.89153473,1575924.0,544.785495403473
58,2740512.000169,5186062.000169,10382213.000169,5186062.000169,10382213.000169,41821807.96413169,5196151.0,515.1112255406797
59,2770101.000169,5186062.000169,7287843.000169,5186062.000169,7287843.000169,18062014.104372468,2101781.0,549.9949341438703
60,2777576.000169,5245899.000169,6641289.000169,5245899.000169,6641289.000169,11872681.019000772,1395390.0,544.5442386831276
61,2877615.000169,5259562.000169,6796324.000169,5259562.000169,6796324.000169,13139556.203157015,1536761.9999999998,547.2100409836065
62,2890966.000169,5289712.000169,6428065.000169,5289712.000169,6428065.000169,9679899.977055326,1138353.0,544.2192347466391
63,2948117.000169,5302862.000169,6950325.000169,5302862.000169,6950325.000169,14155463.6551636,1647463.0,549.9059304703477
64,2949862.000169,5323942.000169,7764365.000169,5323942.000169,7764365.000169,20622879.94314708,2440423.0,540.8342391304348
65,2950237.000169,5443951.000169,8508248.000169,5443951.000169,8508248.000169,25068866.88262834,3064297.0000000005,523.5809324253536
66,2950505.000169,5830005.000169,9000432.000169,5830005.000169,9000432.000169,25793802.497290038,3170427.0,520.6880208333333
67,2964979.000169,5874285.000169,6916526.000169,5874285.000169,6916526.000169,8973931.578333978,1042241.0000000001,551.0545267489712
68,2987445.000169,5928732.000169,6949856.000169,5928732.000169,6949856.000169,8806816.96251286,1021124.0,551.9763374485597
69,3000159.000169,6142144.000169,7958703.000169,6142144.000169,7958703.000169,14969287.781184003,1816559.0,527.389651531151
70,3000822.000169,6172028.000169,9258166.000169,6172028.000169,9258166.000169,25115478.328947373,3086138.0000000005,520.8421052631579
71,3009876.000169,6203051.000169,10603411.000169,6203051.000169,10603411.000169,35607433.82253887,4400360.000000001,517.8839378238342
72,3031681.000169,6203051.000169,7370187.000169,6203051.000169,7370187.000169,10170348.590071648,1167136.0,557.691914022518
73,3033601.000169,6203051.000169,7376010.000169,6203051.000169,7376010.000169,10237616.466447033,1172959.0,558.5936540429888
74,3046805.000169,6203051.000169,7451950.000169,6203051.000169,7451950.000169,11698102.306474216,1248899.0,599.4708520179372
75,3046811.000169,6307481.000169,7644395.000169,6307481.000169,7644395.000169,11377206.817089042,1336914.0,544.6432876712329
76,3086290.000169,6428065.000169,8158449.000169,6428065.000169,8158449.000169,14283764.869576719,1730384.0,528.2994708994709
77,3086292.000169,6518084.000169,8616956.000169,6518084.000169,8616956.000169,17256151.77700211,2098872.0,526.1844046364595
78,3106680.000169,6518084.000169,7971072.000169,6518084.000169,7971072.000169,12016643.15104719,1452988.0,529.2990455991517
79,3110214.000169,6586556.000169,8292012.000169,6586556.000169,8292012.000169,25612569.618972044,3104724.918510519,527.9709148598625
80,3129585.000169,6586556.000169,8754087.000169,6586556.000169,8754087.000169,17826803.435745586,2167531.0,526.3663679493937
81,3129645.000169,6586556.000169,9404467.000169,6586556.000169,9404467.000169,22951299.562214572,2817910.9999999995,521.2667014613779
82,3129852.000169,6641289.000169,9758247.000169,6641289.000169,9758247.000169,25385043.407636356,3116958.0000000005,521.2270354906054
83,3147031.000169,6687318.000169,10783757.000169,6687318.000169,10783757.000169,33307548.60084191,4096439.0,520.3746743095362
84,3148287.000169,6687318.000169,8001093.000169,6687318.000169,8001093.000169,10889335.576779306,1313775.0,530.4694311536417
85,3148396.000169,6687359.000169,7728418.000169,6687359.000169,7728418.000169,8889175.754933307,1041059.0,546.4697469746975
86,3175183.000169,6687359.000169,8339747.000169,6687359.000169,8339747.000169,13660593.20499735,1652388.0,529.0996818663839
87,3197839.000169,6687359.000169,8247687.000169,6687359.000169,8247687.000169,25233711.93163595,3046356.7552788276,530.1275239107333
88,3210601.000169,6723590.000169,9329257.000169,6723590.000169,9329257.000169,21331953.715903874,2605667.0,523.9522309711286
