app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.000138,0.000138,1164546.000138,0.000138,1164546.000138,7014044.226497108,3998751.729312558,112.25974025974025
1,70024.000138,70024.000138,833863.000138,70024.000138,833863.000138,5486913.8588300375,5052170.892534079,69.5072463768116
2,135296.000138,135296.000138,1262634.000138,135296.000138,1262634.000138,7453957.882429222,4082089.510080025,116.86497890295358
3,178298.000138,178298.000138,1284812.000138,178298.000138,1284812.000138,7374647.616685641,4006685.8317174516,117.79746835443038
4,265278.000138,265278.000138,1291186.000138,265278.000138,1291186.000138,3284860.1522327755,1770791.441485117,118.72151898734177
5,313422.000138,313422.000138,852222.000138,313422.000138,852222.000138,2209438.098004632,1950994.136657433,72.4779411764706
6,318554.000138,318554.000138,894217.000138,318554.000138,894217.000138,4898877.431783936,3758411.8832224933,83.42038216560509
7,318802.000138,318802.000138,914381.000138,318802.000138,914381.000138,6153273.685796346,4641347.419869659,84.84810126582279
8,319542.000138,319542.000138,1294215.000138,319542.000138,1294215.000138,3366957.337002356,1779487.3333902908,121.09401709401709
9,319849.000138,319849.000138,1171542.000138,319849.000138,1171542.000138,5939680.907824622,3246070.3012243155,117.10762331838565
10,320203.000138,320203.000138,1155653.037341,320203.000138,1155653.037341,5406044.669111038,2965563.1332482724,116.66818181818182
11,323049.000138,894217.000138,1511427.802186,894217.000138,1511427.802186,9963399.345491713,4995995.054686027,127.63374485596708
12,324143.000138,1155653.037341,1769788.037341,1155653.037341,1769788.037341,10851100.125256859,4062001.2477582525,170.96755162241888
13,324387.000138,1155653.037341,1782628.497264,1155653.037341,1782628.497264,17583285.563490234,6128884.042542777,183.6109589041096
14,330439.000138,1171542.000138,2067670.299232,1171542.000138,2067670.299232,22490718.37552058,6635521.686109245,216.9243119266055
15,394438.000138,1284812.000138,1744354.936821,1284812.000138,1744354.936821,16641251.91082256,6277250.229622655,169.66666666666666
16,394610.000138,1511427.802186,1982609.802186,1511427.802186,1982609.802186,6941150.952449505,2123977.157273887,209.15180722891566
17,394774.000138,1744354.936821,2250035.936821,1744354.936821,2250035.936821,8134540.3265715735,2279490.500204627,228.38901098901098
18,394933.000138,1769788.037341,2296493.235872,1769788.037341,2296493.235872,15498643.302210288,4274648.481284178,232.0455531453362
19,395522.000138,1782628.497264,2359880.497264,1782628.497264,2359880.497264,12648174.183632145,3234173.431510278,250.29058116232466
20,395836.000138,1982609.802186,2998791.802186,1982609.802186,2998791.802186,54486208.134039976,6634490.151906235,525.604415823367
21,400593.000138,1982609.802186,2458674.19543,1982609.802186,2458674.19543,25272647.718286306,6072969.371939752,266.33584905660376
22,400756.000138,2250035.936821,2696161.936821,2250035.936821,2696161.936821,20160222.482896853,2622207.071379447,492.04895104895104
23,400914.000138,2296493.235872,2807731.235872,2296493.235872,2807731.235872,32208817.798883405,4181224.044408825,493.004995004995
24,401067.000138,2359880.497264,2907565.224709,2359880.497264,2907565.224709,53879683.88577608,6980942.71540138,493.959040959041
25,401222.000138,2458674.19543,3031501.19543,2458674.19543,3031501.19543,8632485.699466372,1045826.0264970509,528.2705447830101
26,401376.000138,2696161.936821,3291503.936821,2696161.936821,3291503.936821,29427485.34304934,3539886.599278525,532.0393772893773
27,401530.000138,2696161.936821,3392049.936821,2696161.936821,3392049.936821,38365510.374226734,4602730.546703893,533.4643510054844
28,401681.000138,2807731.235872,3477800.235872,2807731.235872,3477800.235872,33297733.97032158,3984211.21589265,534.875
29,504171.000138,2807731.235872,3248575.235872,2807731.235872,3248575.235872,12593807.981921408,1513745.0193955975,532.4567219152855
30,573378.000138,2807731.235872,3872205.235872,2807731.235872,3872205.235872,31348515.539418597,3701277.757378318,542.057399103139
31,664358.000138,2907565.224709,2910651.224709,2907565.224709,2910651.224709,24182.496354685936,3085.9999999999995,501.5164506480558
32,664372.000138,2907565.224709,2910196.224709,2907565.224709,2910196.224709,20617.15239448052,2631.0,501.5194805194805
33,664544.000138,2907565.224709,2909609.224709,2907565.224709,2909609.224709,15956.841645728644,2044.0000000000002,499.62713567839194
34,664555.000138,2907565.224709,2909703.224709,2907565.224709,2909703.224709,16722.26224874372,2138.0,500.57286432160805
35,671225.000138,2907565.224709,2907815.224709,2907565.224709,2907815.224709,1953.4675844254036,250.00000000000003,500.08770161290323
36,674938.000138,2907565.224709,2915570.224709,2907565.224709,2915570.224709,63759.16187561819,8004.999999999999,509.75469831849654
37,686170.000138,2907565.224709,3238463.224709,2907565.224709,3238463.224709,10025633.373002594,1198181.2506155742,535.5120817843866
38,686578.000138,2907565.224709,2907674.224709,2907565.224709,2907674.224709,1472.842841368551,188.14188711061593,501.0151821862348
39,686742.000138,2907565.224709,3393496.156731,2907565.224709,3393496.156731,14237189.55584345,1689447.6854082106,539.3361034164358
40,737775.000138,2907674.224709,2910184.224709,2907674.224709,2910184.224709,19797.838489163303,2510.0,504.8054435483871
41,737781.000138,2907674.224709,2910144.224709,2907674.224709,2910144.224709,19482.28093434343,2470.0,504.8040404040404
42,737788.000138,2907815.224709,2910096.224709,2907815.224709,2910096.224709,17991.40914410425,2281.0,504.8006072874494
43,737793.000138,2909609.224709,2911913.224709,2909609.224709,2911913.224709,18274.02822580645,2304.0,507.6118951612903
44,737803.000138,2909703.224709,2912304.224709,2909703.224709,2912304.224709,20686.241833459215,2601.0,509.0040281973817
45,737808.000138,2910096.224709,2912215.224709,2910096.224709,2912215.224709,16853.072795787084,2119.0,509.01210898082746
46,737814.000138,2910144.224709,2913146.224709,2910144.224709,2913146.224709,23983.722459758552,3002.0,511.3118712273642
47,737821.000138,2910184.224709,2913440.224709,2910184.224709,2913440.224709,26059.874245472838,3256.0,512.2334004024145
48,737830.000138,2910196.224709,2912698.224709,2910196.224709,2912698.224709,19990.095454545455,2502.0,511.33737373737375
49,737837.000138,2910651.224709,2912705.224709,2910651.224709,2912705.224709,16440.42866161616,2054.0,512.2626262626262
50,737844.000138,2911913.224709,2914367.224709,2911913.224709,2914367.224709,19712.12761466734,2454.0,514.0897177419355
51,737849.000138,2912215.224709,2914608.224709,2912215.224709,2914608.224709,19256.43572013609,2393.0,515.0070564516129
52,737855.000138,2912304.224709,2915015.224709,2912304.224709,2915015.224709,21854.149524319557,2711.0,515.922379032258
53,737861.000138,2912698.224709,2915455.224709,2912698.224709,2915455.224709,22283.407382930513,2757.0,517.2789526686807
54,737868.000138,2912705.224709,2915438.224709,2912705.224709,2915438.224709,22090.485998990916,2733.0,517.3037336024217
55,737875.000138,2913146.224709,2915900.224709,2913146.224709,2915900.224709,22337.335536253777,2754.0,519.0956696878147
56,737884.000138,2913440.224709,2916668.224709,2913440.224709,2916668.224709,26227.55079305136,3228.0,520.0010070493454
57,737891.000138,2914367.224709,2917258.224709,2914367.224709,2917258.224709,23569.322408919597,2891.0,521.7698492462312
58,737896.000138,2914608.224709,2916804.224709,2914608.224709,2916804.224709,17889.57591985887,2196.0,521.3719758064516
59,737902.000138,2915015.224709,2917178.224709,2915015.224709,2917178.224709,17651.2015656502,2163.0,522.273185483871
60,737907.000138,2915438.224709,2918548.224709,2915438.224709,2918548.224709,25485.297424623117,3110.0000000000005,524.4562814070351
61,737912.000138,2915455.224709,2917918.224709,2915455.224709,2917918.224709,20168.48933656754,2463.0,524.0695564516129
62,737918.000138,2915570.224709,2918614.224709,2915570.224709,2918614.224709,25009.070674044266,3044.0,525.8148893360161
63,737924.000138,2915900.224709,2918516.224709,2915900.224709,2918516.224709,21477.028380423817,2616.0,525.4318869828456
64,737934.000138,2916668.224709,2920089.224709,2916668.224709,2920089.224709,28201.417033450703,3421.0,527.5915492957746
65,737941.000138,2916804.224709,2919533.224709,2916804.224709,2919533.224709,22498.818564138102,2729.0,527.6381048387096
66,737946.000138,2917178.224709,2920177.224709,2917178.224709,2920177.224709,24785.966751636457,2999.0,528.9436052366566
67,737952.000138,2917258.224709,2920373.224709,2917258.224709,2920373.224709,25827.93836369347,3115.0,530.654271356784
68,737957.000138,2917918.224709,2920272.224709,2917918.224709,2920272.224709,19520.101995216515,2354.0,530.7079556898289
69,737962.000138,2918516.224709,2921591.224709,2918516.224709,2921591.224709,25638.929421342687,3075.0,533.623246492986
70,737967.000138,2918548.224709,2920957.224709,2918548.224709,2920957.224709,20042.287150679756,2409.0,532.4642497482376
71,737973.000138,2918614.224709,2922113.224709,2918614.224709,2922113.224709,29290.71698260761,3499.0,535.7547547547548
72,737978.000138,2919533.224709,2920210.224709,2919533.224709,2920210.224709,5629.243436867408,676.9999999999999,532.158906882591
73,737984.000138,2920089.224709,2921841.224709,2920089.224709,2921841.224709,14669.946105527639,1752.0000000000002,535.8884422110552
74,737989.000138,2920177.224709,2921559.224709,2920177.224709,2921559.224709,11564.519751764114,1382.0,535.5493951612904
75,737996.000138,2920210.224709,2921468.224709,2920210.224709,2921468.224709,10520.08859959555,1258.0,535.2032355915065
76,738002.000138,2920272.224709,2922121.224709,2920272.224709,2922121.224709,15556.977292713565,1849.0,538.478391959799
77,738008.000138,2920373.224709,2921493.224709,2920373.224709,2921493.224709,9389.476214574897,1120.0,536.5414979757085
78,738013.000138,2920957.224709,2921960.224709,2920957.224709,2921960.224709,8441.11541372351,1002.9999999999999,538.6155398587285
79,738019.000138,2921468.224709,2923099.224709,2921468.224709,2923099.224709,13798.22827246486,1631.0,541.4387550200803
80,738025.000138,2921493.224709,2923406.224709,2921493.224709,2923406.224709,16209.391832956828,1913.0,542.2901606425703
81,738031.000138,2921559.224709,2922505.224709,2921559.224709,2922505.224709,8005.373015372984,946.0,541.5897177419355
82,738038.000138,2921591.224709,2923512.224709,2921591.224709,2923512.224709,16316.614415829148,1921.0,543.6040201005026
83,738043.000138,2921841.224709,2922722.224709,2921841.224709,2922722.224709,7473.484217330978,880.9999999999999,542.9091826437941
84,738049.000138,2921960.224709,2923792.224709,2921960.224709,2923792.224709,15630.77169007021,1832.0,546.0531594784353
85,738069.000138,2922113.224709,2923650.224709,2922113.224709,2923650.224709,13106.781029929578,1537.0,545.7605633802817
86,738075.000138,2922121.224709,2922154.224709,2922121.224709,2922154.224709,280.25316937119675,33.0,543.5212981744422
87,738082.000138,2922154.224709,2923701.224709,2922154.224709,2923701.224709,13223.64655715005,1547.0,547.067472306143
