app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.000135,0.000135,2683411.000135,0.000135,2683411.000135,27179758.458267167,2683411.0,648.2437991530551
1,336541.000135,336541.000135,1631047.000135,336541.000135,1631047.000135,41594271.50144276,8562099.517582526,310.90895061728395
2,475911.000135,475911.000135,1768411.000135,-1,-1,7694641.544117647,1292500.0,381.01126408010015
3,476285.000135,476285.000135,1271394.000135,476285.000135,1271394.000135,14549209.44689924,4727695.499504065,196.95629820051414
4,543390.000135,543390.000135,1261167.000135,-1,-1,12903848.845130224,4267881.626981369,193.50263157894736
5,600049.000135,600049.000135,1371373.000135,600049.000135,1371373.000135,10263116.013101567,2939758.7264678045,223.4331065759637
6,627951.000135,627951.000135,1271196.000135,627951.000135,1271196.000135,11147703.902810656,3603912.830015017,197.96623376623376
7,671239.000135,671239.000135,1899887.000135,671239.000135,1899887.000135,48111152.91669186,7305506.062784688,421.47850678733033
8,837589.000135,837589.000135,1780815.000135,837589.000135,1780815.000135,37189646.21579948,6158172.0676236255,386.50062578222776
9,837888.000135,837888.000135,1406620.808368,837888.000135,1406620.808368,12279283.664682698,3361050.9605996925,233.81798245614036
10,880076.000135,1261167.000135,1785167.000135,1261167.000135,1785167.000135,3189980.6733167083,524000.00000000006,389.6159600997506
11,880119.000135,1261167.000135,1794862.000135,1261167.000135,1794862.000135,3256508.56900717,533695.0000000001,390.5162094763092
12,880145.000135,1261167.000135,1827157.000135,1261167.000135,1827157.000135,3476519.8418114143,565990.0,393.1116625310174
13,880165.000135,1261167.000135,1835312.000135,1261167.000135,1835312.000135,3534646.9380040322,574145.0,394.0074441687345
14,881304.000135,1261167.000135,1518370.000135,1261167.000135,1518370.000135,1008038.5489368557,257203.00000000003,250.83092783505154
15,884079.000135,1261167.000135,1306449.860792,1261167.000135,1306449.860792,419803.72951544356,125227.73455011207,214.54862842892769
16,896743.000135,1271196.000135,1700648.784675,1271196.000135,1700648.784675,11823239.41922996,2014473.633082156,375.6253298153034
17,906050.000135,1271394.000135,1284545.000135,-1,-1,43303.8511407455,13151.0,210.74035989717223
18,906242.000135,1271394.000135,1492747.000135,1271394.000135,1492747.000135,855163.6750467415,221353.0,247.2542735042735
19,906308.000135,1271394.000135,1366291.437286,1271394.000135,1366291.437286,953101.3269986896,271104.37745740503,225.0
20,912363.000135,1306449.860792,1314185.860792,1306449.860792,1314185.860792,86480.36273865274,25278.860070445084,218.9475
21,912416.000135,1314185.860792,1318016.860792,1314185.860792,1318016.860792,45202.219591161,13154.669609441287,219.9175
22,912464.000135,1318016.860792,1368992.860792,1318016.860792,1368992.860792,541902.8686013855,150723.27129750984,230.10238095238094
23,919057.000135,1366291.437286,1366327.437286,1366291.437286,1366327.437286,128.20096852300242,36.0,227.91283292978207
24,919062.000135,1366291.437286,1366323.437286,1366291.437286,1366323.437286,113.97566909975667,31.999999999999996,227.95133819951337
25,919460.000135,1366291.437286,1366333.437286,1366291.437286,1366333.437286,150.51858313106797,42.0,229.36165048543688
26,919938.000135,1366291.437286,1366372.355483,1366291.437286,1366372.355483,706.100132978138,196.21706141376106,230.30825242718447
27,926406.000135,1366372.355483,1424846.482402,1366372.355483,1424846.482402,1274778.1888606525,333749.12452326866,244.45248868778282
28,926450.000135,1406620.808368,1416915.306743,1406620.808368,1416915.306743,149633.11395866366,39235.57601290353,244.07744874715263
29,926459.000135,1416915.306743,1428603.289614,1416915.306743,1428603.289614,289247.6830994837,75161.56656609465,246.2941176470588
30,927675.000135,1424846.482402,1424913.367016,1424846.482402,1424913.367016,1530.8818693339513,397.69401415551863,246.36136363636365
31,930392.000135,1424913.367016,1873809.367016,1424913.367016,1873809.367016,17749577.89258607,2669122.848496717,425.5978647686833
32,930730.000135,1428603.289614,1855305.289614,1428603.289614,1855305.289614,18142121.590296518,2822285.0943537527,411.4027261462206
33,930880.000135,1428603.289614,1876375.289614,1428603.289614,1876375.289614,16802093.382681366,2508735.016551212,428.63593380614657
34,931137.000135,1492747.000135,2040609.710604,1492747.000135,2040609.710604,21292866.132696915,2684142.3726522075,507.7016205910391
35,931720.000135,1631047.000135,1932030.666146,1631047.000135,1932030.666146,11281282.694910536,1642414.6915454008,439.5979262672811
36,932386.000135,1700648.784675,1700684.784675,-1,-1,217.1470439189189,36.0,386.0391891891892
37,933620.000135,1700648.784675,1700679.784675,1700648.784675,1700679.784675,186.9936907181572,31.000000000000004,386.05149051490514
38,934094.000135,1700679.784675,1700710.784675,1700679.784675,1700710.784675,187.66876691474965,31.0,387.44519621109606
39,935095.000135,1700684.784675,1700789.784675,1700684.784675,1700789.784675,637.921558277027,105.0,388.8283783783784
40,935990.000135,1700710.784675,1700729.784675,1700710.784675,1700729.784675,115.439320799458,19.0,388.84823848238483
41,936163.000135,1700729.784675,1701702.277485,1700729.784675,1701702.277485,10494.409948829954,1721.1622734818018,390.22598105548036
42,936180.000135,1701702.277485,1703581.134777,1701702.277485,1703581.134777,20661.734583545473,3376.8250847250633,391.59594594594597
43,936408.000135,1703581.134777,1703691.134777,1703581.134777,1703691.134777,675.3968454790823,110.00000000000001,392.95816464237515
44,937673.000135,1703581.134777,1703683.134777,1703581.134777,1703683.134777,626.3243403247632,102.0,392.9878213802436
45,938328.000135,1703683.134777,1703727.134777,1703683.134777,1703727.134777,271.11190878378375,44.0,394.3445945945946
46,938339.000135,1703691.134777,2311590.708806,1703691.134777,2311590.708806,23563244.849055056,2635934.5266563534,572.1112019623876
47,939185.000135,1780815.000135,1780860.000135,1780815.000135,1780860.000135,285.0363419842313,45.0,405.3850197109067
48,939922.000135,1780815.000135,1782825.2752,1780815.000135,1782825.2752,28405.310110080896,4474.483803010411,406.2904073587385
49,941374.000135,1782825.2752,1782855.2752,1782825.2752,1782855.2752,190.871796977661,30.000000000000004,407.19316688567676
50,943367.000135,1782825.2752,1784113.878672,1782825.2752,1784113.878672,19527.052032977655,3062.366707176877,408.0932982917214
51,946857.000135,1784113.878672,2026266.047978,1784113.878672,2026266.047978,11529004.34197757,1439464.478581048,512.5908203125
52,948818.000135,1855305.289614,1855410.289614,1855305.289614,1855410.289614,691.7511288022815,105.00000000000001,421.638783269962
53,949204.000135,1855305.289614,1855369.105653,1855305.289614,1855369.105653,1587.8442625682846,240.98682866848674,421.6912325285896
54,952206.000135,1855369.105653,1891965.02835,1855369.105653,1891965.02835,1265225.3639980946,183285.17752120542,441.7947178871549
55,953266.000135,1876375.289614,1950110.121125,1876375.289614,1950110.121125,2285144.318713896,317517.86571655556,460.601598173516
56,953317.000135,1891965.02835,1958467.451498,1891965.02835,1958467.451498,3695625.8468774674,508849.5306901753,464.8133484162896
57,956090.000135,1932030.666146,2105252.49538,1932030.666146,2105252.49538,2588946.3734770934,315854.5149513602,524.585086042065
58,956271.000135,1950110.121125,1951121.121125,1950110.121125,1951121.121125,40925.67890574952,5664.3360945599,462.4096109839817
59,961716.000135,1950110.121125,2326269.24806,1950110.121125,2326269.24806,13090466.481792206,1433401.2674258847,584.4768480909829
60,961993.000135,1951121.121125,2365847.44562,1951121.121125,2365847.44562,7214711.218848124,757014.187789084,609.9509433962264
61,963028.000135,1958467.451498,1961439.451498,1958467.451498,1961439.451498,64862.77796078733,8787.460026212322,472.40246636771303
62,981636.000135,1958467.451498,1976215.451498,1958467.451498,1976215.451498,134720.2112837838,17748.0,485.8064864864865
63,981904.000135,1958467.451498,1958488.451498,1958467.451498,1958488.451498,861.2240627928004,117.65683282468635,468.46697038724375
64,982125.000135,1958467.451498,1970127.451498,-1,-1,88334.74060457517,11660.0,484.8562091503268
65,983343.000135,1958467.451498,1958674.651993,1958467.451498,1958674.651993,5112.368285673618,695.2317636195753,470.62229806598407
