app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.031876,0.031876,984.031876,0.031876,984.031876,984.0,984,16.79310344827586
1,1.031876,1.031876,7268.031876,1.031876,7268.031876,7267.0,7267,55.15181518151815
2,42.031876,42.031876,1025.031876,42.031876,1025.031876,983.0,983,17.75862068965517
3,59.031876,59.031876,223.031876,59.031876,223.031876,164.0,164,9.4
4,60.031876,60.031876,346.031876,60.031876,346.031876,286.0,286,10.95
5,81.031876,81.031876,5158.031876,81.031876,5158.031876,5077.0,5077,42.902272727272724
6,100.031876,100.031876,557.531876,100.031876,557.531876,457.5,915,13.535714285714286
7,117.031876,117.031876,208.031876,117.031876,208.031876,91.0,91,11.0
8,138.031876,138.031876,176.365209,138.031876,176.365209,38.333333333333336,115,10.666666666666666
9,167.031876,167.031876,506.031876,167.031876,506.031876,339.0,339,13.956521739130435
10,171.031876,171.031876,976.031876,171.031876,976.031876,805.0,805,19.148936170212767
11,174.031876,174.031876,1066.031876,174.031876,1066.031876,892.0,892,20.703703703703702
12,175.031876,175.031876,322.031876,175.031876,322.031876,147.0,147,13.0
13,181.031876,181.031876,447.031876,181.031876,447.031876,266.0,266,14.0
14,195.031876,195.031876,1082.031876,195.031876,1082.031876,887.0,887,22.272727272727273
15,261.031876,261.031876,4399.031876,261.031876,4399.031876,4138.0,4138,37.74285714285714
16,318.031876,318.031876,905.031876,318.031876,905.031876,587.0,587,19.21875
17,343.031876,343.031876,1258.031876,343.031876,1258.031876,915.0,915,26.405797101449274
18,343.031876,343.031876,6781.031876,343.031876,6781.031876,6438.0,6438,53.98348623853211
19,354.031876,354.031876,779.031876,354.031876,779.031876,425.0,425,18.42105263157895
20,436.031876,436.031876,1403.031876,436.031876,1403.031876,967.0,967,29.097560975609756
21,441.031876,441.031876,711.031876,441.031876,711.031876,270.0,270,18.533333333333335
22,457.031876,457.031876,1109.031876,457.031876,1109.031876,652.0,652,25.347826086956523
23,490.031876,490.031876,1167.031876,490.031876,1167.031876,677.0,677,26.333333333333332
24,490.031876,490.031876,958.031876,490.031876,958.031876,468.0,468,22.923076923076923
25,523.031876,523.031876,1339.031876,523.031876,1339.031876,816.0,816,29.238095238095237
26,614.031876,614.031876,642.531876,614.031876,642.531876,28.5,57,19.0
27,644.031876,644.031876,5196.531876,644.031876,5196.531876,6445.9135492700725,9105,45.30900243309002
28,696.031876,696.031876,1086.031876,696.031876,1086.031876,390.0,390,26.942857142857143
29,700.031876,700.031876,1587.031876,700.031876,1587.031876,887.0,887,30.988505747126435
30,710.031876,710.031876,1409.031876,710.031876,1409.031876,699.0,699,31.44927536231884
31,771.031876,771.031876,1028.031876,771.031876,1028.031876,257.0,257,26.45
32,782.031876,782.031876,1378.031876,782.031876,1378.031876,596.0,596,31.9672131147541
33,805.031876,805.031876,1476.031876,805.031876,1476.031876,671.0,671,32.06944444444444
34,812.031876,812.031876,1355.031876,812.031876,1355.031876,543.0,543,32.0
35,814.031876,814.031876,8737.031876,814.031876,8737.031876,8340.009415643064,7923,67.36849710982659
36,825.031876,825.031876,7491.031876,825.031876,7491.031876,6666.0,6666,59.61631944444444
37,869.031876,869.031876,1409.031876,869.031876,1409.031876,540.0,540,32.80327868852459
38,892.031876,892.031876,1765.031876,892.031876,1765.031876,873.0,873,31.844444444444445
39,922.031876,922.031876,8439.031876,922.031876,8439.031876,7636.608228211009,7517,65.01834862385321
40,943.031876,943.031876,1394.031876,943.031876,1394.031876,451.0,451,33.22641509433962
41,953.031876,953.031876,1340.031876,953.031876,1340.031876,387.0,387,32.81395348837209
42,955.031876,955.031876,1331.031876,955.031876,1331.031876,376.0,376,32.675
43,984.031876,984.031876,1247.031876,984.031876,1247.031876,263.0,263,31.620689655172413
44,1033.031876,1033.031876,1350.365209,1033.031876,1350.365209,502.53378378378375,952,33.78378378378378
45,1057.031876,1057.031876,1543.031876,1057.031876,1543.031876,486.0,486,33.18333333333333
46,1057.031876,1057.031876,1483.031876,1057.031876,1483.031876,426.0,426,33.7037037037037
47,1067.031876,1067.031876,8173.031876,1067.031876,8173.031876,7106.0,7106,63.675409836065576
48,1069.031876,1069.031876,1160.031876,1069.031876,1160.031876,91.0,91,31.615384615384617
49,1073.031876,1073.031876,2047.031876,1073.031876,2047.031876,974.0,974,32.40425531914894
50,1075.031876,1075.031876,1082.603305,1075.031876,1082.603305,27.052083333333332,53,32.666666666666664
51,1096.031876,1096.031876,1645.031876,1096.031876,1645.031876,549.0,549,33.10344827586207
52,1114.031876,1114.031876,10880.031876,1114.031876,10880.031876,12760.38369278169,9766,83.62323943661971
53,1117.031876,1117.031876,1423.031876,1117.031876,1423.031876,306.0,306,35.4
54,1156.031876,1156.031876,1373.031876,1156.031876,1373.031876,217.0,217,36.148148148148145
55,1156.031876,1156.031876,1310.031876,1156.031876,1310.031876,154.0,154,36.0625
56,1167.031876,1167.031876,3086.031876,1167.031876,3086.031876,1919.0,1919,31.345911949685533
57,1196.031876,1196.031876,2145.031876,1196.031876,2145.031876,949.0,949,32.264367816091955
58,1205.031876,1205.031876,2106.031876,1205.031876,2106.031876,901.0,901,32.4390243902439
59,1222.031876,1222.031876,1976.031876,1222.031876,1976.031876,754.0,754,32.68571428571428
60,1233.031876,1233.031876,7254.031876,1233.031876,7254.031876,6021.0,6021,60.43295019157088
61,1240.031876,1240.031876,1366.031876,1240.031876,1366.031876,126.0,126,37.529411764705884
62,1256.031876,1256.031876,1610.031876,1256.031876,1610.031876,354.0,354,33.325
63,1257.031876,1257.031876,1432.031876,1257.031876,1432.031876,175.0,175,35.625
64,1264.031876,1264.031876,1671.031876,1264.031876,1671.031876,407.0,407,32.476190476190474
65,1286.031876,1286.031876,1513.031876,1286.031876,1513.031876,227.0,227,33.724137931034484
66,1346.031876,1346.031876,1495.031876,1346.031876,1495.031876,149.0,149,33.09090909090909
67,1359.031876,1359.031876,1440.031876,1359.031876,1440.031876,81.0,81,33.266666666666666
