app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.000273,0.000273,2683411.000273,0.000273,2683411.000273,10845786.319498625,2683411.0,258.67462138595687
1,336541.000273,336541.000273,1631047.000273,336541.000273,1631047.000273,14986409.734059788,8562099.517582526,112.02044790652386
2,475911.000273,475911.000273,1768411.000273,475911.000273,1768411.000273,2750830.06187604,1292500.0,136.21131447587354
3,476285.000273,476285.000273,1271394.000273,476285.000273,1271394.000273,4964589.724425336,4727695.499504065,67.20689655172414
4,543390.000273,543390.000273,1261167.000273,543390.000273,1261167.000273,4405513.991749238,4267881.626981369,66.06389776357827
5,600049.000273,600049.000273,1513013.659459,-1,-1,3916569.122269517,2939758.7264678045,85.26564495530013
6,627951.000273,627951.000273,1480146.985886,627951.000273,1271196.000273,4643508.799106444,3603912.830015017,82.46164021164022
7,671239.000273,671239.000273,1934180.851029,671239.000273,1899887.000273,18405846.31030112,7305506.062784688,161.24470416362308
8,837589.000273,837589.000273,2123690.22802,837589.000273,1780815.000273,17974966.567697763,6158172.0676236255,186.80833333333334
9,837888.000273,837888.000273,1672388.721812,837888.000273,1406620.808506,6133669.110102688,3361050.9605996925,116.79526066350711
10,880076.000273,881304.000273,2001665.159424,1261167.000273,1785167.000273,1447633.7483176314,524000.00000000006,176.81022880215343
11,880119.000273,881304.000273,2012209.983574,1261167.000273,1794862.000273,1520657.3299511657,533695.0000000001,182.35521996060407
12,880145.000273,881304.000273,2052362.683183,1261167.000273,1827157.000273,1625569.2135450684,565990.0,183.81319399085564
13,880165.000273,881304.000273,2061560.505774,-1,-1,1656517.0291632737,574145.0,184.65211726384365
14,881304.000273,881304.000273,1138507.000273,-1,-1,257203.00000000003,257203.00000000003,55.617107942973526
15,884079.000273,884079.000273,922402.000273,884079.000273,922402.000273,40405.51122593459,125227.73455011207,20.65
16,896743.000273,1480146.985886,2155602.111689,-1,-1,6101084.57786364,2014473.633082156,193.83198001249218
17,906050.000273,906050.000273,919201.000273,906050.000273,919201.000273,13151.0,13151.0,21.25
18,906242.000273,906242.000273,1127595.000273,906242.000273,1127595.000273,221353.0,221353.0,55.81649484536082
19,906308.000273,906308.000273,997998.000273,906308.000273,997998.000273,129755.54907911984,271104.37745740503,30.63157894736842
20,912363.000273,912363.000273,920099.000273,912363.000273,920099.000273,8689.608149215497,25278.860070445084,22.0
21,912416.000273,912416.000273,916247.000273,912416.000273,916247.000273,4590.431582461282,13154.669609441287,22.333333333333332
22,912464.000273,912464.000273,964582.248102,912464.000273,964582.248102,62582.02004471514,150723.27129750984,26.573529411764707
23,919057.000273,919057.000273,919093.000273,919057.000273,919093.000273,36.0,36.0,23.333333333333332
24,919062.000273,919062.000273,919094.000273,919062.000273,919094.000273,31.999999999999996,31.999999999999996,23.666666666666668
25,919460.000273,919460.000273,919502.000273,919460.000273,919502.000273,42.0,42.0,22.0
26,919938.000273,919938.000273,919971.000273,919938.000273,919971.000273,67.44961486098036,196.21706141376106,22.0
27,926406.000273,926406.000273,1019625.098585,-1,-1,186563.8886182254,333749.12452326866,35.77564102564103
28,926450.000273,926459.000273,939728.833827,989020.233871,997764.433257,16292.424319752081,39235.57601290353,26.575757575757574
29,926459.000273,926459.000273,960213.745135,926459.000273,997833.636228,32307.969302007525,75161.56656609465,27.510204081632654
30,927675.000273,927675.000273,927735.289564,927675.000273,927735.289564,142.92128633713952,397.69401415551863,23.0
31,930392.000273,1513013.659459,2073366.630421,1261167.000273,1780496.137086,7835797.85907809,2669122.848496717,187.8860927152318
32,930730.000273,1631047.000273,2097771.305433,1271394.000273,1789727.0268,8333658.924974127,2822285.0943537527,188.97955145118735
33,930880.000273,1672388.721812,2552633.250795,-1,-1,9865988.210943976,2508735.016551212,251.68989205103043
34,931137.000273,1934180.851029,2424281.108723,1480146.985886,1987236.745425,9839572.03049091,2684142.3726522075,234.6122233930453
35,931720.000273,2061560.505774,2324221.572568,1513013.659459,1861922.897949,5767464.007421705,1642414.6915454008,224.74086378737542
36,932386.000273,932386.000273,932422.000273,-1,-1,36.0,36.0,28.0
37,933620.000273,933620.000273,933651.000273,933620.000273,933651.000273,31.000000000000004,31.000000000000004,28.0
38,934094.000273,934094.000273,934125.000273,934094.000273,934125.000273,31.0,31.0,28.0
39,935095.000273,935095.000273,935200.000273,935095.000273,935200.000273,105.0,105.0,28.0
40,935990.000273,935990.000273,936009.000273,935990.000273,936009.000273,19.0,19.0,28.0
