app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.030877,0.030877,984.030877,0.030877,984.030877,984.0,984,16.79310344827586
1,1.030877,1.030877,7268.030877,1.030877,7268.030877,7267.0,7267,52.80258899676375
2,42.030877,42.030877,1025.030877,42.030877,1025.030877,983.0,983,17.75862068965517
3,59.030877,59.030877,223.030877,59.030877,223.030877,164.0,164,9.4
4,60.030877,60.030877,346.030877,60.030877,346.030877,286.0,286,10.95
5,81.030877,81.030877,5158.030877,81.030877,5158.030877,5077.0,5077,42.83747178329571
6,100.030877,100.030877,557.530877,100.030877,557.530877,457.5,915,13.535714285714286
7,117.030877,117.030877,208.030877,117.030877,208.030877,91.0,91,11.0
8,138.030877,138.030877,176.36421,138.030877,176.36421,38.333333333333336,115,10.666666666666666
9,167.030877,167.030877,506.030877,167.030877,506.030877,339.0,339,13.956521739130435
10,171.030877,171.030877,976.030877,171.030877,976.030877,805.0,805,19.148936170212767
11,174.030877,174.030877,1066.030877,174.030877,1066.030877,892.0,892,20.703703703703702
12,175.030877,175.030877,322.030877,175.030877,322.030877,147.0,147,13.0
13,181.030877,181.030877,447.030877,181.030877,447.030877,266.0,266,14.0
14,195.030877,195.030877,1082.030877,195.030877,1082.030877,887.0,887,22.272727272727273
15,261.030877,261.030877,4399.030877,261.030877,4399.030877,4138.0,4138,37.69230769230769
16,318.030877,318.030877,905.030877,318.030877,905.030877,587.0,587,19.21875
17,343.030877,343.030877,1258.030877,343.030877,1258.030877,915.0,915,26.405797101449274
18,343.030877,343.030877,6781.030877,343.030877,6781.030877,6438.0,6438,52.46607142857143
19,354.030877,354.030877,779.030877,354.030877,779.030877,425.0,425,18.42105263157895
20,436.030877,436.030877,1403.030877,436.030877,1403.030877,967.0,967,29.097560975609756
21,441.030877,441.030877,711.030877,441.030877,711.030877,270.0,270,18.533333333333335
22,457.030877,457.030877,1109.030877,457.030877,1109.030877,652.0,652,25.347826086956523
23,490.030877,490.030877,1167.030877,490.030877,1167.030877,677.0,677,26.333333333333332
24,490.030877,490.030877,958.030877,490.030877,958.030877,468.0,468,22.923076923076923
25,523.030877,523.030877,1339.030877,523.030877,1339.030877,816.0,816,29.238095238095237
26,614.030877,614.030877,642.530877,614.030877,642.530877,28.5,57,19.0
27,644.030877,644.030877,5196.530877,644.030877,5196.530877,6431.505887681159,9105,45.207729468599034
28,696.030877,696.030877,1086.030877,696.030877,1086.030877,390.0,390,26.942857142857143
29,700.030877,700.030877,1587.030877,700.030877,1587.030877,887.0,887,30.988505747126435
30,710.030877,710.030877,1409.030877,710.030877,1409.030877,699.0,699,31.44927536231884
31,771.030877,771.030877,1028.030877,771.030877,1028.030877,257.0,257,26.45
32,782.030877,782.030877,1378.030877,782.030877,1378.030877,596.0,596,31.9672131147541
33,805.030877,805.030877,1476.030877,805.030877,1476.030877,671.0,671,32.06944444444444
