app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.000282,0.000282,2683411.000282,0.000282,2683411.000282,7116983.414873418,2683411.0,169.74177215189874
1,336541.000282,336541.000282,3474867.735954,336541.000282,1631047.000282,38445469.94054671,8562099.517582526,287.37228189677757
2,475911.000282,475911.000282,1768411.000282,475911.000282,1768411.000282,2002260.1456447965,1292500.0,99.1447963800905
3,476285.000282,476285.000282,1952755.273817,476285.000282,1271394.000282,8427292.158684026,4727695.499504065,114.08236808236808
4,543390.000282,543390.000282,1925020.340265,543390.000282,1261167.000282,7358575.66408273,4267881.626981369,110.3472128945601
5,600049.000282,600049.000282,1874378.604223,600049.000282,1371373.000282,4977838.962877536,2939758.7264678045,108.37001375515818
6,627951.000282,627951.000282,1981108.544421,-1,-1,6649220.568676415,3603912.830015017,118.08002481389578
7,671239.000282,671239.000282,3889914.939148,671239.000282,1899887.000282,38743777.075749464,7305506.062784688,339.41546438232643
8,837589.000282,837589.000282,3994872.115896,837589.000282,1780815.000282,33649734.75034163,6158172.0676236255,349.7114079264287
9,837888.000282,837888.000282,2557376.977985,837888.000282,1406620.808515,8588540.651770549,3361050.9605996925,163.5400974745237
10,880076.000282,880076.000282,1404076.000282,-1,-1,565477.5725593668,524000.00000000006,69.06596306068602
11,880119.000282,880119.000282,1413814.000282,880119.000282,1413814.000282,578670.653885691,533695.0000000001,69.39342105263158
12,880145.000282,880145.000282,1446135.000282,880145.000282,1446135.000282,628065.4436777921,565990.0,71.01925545571245
13,880165.000282,880165.000282,1454310.000282,880165.000282,1454310.000282,639756.3204225353,574145.0,71.31370038412292
14,881304.000282,881304.000282,1138507.000282,881304.000282,1138507.000282,257203.00000000003,257203.00000000003,47.624015748031496
15,884079.000282,884079.000282,922402.000282,884079.000282,922402.000282,40405.51122593459,125227.73455011207,20.65
16,896743.000282,927675.000282,2078629.246996,1261167.000282,1696720.73744,3958334.5937907873,2014473.633082156,125.75662934590454
17,906050.000282,906050.000282,919201.000282,906050.000282,919201.000282,13151.0,13151.0,21.25
18,906242.000282,906242.000282,1127595.000282,906242.000282,1127595.000282,221353.0,221353.0,47.73852295409181
19,906308.000282,906308.000282,997998.000282,906308.000282,997998.000282,125264.74583411349,271104.37745740503,29.571428571428573
20,912363.000282,912363.000282,920099.000282,912363.000282,920099.000282,8689.608149215497,25278.860070445084,22.0
21,912416.000282,912416.000282,916247.000282,912416.000282,916247.000282,4590.431582461282,13154.669609441287,22.333333333333332
22,912464.000282,912464.000282,963440.000282,912464.000282,963440.000282,61879.82130035899,150723.27129750984,26.27536231884058
23,919057.000282,919057.000282,919093.000282,-1,-1,36.0,36.0,23.333333333333332
24,919062.000282,919062.000282,919094.000282,919062.000282,919094.000282,31.999999999999996,31.999999999999996,23.666666666666668
25,919460.000282,919460.000282,919502.000282,919460.000282,919502.000282,42.0,42.0,22.0
26,919938.000282,919938.000282,919971.000282,919938.000282,919971.000282,67.44961486098036,196.21706141376106,22.0
27,926406.000282,926406.000282,983188.430866,926406.000282,983188.000282,145174.14035462745,333749.12452326866,27.838709677419356
28,926450.000282,926450.000282,936338.07498,926450.000282,936207.080913,15772.255698368892,39235.57601290353,25.727272727272727
29,926459.000282,936338.07498,949490.88132,936207.080913,948210.282141,31521.949614544672,75161.56656609465,26.84090909090909
30,927675.000282,927675.000282,927719.000282,927675.000282,927719.000282,142.92128633713952,397.69401415551863,23.0
31,930392.000282,930880.000282,2350991.247768,1271423.337136,1752129.30378,6113921.282820414,2669122.848496717,146.59908303616913
32,930730.000282,930880.000282,2673509.334675,1319132.561693,1799484.416756,7593350.459570883,2822285.0943537527,172.19182795698924
33,930880.000282,930880.000282,3128517.654396,930880.000282,1914807.921335,8963107.666079085,2508735.016551212,228.6566284779051
34,931137.000282,949490.88132,3266398.981072,1636229.96734,2089460.31143,10218733.812523207,2684142.3726522075,243.65285935085006
35,931720.000282,949490.88132,2824003.805167,1643671.131035,1913393.054026,4826406.66947834,1642414.6915454008,188.07066719305172
36,932386.000282,932386.000282,932422.000282,932386.000282,932422.000282,36.0,36.0,28.0
37,933620.000282,933620.000282,933651.000282,933620.000282,933651.000282,31.000000000000004,31.000000000000004,28.0
38,934094.000282,934094.000282,934125.000282,934094.000282,934125.000282,31.0,31.0,28.0
39,935095.000282,935095.000282,935200.000282,935095.000282,935200.000282,105.0,105.0,28.0
40,935990.000282,935990.000282,936009.000282,935990.000282,936009.000282,19.0,19.0,28.0
41,936163.000282,936163.000282,936658.000282,-1,-1,761.9728814893393,1721.1622734818018,28.333333333333332
42,936180.000282,936180.000282,937066.000282,936180.000282,937066.000282,1494.948605216825,3376.8250847250633,28.333333333333332
43,936408.000282,936408.000282,936518.000282,936408.000282,936518.000282,110.00000000000001,110.00000000000001,29.0
44,937673.000282,937673.000282,937775.000282,937673.000282,937775.000282,102.0,102.0,27.0
45,938328.000282,938328.000282,938372.000282,938328.000282,938372.000282,44.0,44.0,27.333333333333332
46,938339.000282,949490.88132,3432292.872438,1702295.32832,2272771.241268,11747450.4506912,2635934.5266563534,285.22591181273816
47,939185.000282,939185.000282,939230.000282,939185.000282,939230.000282,45.0,45.0,28.0
48,939922.000282,939922.000282,941096.000282,939922.000282,941096.000282,1957.5866638170548,4474.483803010411,28.0
49,941374.000282,941374.000282,941404.000282,941374.000282,941404.000282,30.000000000000004,30.000000000000004,28.0
50,943367.000282,943367.000282,943830.000282,943367.000282,943830.000282,1339.7854343898837,3062.366707176877,28.0
51,946857.000282,949490.88132,2849166.822462,949445.854021,1967467.19989,4389912.265537114,1439464.478581048,195.17979719188767
52,948818.000282,948818.000282,948923.000282,948818.000282,948923.000282,105.00000000000001,105.00000000000001,29.0
53,949204.000282,949204.000282,949245.000282,949204.000282,949245.000282,109.19715674040805,240.98682866848674,29.0
