app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.03055,0.03055,984.03055,0.03055,984.03055,984.0,984,16.79310344827586
1,1.03055,1.03055,7268.03055,1.03055,7268.03055,7267.0,7267,50.52063492063492
2,42.03055,42.03055,1025.03055,42.03055,1025.03055,983.0,983,17.75862068965517
3,59.03055,59.03055,223.03055,59.03055,223.03055,164.0,164,9.4
4,60.03055,60.03055,346.03055,60.03055,346.03055,286.0,286,10.95
5,81.03055,81.03055,5158.03055,81.03055,5158.03055,5077.0,5077,42.700450450450454
6,100.03055,100.03055,557.53055,100.03055,557.53055,457.5,915,13.535714285714286
7,117.03055,117.03055,208.03055,117.03055,208.03055,91.0,91,11.0
8,138.03055,138.03055,176.363883,138.03055,176.363883,38.333333333333336,115,10.666666666666666
9,167.03055,167.03055,506.03055,167.03055,506.03055,339.0,339,13.956521739130435
10,171.03055,171.03055,976.03055,171.03055,976.03055,805.0,805,19.148936170212767
11,174.03055,174.03055,1066.03055,174.03055,1066.03055,892.0,892,20.703703703703702
12,175.03055,175.03055,322.03055,175.03055,322.03055,147.0,147,13.0
13,181.03055,181.03055,447.03055,181.03055,447.03055,266.0,266,14.0
14,195.03055,195.03055,1082.03055,195.03055,1082.03055,887.0,887,22.272727272727273
15,261.03055,261.03055,4399.03055,261.03055,4399.03055,4138.0,4138,37.58974358974359
16,318.03055,318.03055,905.03055,318.03055,905.03055,587.0,587,19.21875
17,343.03055,343.03055,1258.03055,343.03055,1258.03055,915.0,915,26.405797101449274
18,343.03055,343.03055,6781.03055,343.03055,6781.03055,6438.0,6438,50.81611208406305
19,354.03055,354.03055,779.03055,354.03055,779.03055,425.0,425,18.42105263157895
20,436.03055,436.03055,1403.03055,436.03055,1403.03055,967.0,967,29.097560975609756
21,441.03055,441.03055,711.03055,441.03055,711.03055,270.0,270,18.533333333333335
22,457.03055,457.03055,1109.03055,457.03055,1109.03055,652.0,652,25.347826086956523
23,490.03055,490.03055,1167.03055,490.03055,1167.03055,677.0,677,26.333333333333332
24,490.03055,490.03055,958.03055,490.03055,958.03055,468.0,468,22.923076923076923
25,523.03055,523.03055,1339.03055,523.03055,1339.03055,816.0,816,29.238095238095237
26,614.03055,614.03055,642.53055,614.03055,642.53055,28.5,57,19.0
27,644.03055,644.03055,5196.53055,644.03055,5196.53055,6409.1521084337355,9105,45.05060240963856
28,696.03055,696.03055,1086.03055,696.03055,1086.03055,390.0,390,26.942857142857143
29,700.03055,700.03055,1587.03055,700.03055,1587.03055,887.0,887,30.988505747126435
30,710.03055,710.03055,1409.03055,710.03055,1409.03055,699.0,699,31.44927536231884
31,771.03055,771.03055,1028.03055,771.03055,1028.03055,257.0,257,26.45
32,782.03055,782.03055,1378.03055,782.03055,1378.03055,596.0,596,31.9672131147541
33,805.03055,805.03055,1476.03055,805.03055,1476.03055,671.0,671,32.06944444444444
34,812.03055,812.03055,1355.03055,812.03055,1355.03055,543.0,543,32.0
35,814.03055,814.03055,8737.03055,814.03055,8737.03055,7923.0,7923,57.67768595041322
36,825.03055,825.03055,7491.03055,825.03055,7491.03055,6666.0,6666,53.91166666666667
37,869.03055,869.03055,1409.03055,869.03055,1409.03055,540.0,540,32.80327868852459
38,892.03055,892.03055,1765.03055,892.03055,1765.03055,873.0,873,31.844444444444445
39,922.03055,922.03055,8439.03055,922.03055,8439.03055,7517.0,7517,56.370262390670554
40,943.03055,943.03055,1394.03055,943.03055,1394.03055,451.0,451,33.22641509433962
41,953.03055,953.03055,1340.03055,953.03055,1340.03055,387.0,387,32.81395348837209
42,955.03055,955.03055,1331.03055,955.03055,1331.03055,376.0,376,32.675
43,984.03055,984.03055,1247.03055,984.03055,1247.03055,263.0,263,31.620689655172413
44,1033.03055,1033.03055,1350.363883,1033.03055,1350.363883,502.53378378378375,952,33.78378378378378
45,1057.03055,1057.03055,1543.03055,1057.03055,1543.03055,486.0,486,33.18333333333333
46,1057.03055,1057.03055,1483.03055,1057.03055,1483.03055,426.0,426,33.7037037037037
47,1067.03055,1067.03055,8173.03055,1067.03055,8173.03055,7106.0,7106,56.09472049689441
48,1069.03055,1069.03055,1160.03055,1069.03055,1160.03055,91.0,91,31.615384615384617
49,1073.03055,1073.03055,2047.03055,1073.03055,2047.03055,974.0,974,32.40425531914894
50,1075.03055,1075.03055,1082.601979,1075.03055,1082.601979,27.052083333333332,53,32.666666666666664
51,1096.03055,1096.03055,1645.03055,1096.03055,1645.03055,549.0,549,33.10344827586207
52,1114.03055,1114.03055,10880.03055,1114.03055,10880.03055,9984.273260517799,9766,65.43042071197411
53,1117.03055,1117.03055,1423.03055,1117.03055,1423.03055,306.0,306,35.4
54,1156.03055,1156.03055,1373.03055,1156.03055,1373.03055,217.0,217,36.148148148148145
55,1156.03055,1156.03055,1310.03055,1156.03055,1310.03055,154.0,154,36.0625
56,1167.03055,1167.03055,3086.03055,1167.03055,3086.03055,1919.0,1919,31.345911949685533
57,1196.03055,1196.03055,2145.03055,1196.03055,2145.03055,949.0,949,32.264367816091955
58,1205.03055,1205.03055,2106.03055,1205.03055,2106.03055,901.0,901,32.4390243902439
59,1222.03055,1222.03055,1976.03055,1222.03055,1976.03055,754.0,754,32.68571428571428
60,1233.03055,1233.03055,7254.03055,1233.03055,7254.03055,6021.0,6021,54.9010989010989
61,1240.03055,1240.03055,1366.03055,1240.03055,1366.03055,126.0,126,37.529411764705884
62,1256.03055,1256.03055,1610.03055,1256.03055,1610.03055,354.0,354,33.325
63,1257.03055,1257.03055,1432.03055,1257.03055,1432.03055,175.0,175,35.625
64,1264.03055,1264.03055,1671.03055,1264.03055,1671.03055,407.0,407,32.476190476190474
65,1286.03055,1286.03055,1513.03055,1286.03055,1513.03055,227.0,227,33.724137931034484
66,1346.03055,1346.03055,1495.03055,1346.03055,1495.03055,149.0,149,33.09090909090909
67,1359.03055,1359.03055,1440.03055,1359.03055,1440.03055,81.0,81,33.266666666666666
68,1364.03055,1364.03055,1861.03055,1364.03055,1861.03055,497.0,497,31.022727272727273
69,1400.03055,1400.03055,7623.03055,1400.03055,7623.03055,6223.0,6223,56.552158273381295
70,1424.03055,1424.03055,2263.03055,1424.03055,2263.03055,839.0,839,29.880597014925375
