app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.000143,0.000143,2310089.287307,0.000143,1164546.000143,5330120.509076706,3998751.729312558,85.3085501858736
1,70024.000143,70024.000143,834950.277585,70024.000143,833863.000143,4049166.37710452,5052170.892534079,51.294117647058826
2,135296.000143,135296.000143,3257025.903598,135296.000143,1262634.000143,9952429.16954249,4082089.510080025,156.03662420382165
3,178298.000143,178298.000143,3627898.945135,178298.000143,1284812.000143,9762158.397378674,4006685.8317174516,155.93389740877842
4,265278.000143,265278.000143,3640926.409542,265278.000143,1291186.000143,4316011.5038629845,1770791.441485117,155.98942358540455
5,313422.000143,313422.000143,852860.995734,313422.000143,852222.000143,1591725.0251625103,1950994.136657433,52.21461187214612
6,318554.000143,318554.000143,897305.73145,318554.000143,894217.000143,3129611.377315272,3758411.8832224933,53.29249011857708
7,318802.000143,318802.000143,919576.378691,318802.000143,914381.000143,3883017.0343397735,4641347.419869659,53.54330708661417
8,319542.000143,319542.000143,8932069.052752,319542.000143,1294215.000143,4261073.529918052,1779487.3333902908,153.25127681307455
9,319849.000143,319849.000143,7107018.757904,319849.000143,1171542.000143,7827414.508671214,3246070.3012243155,154.32645693656525
10,320203.000143,320203.000143,11403854.60185,320203.000143,1155653.037346,7051705.589045627,2965563.1332482724,152.1832911392405
11,323049.000143,323049.000143,11042044.992374,323049.000143,1242660.076947,11896008.603725368,4995995.054686027,152.39097363083164
12,324143.000143,324143.000143,981141.464494,324143.000143,938278.000143,3515320.4339190405,4062001.2477582525,55.386617100371744
13,324387.000143,10517403.031402,11139780.031402,914381.000143,1544811.484034,14600750.511388354,6128884.042542777,152.46626078132928
14,330439.000143,330439.000143,8097951.029737,330439.000143,1428706.028411,15971092.896953879,6635521.686109245,154.0421377183967
15,394438.000143,7737597.879329,8231616.616726,833863.000143,1318969.305716,15104482.237086775,6277250.229622655,153.9984591679507
16,394610.000143,7829962.677274,8321527.62586,914381.000143,1389255.082873,5111195.030657324,2123977.157273887,154.01129943502823
17,394774.000143,8826061.62586,9331742.62586,1171542.000143,1712281.245761,5470660.542840122,2279490.500204627,153.59672466734904
18,394933.000143,9226528.616726,9753073.357058,1318969.305716,1841630.305716,10255193.285837868,4274648.481284178,153.54066496163682
19,395522.000143,395522.000143,2618320.167836,395522.000143,972774.000143,4836865.625363809,3234173.431510278,95.71515151515152
20,395836.000143,8932069.052752,9948251.052752,1356700.15368,2372882.15368,15917685.962923884,6634490.151906235,153.55089514066495
21,400593.000143,7331072.39716,7829962.677274,894217.000143,1341936.15368,14680280.067120794,6072969.371939752,154.7081611570248
22,400756.000143,7471949.800435,7961891.28179,938278.000143,1391366.664015,6339208.451332711,2622207.071379447,154.72055785123968
23,400914.000143,9063114.029737,9597513.36106,1691288.925142,2202526.925142,10057584.21572371,4181224.044408825,153.94663930220625
24,401067.000143,8321527.62586,8826061.62586,1391366.664015,1895900.664015,16853162.953789916,6980942.71540138,154.50670103092784
25,401222.000143,401222.000143,4732057.221244,401222.000143,994353.968892,2563477.750020292,1045826.0264970509,156.87367864693445
26,401376.000143,5061526.264353,5657477.468008,833863.000143,1436383.671453,8643787.72546036,3539886.599278525,156.2768746722601
27,401530.000143,6012339.348554,6757602.538175,894217.000143,1590105.000143,11194771.124372115,4602730.546703893,155.6609375
28,401681.000143,5657477.468008,6368353.075611,894217.000143,1564286.000143,9707353.782638187,3984211.21589265,155.9331592689295
29,504171.000143,504171.000143,948200.487045,504171.000143,945015.000143,1347671.5985445247,1513745.0193955975,56.97854077253219
30,573378.000143,4564463.981004,5628937.981004,852222.000143,1916696.000143,9056162.65162952,3701277.757378318,156.59305993690853
31,664358.000143,664358.000143,667444.000143,664358.000143,667444.000143,3085.9999999999995,3085.9999999999995,33.125
32,664372.000143,664372.000143,667003.000143,664372.000143,667003.000143,2631.0,2631.0,33.666666666666664
33,664544.000143,664544.000143,666588.000143,664544.000143,666588.000143,2044.0000000000002,2044.0000000000002,34.333333333333336
34,664555.000143,664555.000143,666693.000143,664555.000143,666693.000143,2138.0,2138.0,34.666666666666664
35,671225.000143,671225.000143,671475.000143,671225.000143,671475.000143,250.00000000000003,250.00000000000003,32.0
36,674938.000143,674938.000143,682943.000143,674938.000143,682943.000143,8004.999999999999,8004.999999999999,32.0
37,686170.000143,686170.000143,1025288.157443,686170.000143,1017068.000143,1137033.5739117493,1198181.2506155742,60.73384030418251
38,686578.000143,686578.000143,686687.000143,686578.000143,686687.000143,97.01066054141134,188.14188711061593,33.0
39,686742.000143,686742.000143,2402987.734219,686742.000143,1172621.000143,2428390.451239397,1689447.6854082106,91.9927797833935
40,737775.000143,737775.000143,740285.000143,737775.000143,740285.000143,2736.4327830188677,2510.0,69.77358490566037
41,737781.000143,737781.000143,740251.000143,737781.000143,740251.000143,2710.83984375,2470.0,70.24038461538461
42,737788.000143,737788.000143,740069.000143,737788.000143,740069.000143,2530.484375,2281.0,71.0
43,737793.000143,737793.000143,740097.000143,737793.000143,740097.000143,2562.12,2304.0,71.17
44,737803.000143,737803.000143,740404.000143,737803.000143,740404.000143,2847.080848623853,2601.0,70.05504587155963
45,737808.000143,737808.000143,739927.000143,737808.000143,739927.000143,2397.910495923913,2119.0,72.42391304347827
46,737814.000143,737814.000143,740816.000143,737814.000143,740816.000143,3235.715489130435,3002.0,68.98260869565217
47,737821.000143,737821.000143,741077.000143,737821.000143,741077.000143,3447.2052083333338,3256.0,67.75833333333334
48,737830.000143,737830.000143,740332.000143,737830.000143,740332.000143,2814.75,2502.0,72.0
49,737837.000143,737837.000143,739891.000143,737837.000143,739891.000143,2379.090808823529,2054.0,74.12941176470588
50,737844.000143,737844.000143,740298.000143,737844.000143,740298.000143,2797.9078608247423,2454.0,72.96907216494846
51,737849.000143,737849.000143,740242.000143,737849.000143,740242.000143,2758.4632056451615,2393.0,73.7741935483871
52,737855.000143,737855.000143,740566.000143,737855.000143,740566.000143,3047.8187196601943,2711.0,71.95145631067962
53,737861.000143,737861.000143,740618.000143,737861.000143,740618.000143,3090.4412560096152,2757.0,71.74038461538461
54,737868.000143,737868.000143,740601.000143,737868.000143,740601.000143,3084.672794117647,2733.0,72.23529411764706
55,737875.000143,737875.000143,740629.000143,737875.000143,740629.000143,3097.4144417475727,2754.0,71.98058252427184
56,737884.000143,737884.000143,741112.000143,737884.000143,741112.000143,3499.5518973214284,3228.0,69.38392857142857
57,737891.000143,737891.000143,740782.000143,737891.000143,740782.000143,3247.989381067961,2891.0,71.90291262135922
58,737896.000143,737896.000143,740092.000143,737896.000143,740092.000143,2618.7790178571427,2196.0,76.32142857142857
59,737902.000143,737902.000143,740065.000143,737902.000143,740065.000143,2601.524884259259,2163.0,76.9753086419753
60,737907.000143,737907.000143,741017.000143,737907.000143,741017.000143,3466.509915865385,3110.0000000000005,71.33653846153847
61,737912.000143,737912.000143,740375.000143,737912.000143,740375.000143,2894.025,2463.0,75.2
62,737918.000143,737918.000143,740962.000143,737918.000143,740962.000143,3424.5,3044.0,72.0
63,737924.000143,737924.000143,740540.000143,737924.000143,740540.000143,3059.785714285714,2616.0,74.85714285714286
