app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.000145,0.000145,14761402.361922,0.000145,2683411.000145,16033471.658600012,2683411.0,382.4021687883074
1,336541.000145,336541.000145,27193744.936546,336541.000145,1631047.000145,50502546.87349981,8562099.517582526,377.4965466433373
2,475911.000145,475911.000145,2667538.834184,475911.000145,1768411.000145,2279548.958333333,1292500.0,112.87515151515152
3,476285.000145,476285.000145,18984392.539015,476285.000145,1271394.000145,28147430.214558568,4727695.499504065,381.0388240783948
4,543390.000145,543390.000145,17555193.4539,543390.000145,1261167.000145,25448863.736286893,4267881.626981369,381.62428611553224
5,600049.000145,600049.000145,22899640.966251,600049.000145,1371373.000145,17420037.46273059,2939758.7264678045,379.2428227449528
6,627951.000145,627951.000145,18620591.597153,627951.000145,1271196.000145,21470699.3495074,3603912.830015017,381.28690209267563
7,671239.000145,671239.000145,30650645.366857,671239.000145,1899887.000145,42993269.763420165,7305506.062784688,376.643211464266
8,837589.000145,837589.000145,29967013.336729,837589.000145,1780815.000145,36263639.28903714,6158172.0676236255,376.8769188344517
9,837888.000145,837888.000145,17956705.560745,837888.000145,1269179.000145,20044240.966786668,3361050.9605996925,381.6756832646949
10,880076.000145,880076.000145,1499234.816026,880076.000145,1404076.000145,524000.00000000006,524000.00000000006,61.01841196777906
11,880119.000145,880119.000145,1514943.340282,880119.000145,1413814.000145,533695.0000000001,533695.0000000001,61.16553287981859
12,880145.000145,880145.000145,1588142.197155,880145.000145,1446135.000145,565990.0,565990.0,61.36732456140351
13,880165.000145,880165.000145,1649822.209815,880165.000145,1454310.000145,591457.3563299959,574145.0,65.92981007431875
14,881304.000145,881304.000145,1138507.000145,881304.000145,1138507.000145,257203.00000000003,257203.00000000003,41.41279069767442
15,884079.000145,884079.000145,922402.000145,-1,-1,40405.51122593459,125227.73455011207,20.65
16,896743.000145,896743.000145,21148264.847273,896743.000145,1326143.000145,11975659.439817186,2014473.633082156,380.4677269345238
17,906050.000145,906050.000145,919201.000145,906050.000145,919201.000145,13151.0,13151.0,21.25
18,906242.000145,906242.000145,1127595.000145,906242.000145,1127595.000145,221353.0,221353.0,41.44291338582677
19,906308.000145,906308.000145,997998.000145,906308.000145,997998.000145,124054.45843475006,271104.37745740503,29.285714285714285
20,912363.000145,912363.000145,920099.000145,912363.000145,920099.000145,8689.608149215497,25278.860070445084,22.0
21,912416.000145,912416.000145,916247.000145,912416.000145,916247.000145,4590.431582461282,13154.669609441287,22.333333333333332
22,912464.000145,912464.000145,963440.000145,912464.000145,963440.000145,60719.361331129985,150723.27129750984,25.782608695652176
23,919057.000145,919057.000145,919093.000145,919057.000145,919093.000145,36.0,36.0,23.333333333333332
24,919062.000145,919062.000145,919094.000145,919062.000145,919094.000145,31.999999999999996,31.999999999999996,23.666666666666668
25,919460.000145,919460.000145,919502.000145,919460.000145,919502.000145,42.0,42.0,22.0
26,919938.000145,919938.000145,919971.000145,919938.000145,919971.000145,67.44961486098036,196.21706141376106,22.0
27,926406.000145,926406.000145,983224.514259,926406.000145,983188.000145,142314.39483199862,333749.12452326866,27.29032258064516
28,926450.000145,926450.000145,935154.000145,926450.000145,935154.000145,15398.521100652397,39235.57601290353,25.11764705882353
29,926459.000145,926459.000145,935649.000145,926459.000145,935649.000145,30012.4310941003,75161.56656609465,25.555555555555557
30,927675.000145,927675.000145,927719.000145,927675.000145,927719.000145,142.92128633713952,397.69401415551863,23.0
31,930392.000145,22006711.71747,22499572.848713,983224.514259,1432120.514259,15870758.15874213,2669122.848496717,380.54768544339095
32,930730.000145,21544993.273151,21979987.680749,983224.514259,1409926.514259,16797217.10056509,2822285.0943537527,380.90478406552495
33,930880.000145,22001438.518928,22451408.206437,983224.514259,1437153.594281,14920689.847828073,2508735.016551212,380.63970246397025
34,931137.000145,22443395.448837,22894817.448837,-1,-1,15959942.138042646,2684142.3726522075,380.54475322985405
35,931720.000145,935154.000145,14174004.824108,935154.000145,1186717.000145,9856713.973414902,1642414.6915454008,384.0867337255646
36,932386.000145,932386.000145,932422.000145,932386.000145,932422.000145,36.0,36.0,28.0
37,933620.000145,933620.000145,933651.000145,933620.000145,933651.000145,31.000000000000004,31.000000000000004,28.0
38,934094.000145,934094.000145,934125.000145,934094.000145,934125.000145,31.0,31.0,28.0
39,935095.000145,935095.000145,935200.000145,935095.000145,935200.000145,105.0,105.0,27.666666666666668
40,935990.000145,935990.000145,936009.000145,935990.000145,936009.000145,19.0,19.0,26.0
41,936163.000145,936163.000145,936658.000145,936163.000145,936658.000145,720.7367020205046,1721.1622734818018,26.8
42,936180.000145,936180.000145,937066.000145,936180.000145,937066.000145,1424.5980826183861,3376.8250847250633,27.0
43,936408.000145,936408.000145,936518.000145,936408.000145,936518.000145,110.00000000000001,110.00000000000001,28.0
44,937673.000145,937673.000145,937775.000145,937673.000145,937775.000145,102.0,102.0,26.0
45,938328.000145,938328.000145,938372.000145,938328.000145,938372.000145,44.0,44.0,26.333333333333332
46,938339.000145,23999083.876747,24560952.876747,1281313.093311,1864539.456122,15674334.061628083,2635934.5266563534,380.5699154510824
47,939185.000145,939185.000145,939230.000145,-1,-1,45.0,45.0,27.0
48,939922.000145,939922.000145,941096.000145,939922.000145,941096.000145,1887.6728543950173,4474.483803010411,27.0
49,941374.000145,941374.000145,941404.000145,941374.000145,941404.000145,30.000000000000004,30.000000000000004,27.0
50,943367.000145,943367.000145,943830.000145,943367.000145,943830.000145,1291.935954590245,3062.366707176877,27.0
51,946857.000145,946857.000145,12539623.176519,946857.000145,1164490.000145,8667444.557566913,1439464.478581048,385.3630707380109
52,948818.000145,948818.000145,948923.000145,948818.000145,948923.000145,105.00000000000001,105.00000000000001,28.0
53,949204.000145,949204.000145,949245.000145,-1,-1,105.43173754246295,240.98682866848674,28.0
54,952206.000145,952206.000145,983389.000145,952206.000145,983389.000145,91324.38532740617,183285.17752120542,31.88888888888889
55,953266.000145,953266.000145,1044774.29511,953266.000145,1023704.000145,186922.91275367732,317517.86571655556,37.676829268292686
56,953317.000145,953317.000145,1015847.071108,953317.000145,1015534.000145,289477.3077445331,508849.5306901753,36.40869565217391
57,956090.000145,983224.514259,1533599.494067,983224.514259,1156232.372699,318482.99367549026,315854.5149513602,64.53259532595325
58,956271.000145,956271.000145,957282.000145,956271.000145,957282.000145,2832.16804727995,5664.3360945599,32.0
59,961716.000145,20013301.983768,20398103.284115,1127595.000145,1521101.685058,8579811.697168969,1433401.2674258847,383.080412371134
60,961993.000145,21158715.553324,21573352.553324,1194605.289442,1614593.135388,4525595.586094584,757014.187789084,382.6059302216818
61,963028.000145,963028.000145,966000.000145,-1,-1,4622.57011795544,8787.460026212322,33.666666666666664
62,981636.000145,981636.000145,999384.000145,981636.000145,999384.000145,17748.0,17748.0,35.06382978723404
63,981904.000145,981904.000145,981925.000145,981904.000145,981925.000145,62.50519243811462,117.65683282468635,34.0
64,982125.000145,982125.000145,993785.000145,982125.000145,993785.000145,11660.0,11660.0,35.30555555555556
65,983343.000145,983343.000145,983535.000145,983343.000145,983535.000145,365.7208756540474,695.2317636195753,33.666666666666664
66,988673.000145,988673.000145,988765.000145,988673.000145,988765.000145,92.00000000000001,92.00000000000001,33.0
67,989097.000145,989097.000145,989227.000145,989097.000145,989227.000145,130.0,130.0,33.0
68,989392.000145,989392.000145,989970.000145,989392.000145,989970.000145,578.0,578.0,33.333333333333336
