app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.000145,0.000145,20389660.037083,0.000145,2683411.000145,18065087.149941515,2683411.0,430.85668859382963
1,336541.000145,336541.000145,31418537.077968,336541.000145,1631047.000145,43484187.62988793,8562099.517582526,325.0356997834326
2,475911.000145,475911.000145,1769842.000145,475911.000145,1768411.000145,1385904.108453013,1292500.0,68.62503902591321
3,476285.000145,476285.000145,27697429.062694,476285.000145,1271394.000145,26738001.189196333,4727695.499504065,361.9590297827078
4,543390.000145,543390.000145,26938898.20369,543390.000145,1261167.000145,24706614.630897693,4267881.626981369,370.4937190340577
5,600049.000145,600049.000145,23729165.781814,600049.000145,1371373.000145,18617150.771515884,2939758.7264678045,405.3045709668261
6,627951.000145,627951.000145,25765934.503626,627951.000145,1271196.000145,21615050.75638946,3603912.830015017,383.8503631074676
7,671239.000145,671239.000145,31338345.969438,671239.000145,1899887.000145,37537469.95229782,7305506.062784688,328.8475919806879
8,837589.000145,837589.000145,30296065.924073,837589.000145,1780815.000145,32734535.444625847,6158172.0676236255,340.2000212807462
9,837888.000145,837888.000145,25538991.549493,-1,-1,20429758.661302276,3361050.9605996925,389.0165813165937
10,880076.000145,880076.000145,1404676.000145,880076.000145,1404076.000145,598165.8457880436,524000.00000000006,73.05842391304348
11,880119.000145,880119.000145,1414414.000145,880119.000145,1413814.000145,611687.7143590712,533695.0000000001,73.35278336686787
12,880145.000145,880145.000145,1446966.000145,880145.000145,1446135.000145,654012.3677730621,565990.0,73.95323510570147
13,880165.000145,880165.000145,1455510.000145,880165.000145,1454310.000145,664401.2675372543,574145.0,74.06087507926442
14,881304.000145,881304.000145,1139107.000145,881304.000145,1138507.000145,257203.00000000003,257203.00000000003,44.03605769230769
15,884079.000145,884079.000145,922402.000145,884079.000145,922402.000145,37127.44740716337,125227.73455011207,18.974683544303797
16,896743.000145,16222033.301425,16990870.247906,997402.000145,1446602.000145,15259831.34174513,2014473.633082156,484.8061497719582
17,906050.000145,906050.000145,919801.000145,-1,-1,13151.0,13151.0,21.41176470588235
18,906242.000145,906242.000145,1128195.000145,906242.000145,1130796.000145,221353.0,221353.0,44.967447916666664
19,906308.000145,919801.000145,1014950.593456,922402.000145,1014092.000145,137028.5816637566,271104.37745740503,32.3485342019544
20,912363.000145,914864.000145,922600.000145,919201.000145,926937.000145,8757.708526560447,25278.860070445084,22.17241379310345
21,912416.000145,913664.000145,917495.000145,919201.000145,923032.000145,4690.0881704115955,13154.669609441287,22.818181818181817
22,912464.000145,922371.000145,974521.000145,926937.000145,977913.000145,64120.191664482314,150723.27129750984,27.226666666666667
23,919057.000145,919057.000145,919093.000145,919057.000145,919093.000145,36.0,36.0,23.333333333333332
24,919062.000145,919062.000145,919094.000145,919062.000145,919694.000145,31.999999999999996,31.999999999999996,23.666666666666668
25,919460.000145,919460.000145,919502.000145,919460.000145,919502.000145,42.0,42.0,23.0
26,919938.000145,920538.000145,920571.000145,-1,-1,67.44961486098036,196.21706141376106,22.0
27,926406.000145,974521.000145,1068606.325814,973947.000145,1045052.558654,201038.8875868154,333749.12452326866,38.55137844611529
28,926450.000145,933022.000145,943140.593456,973347.000145,982051.000145,16321.166790744956,39235.57601290353,26.62264150943396
29,926459.000145,943140.593456,954670.159472,973347.000145,982537.000145,32070.139580485098,75161.56656609465,27.307692307692307
30,927675.000145,928275.000145,928319.000145,973347.000145,973391.000145,142.92128633713952,397.69401415551863,23.0
31,930392.000145,21168353.907116,22189166.711385,1171097.000145,1686998.088413,17832601.40305557,2669122.848496717,427.58859542127976
32,930730.000145,22532219.387461,23281771.332383,1201697.000145,1695421.347736,18314990.149925705,2822285.0943537527,415.32280772777364
33,930880.000145,20308730.858819,20903985.733831,1188011.000145,1691612.744935,17326543.884850934,2508735.016551212,442.01511969760605
34,931137.000145,21667439.255723,22386518.089716,-1,-1,17840868.11933647,2684142.3726522075,425.39306829291
35,931720.000145,12524604.196113,12966512.606034,1113513.162571,1401174.000145,13457197.258244688,1642414.6915454008,524.3868244488682
36,932386.000145,932386.000145,932422.000145,932386.000145,932422.000145,36.0,36.0,28.0
37,933620.000145,933620.000145,933651.000145,933620.000145,933651.000145,31.000000000000004,31.000000000000004,28.0
38,934094.000145,934094.000145,934125.000145,-1,-1,31.0,31.0,28.0
39,935095.000145,935095.000145,935200.000145,935095.000145,935200.000145,105.0,105.0,28.0
40,935990.000145,935990.000145,936009.000145,935990.000145,936009.000145,19.0,19.0,28.0
41,936163.000145,936408.000145,936903.000145,943357.943302,943852.943302,774.5230230668108,1721.1622734818018,28.8
42,936180.000145,937503.000145,938389.000145,943357.943302,944243.943302,1525.3272399752418,3376.8250847250633,28.90909090909091
43,936408.000145,936408.000145,936518.000145,936408.000145,936518.000145,110.00000000000001,110.00000000000001,30.0
44,937673.000145,937673.000145,937775.000145,937673.000145,937775.000145,102.0,102.0,29.0
45,938328.000145,938328.000145,938372.000145,938328.000145,938372.000145,44.0,44.0,29.333333333333332
46,938339.000145,20947271.296026,21610439.255723,1272109.000145,1869950.071105,17888272.04814811,2635934.5266563534,434.3239179516741
47,939185.000145,939185.000145,939230.000145,939185.000145,939230.000145,45.0,45.0,29.0
48,939922.000145,941374.000145,942548.000145,943140.593456,944314.593456,2037.4881602993835,4474.483803010411,29.142857142857142
49,941374.000145,941374.000145,941404.000145,941374.000145,941404.000145,30.000000000000004,30.000000000000004,30.0
50,943367.000145,944567.000145,945030.000145,956555.818564,957018.818564,1339.7854343898837,3062.366707176877,28.0
51,946857.000145,1704961.000145,11004049.55128,1097549.845762,1376804.149632,12041472.057215758,1439464.478581048,535.3756366544598
52,948818.000145,948818.000145,948923.000145,948818.000145,948923.000145,105.00000000000001,105.00000000000001,29.0
53,949204.000145,949804.000145,949845.000145,956571.732843,956612.732843,109.19715674040805,240.98682866848674,29.0
54,952206.000145,989392.000145,1029841.783811,982921.000145,1026599.707842,111263.38062076273,183285.17752120542,38.85123966942149
55,953266.000145,1043249.000145,1125289.726231,1079256.980494,1149694.980494,241122.88117952785,317517.86571655556,48.6015625
56,953317.000145,1082364.000145,1331673.83063,1100048.097815,1198098.122294,582777.5303080253,508849.5306901753,73.29821428571428
57,956090.000145,1045717.783811,1218719.783811,1047507.899451,1220509.899451,290334.50374739285,315854.5149513602,58.82900943396226
58,956271.000145,957471.000145,958482.000145,974521.000145,975532.000145,2832.16804727995,5664.3360945599,32.0
59,961716.000145,2635158.80169,11057017.400229,1236840.117936,1612931.117936,12003449.128628163,1433401.2674258847,535.9425596237824
