app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.030545,0.030545,984.030545,0.030545,984.030545,984.0,984,16.71851851851852
1,1.030545,1.030545,7268.030545,1.030545,7268.030545,7267.0,7267,50.12624886466848
2,42.030545,42.030545,1025.030545,42.030545,1025.030545,983.0,983,17.933333333333334
3,59.030545,59.030545,223.030545,59.030545,223.030545,164.0,164,9.153846153846153
4,60.030545,60.030545,346.030545,60.030545,346.030545,286.0,286,10.804878048780488
5,81.030545,81.030545,5158.030545,81.030545,5158.030545,5077.0,5077,40.91923076923077
6,100.030545,100.030545,557.530545,100.030545,557.530545,457.5,915,13.777777777777779
7,117.030545,117.030545,208.030545,117.030545,208.030545,91.0,91,10.6875
8,138.030545,138.030545,176.363878,138.030545,176.363878,38.333333333333336,115,10.25
9,167.030545,167.030545,506.030545,167.030545,506.030545,339.0,339,14.16326530612245
10,171.030545,171.030545,976.030545,171.030545,976.030545,805.0,805,19.054054054054053
11,174.030545,174.030545,1066.030545,174.030545,1066.030545,892.0,892,20.201612903225808
12,175.030545,175.030545,322.030545,175.030545,322.030545,147.0,147,12.9
13,181.030545,181.030545,447.030545,181.030545,447.030545,266.0,266,13.8
14,195.030545,195.030545,1082.030545,195.030545,1082.030545,887.0,887,20.95967741935484
15,261.030545,261.030545,4399.030545,261.030545,4399.030545,4138.0,4138,36.2015873015873
16,318.030545,318.030545,905.030545,318.030545,905.030545,587.0,587,19.3375
17,343.030545,343.030545,1258.030545,343.030545,1258.030545,915.0,915,24.711111111111112
18,343.030545,343.030545,6781.030545,343.030545,6781.030545,6438.0,6438,50.29051987767584
19,354.030545,354.030545,779.030545,354.030545,779.030545,425.0,425,18.2
20,436.030545,436.030545,1403.030545,436.030545,1403.030545,967.0,967,27.551020408163264
21,441.030545,441.030545,711.030545,441.030545,711.030545,270.0,270,18.45945945945946
22,457.030545,457.030545,1109.030545,457.030545,1109.030545,652.0,652,24.072916666666668
23,490.030545,490.030545,1167.030545,490.030545,1167.030545,677.0,677,25.07920792079208
24,490.030545,490.030545,958.030545,490.030545,958.030545,468.0,468,22.296875
25,523.030545,523.030545,1339.030545,523.030545,1339.030545,816.0,816,27.834710743801654
26,614.030545,614.030545,642.530545,614.030545,642.530545,28.5,57,19.0
27,644.030545,644.030545,7782.419436,644.030545,5196.530545,7804.7704988532105,9105,54.86055045871559
28,696.030545,696.030545,1086.030545,696.030545,1086.030545,390.0,390,26.333333333333332
29,700.030545,700.030545,1587.030545,700.030545,1587.030545,887.0,887,30.302816901408452
30,710.030545,710.030545,1409.030545,710.030545,1409.030545,699.0,699,30.616071428571427
31,771.030545,771.030545,1028.030545,771.030545,1028.030545,257.0,257,26.71794871794872
32,782.030545,782.030545,1378.030545,782.030545,1378.030545,596.0,596,31.432989690721648
33,805.030545,805.030545,1476.030545,805.030545,1476.030545,671.0,671,31.727272727272727
34,812.030545,812.030545,1355.030545,812.030545,1355.030545,543.0,543,31.625
35,814.030545,814.030545,8737.030545,814.030545,8737.030545,7923.0,7923,59.03436988543371
36,825.030545,825.030545,7491.030545,825.030545,7491.030545,6666.0,6666,54.85616438356164
37,869.030545,869.030545,1409.030545,869.030545,1409.030545,540.0,540,32.53846153846154
38,892.030545,892.030545,1765.030545,892.030545,1765.030545,873.0,873,31.631205673758867
39,922.030545,922.030545,8439.030545,922.030545,8439.030545,7517.0,7517,57.9551724137931
40,943.030545,943.030545,1394.030545,943.030545,1394.030545,451.0,451,33.1948051948052
41,953.030545,953.030545,1340.030545,953.030545,1340.030545,387.0,387,32.96923076923077
42,955.030545,955.030545,1331.030545,955.030545,1331.030545,376.0,376,32.88709677419355
43,984.030545,984.030545,1247.030545,984.030545,1247.030545,263.0,263,31.431818181818183
44,1033.030545,1033.030545,1350.363878,1033.030545,1350.363878,505.75,952,34.0
45,1057.030545,1057.030545,1543.030545,1057.030545,1543.030545,486.0,486,33.28915662650602
