app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.033296,0.033296,329.033296,0.033296,329.033296,329.0,329,6.809523809523809
1,2.033296,2.033296,7310.033296,2.033296,7310.033296,7308.0,7308,34.44556451612903
2,56.033296,56.033296,2485.033296,56.033296,2485.033296,2429.0,2429,19.085526315789473
3,78.033296,78.033296,210.033296,78.033296,210.033296,132.0,132,6.444444444444445
4,80.033296,80.033296,241.033296,80.033296,241.033296,161.0,161,7.571428571428571
5,108.033296,108.033296,1730.033296,108.033296,1730.033296,1622.0,1622,17.425742574257427
6,133.033296,133.033296,573.033296,133.033296,573.033296,440.0,880,9.304347826086957
7,155.033296,155.033296,189.033296,155.033296,189.033296,34.0,34,8.333333333333334
8,182.033296,182.033296,194.033296,182.033296,194.033296,12.0,36,8.666666666666666
9,220.033296,220.033296,1638.033296,220.033296,1638.033296,1418.0,1418,17.352941176470587
10,225.033296,225.033296,511.033296,225.033296,511.033296,286.0,286,10.066666666666666
11,229.033296,229.033296,1095.033296,229.033296,1095.033296,866.0,866,13.097560975609756
12,230.033296,230.033296,268.033296,230.033296,268.033296,38.0,38,10.4
13,239.033296,239.033296,395.033296,239.033296,395.033296,156.0,156,10.285714285714286
14,258.033296,258.033296,1121.033296,258.033296,1121.033296,863.0,863,13.743589743589743
15,346.033296,346.033296,1809.033296,346.033296,1809.033296,1463.0,1463,19.6
16,421.033296,421.033296,654.033296,421.033296,654.033296,233.0,233,12.416666666666666
17,454.033296,454.033296,766.033296,454.033296,766.033296,312.0,312,13.0625
18,454.033296,454.033296,7121.033296,454.033296,7121.033296,6667.0,6667,35.51502145922747
19,469.033296,469.033296,2022.033296,469.033296,2022.033296,1553.0,1553,20.702970297029704
20,577.033296,577.033296,674.033296,577.033296,674.033296,97.0,97,13.857142857142858
21,584.033296,584.033296,741.033296,584.033296,741.033296,157.0,157,14.11111111111111
22,605.033296,605.033296,679.033296,605.033296,679.033296,74.0,74,14.666666666666666
23,648.033296,648.033296,2596.033296,648.033296,2596.033296,1948.0,1948,21.676923076923078
24,648.033296,648.033296,853.033296,648.033296,853.033296,205.0,205,14.0
25,692.033296,692.033296,1511.033296,692.033296,1511.033296,819.0,819,19.142857142857142
26,812.033296,812.033296,987.033296,812.033296,987.033296,175.0,350,14.0
27,852.033296,852.033296,5218.033296,852.033296,5218.033296,4366.0,8732,28.632107023411372
28,921.033296,921.033296,1477.033296,921.033296,1477.033296,556.0,556,19.564102564102566
29,926.033296,926.033296,1017.033296,926.033296,1017.033296,91.0,91,15.25
30,939.033296,939.033296,1199.033296,939.033296,1199.033296,260.0,260,16.9375
31,1020.033296,1020.033296,1493.033296,1020.033296,1493.033296,473.0,473,20.62162162162162
32,1035.033296,1035.033296,1105.033296,1035.033296,1105.033296,70.0,70,17.857142857142858
33,1065.033296,1065.033296,1141.033296,1065.033296,1141.033296,76.0,76,18.125
34,1074.033296,1074.033296,1297.033296,1074.033296,1297.033296,223.0,223,18.333333333333332
35,1077.033296,1077.033296,8894.033296,1077.033296,8894.033296,7817.0,7817,41.42210144927536
36,1091.033296,1091.033296,7934.033296,1091.033296,7934.033296,6843.0,6843,38.79916317991632
37,1150.033296,1150.033296,1372.033296,1150.033296,1372.033296,222.0,222,19.083333333333332
38,1181.033296,1181.033296,1483.033296,1181.033296,1483.033296,302.0,302,22.0
39,1220.033296,1220.033296,8722.033296,1220.033296,8722.033296,7502.0,7502,41.5984990619137
40,1247.033296,1247.033296,1840.033296,1247.033296,1840.033296,593.0,593,24.096153846153847
41,1260.033296,1260.033296,1315.033296,1260.033296,1315.033296,55.0,55,20.4
42,1263.033296,1263.033296,1810.033296,1263.033296,1810.033296,547.0,547,24.270833333333332
