app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.000132,0.000132,16482.000132,0.000132,16482.000132,16482.0,16482.0,8.95
1,6.000132,6.000132,16608.000132,6.000132,16608.000132,16602.0,16602.0,9.619047619047619
2,6.000132,6.000132,16285.000132,6.000132,16285.000132,16279.0,16279.0,9.705882352941176
3,6.000132,6.000132,16793.000132,6.000132,16793.000132,16787.0,16787.0,9.035714285714286
4,10.000132,10.000132,16680.000132,10.000132,16680.000132,16670.000000000004,16670.000000000004,10.75
5,11.000132,11.000132,16669.000132,11.000132,16669.000132,16658.0,16658.0,11.222222222222221
6,12.000132,12.000132,16765.000132,12.000132,16765.000132,16753.0,16753.0,9.958333333333334
7,14.000132,14.000132,16723.000132,14.000132,16723.000132,16709.0,16709.0,10.761904761904763
8,17.000132,17.000132,14597.000132,17.000132,14597.000132,14580.0,14580.0,12.4
9,18.000132,18.000132,16722.000132,18.000132,16722.000132,16704.0,16704.0,11.444444444444445
10,21.000132,21.000132,16707.000132,21.000132,16707.000132,16686.0,16686.0,11.9375
11,22.000132,22.000132,14497.000132,22.000132,14497.000132,14475.0,14475.0,13.666666666666666
12,25.000132,25.000132,16725.000132,25.000132,16725.000132,16700.0,16700.0,10.882352941176471
13,26.000132,26.000132,16593.000132,26.000132,16593.000132,16567.0,16567.0,14.125
14,29.000132,29.000132,16793.000132,29.000132,16793.000132,16764.0,16764.0,9.222222222222221
15,30.000132,30.000132,16689.000132,30.000132,16689.000132,16659.0,16659.0,12.4
16,44102.000132,44102.000132,44248.000132,44102.000132,44248.000132,146.0,146.0,1.0
17,44477.000132,44477.000132,116567.000132,44477.000132,116567.000132,72090.0,72090.0,9.076923076923077
18,44477.000132,44477.000132,116631.000132,44477.000132,116631.000132,72154.0,72154.0,8.964285714285714
19,44488.000132,44488.000132,116731.000132,44488.000132,116731.000132,72243.0,72243.0,8.533333333333333
20,44488.000132,44488.000132,106281.000132,44488.000132,106281.000132,61792.99999999999,61792.99999999999,10.272727272727273
21,44491.000132,44491.000132,44620.000132,44491.000132,44620.000132,129.0,129.0,10.666666666666666
22,44497.000132,44497.000132,116600.000132,44497.000132,116600.000132,72103.0,72103.0,10.304347826086957
23,44498.000132,44498.000132,116650.000132,44498.000132,116650.000132,72152.0,72152.0,9.958333333333334
24,44500.000132,44500.000132,116678.000132,44500.000132,116678.000132,72178.0,72178.0,9.791666666666666
25,44500.000132,44500.000132,54310.000132,44500.000132,54310.000132,9810.0,9810.0,12.428571428571429
26,44500.000132,44500.000132,44570.000132,44500.000132,44570.000132,70.0,70.0,12.625
27,44500.000132,44500.000132,44658.000132,44500.000132,44658.000132,158.0,158.0,13.4
28,44506.000132,44506.000132,55830.000132,44506.000132,55830.000132,11324.0,11324.0,13.083333333333334
29,44507.000132,44507.000132,116598.000132,44507.000132,116598.000132,72091.0,72091.0,11.733333333333333
30,44508.000132,44508.000132,105781.000132,44508.000132,105781.000132,61272.99999999999,61272.99999999999,13.0
31,44508.000132,44508.000132,54002.000132,44508.000132,54002.000132,9494.0,9494.0,14.285714285714286
32,44508.000132,44508.000132,44578.000132,44508.000132,44578.000132,70.0,70.0,15.666666666666666
33,224994.000132,224994.000132,238492.000132,224994.000132,238492.000132,13498.0,13498.0,8.466666666666667
34,224997.000132,224997.000132,297216.000132,224997.000132,297216.000132,72219.0,72219.0,8.105263157894736
35,224999.000132,224999.000132,238068.000132,224999.000132,238068.000132,13069.0,13069.0,9.25925925925926
36,225000.000132,225000.000132,297283.000132,225000.000132,297283.000132,72283.0,72283.0,8.486486486486486
37,225010.000132,225010.000132,230194.000132,225010.000132,230194.000132,5184.0,5184.0,10.619047619047619
38,225010.000132,225010.000132,225092.000132,225010.000132,225092.000132,82.0,82.0,11.266666666666667
39,225010.000132,225010.000132,225101.000132,225010.000132,225101.000132,91.0,91.0,11.6875
40,225012.000132,225012.000132,233394.000132,225012.000132,233394.000132,8382.0,8382.0,11.05
41,225012.000132,225012.000132,225090.000132,225012.000132,225090.000132,78.0,78.0,12.4
42,225012.000132,225012.000132,225098.000132,225012.000132,225098.000132,86.0,86.0,12.916666666666666
43,225014.000132,225014.000132,225090.000132,225014.000132,225090.000132,76.0,76.0,13.444444444444445
44,225014.000132,225014.000132,225088.000132,225014.000132,225088.000132,74.0,74.0,13.666666666666666
45,225015.000132,225015.000132,230495.000132,225015.000132,230495.000132,5480.0,5480.0,12.142857142857142
46,225016.000132,225016.000132,235481.000132,225016.000132,235481.000132,10465.000000000002,10465.000000000002,11.266666666666667
47,225016.000132,225016.000132,225153.000132,225016.000132,225153.000132,137.0,137.0,13.0
48,225017.000132,225017.000132,225145.000132,225017.000132,225145.000132,128.0,128.0,13.375
49,291278.000132,291278.000132,630973.000132,291278.000132,630973.000132,268347.97472662287,1073391.8989064915,11.85
50,291287.000132,291287.000132,543358.000132,291287.000132,543358.000132,186327.7116644823,745310.8466579292,12.557692307692308
51,291295.000132,291295.000132,484664.000132,291295.000132,484664.000132,84117.51574902638,336470.0629961055,11.702702702702704
52,291300.000132,291300.000132,559757.000132,291300.000132,559757.000132,219308.65233749602,877234.6093499841,12.826923076923077
53,291309.000132,291309.000132,503017.000132,291309.000132,503017.000132,92095.17049886423,368380.6819954569,12.725
54,291313.000132,291313.000132,516011.000132,291313.000132,516011.000132,166093.93446920053,664375.7378768021,13.13953488372093
55,291315.000132,291315.000132,517038.000132,291315.000132,517038.000132,184398.27209414024,737593.088376561,13.348837209302326
56,291317.000132,291317.000132,567454.000132,291317.000132,567454.000132,225582.619676593,902330.478706372,13.16
57,343696.000132,343696.000132,343750.000132,343696.000132,343750.000132,23.301976843975364,93.20790737590146,12.545454545454545
58,343701.000132,343701.000132,343747.000132,343701.000132,343747.000132,41.641485841797476,166.5659433671899,12.625
59,343705.000132,343705.000132,343758.000132,343705.000132,343758.000132,41.86827201021802,167.47308804087209,12.571428571428571
60,343714.000132,343714.000132,343747.000132,343714.000132,343747.000132,14.240096960207168,56.96038784082867,13.857142857142858
61,343718.000132,343718.000132,343751.000132,343718.000132,343751.000132,32.77407310313834,131.09629241255337,14.125
62,343722.000132,343722.000132,343755.000132,343722.000132,343755.000132,28.68603789136336,114.74415156545344,13.777777777777779
63,343727.000132,343727.000132,343753.000132,343727.000132,343753.000132,23.536491997537702,94.14596799015081,14.285714285714286
64,343730.000132,343730.000132,343757.000132,343730.000132,343757.000132,23.177765560879322,92.71106224351729,13.375
65,343915.000132,343915.000132,554342.000132,343915.000132,554342.000132,91537.92224462233,366151.6889784893,14.678571428571429
66,343918.000132,343918.000132,578857.000132,343918.000132,578857.000132,102200.89586521372,408803.5834608549,14.096774193548388
67,343923.000132,343923.000132,660221.000132,343923.000132,660221.000132,249865.10755260265,999460.4302104106,12.35897435897436
68,343925.000132,343925.000132,579183.000132,343925.000132,579183.000132,102339.6641658407,409358.6566633628,14.133333333333333
69,343968.000132,343968.000132,531359.000132,343968.000132,531359.000132,82281.24599492154,326068.09558359004,16.15
70,343982.000132,343982.000132,562716.000132,343982.000132,562716.000132,198008.88617651584,792035.5447060633,15.2
71,343996.000132,343996.000132,534781.000132,343996.000132,534781.000132,85177.4871448319,331973.7960516525,16.42105263157895
72,343999.000132,343999.000132,543008.000132,343999.000132,543008.000132,88564.3846928819,346283.8964197569,16.36842105263158
73,453176.000132,484664.000132,485058.000132,484664.000132,485058.000132,333.7123197903015,1164.9593709043252,18.333333333333332
74,453178.000132,485058.000132,485259.000132,485058.000132,485259.000132,102.00992632297155,349.74831882161675,18.666666666666668
75,453179.000132,485259.000132,485473.000132,485259.000132,485473.000132,226.01067315584282,774.8937365343182,18.666666666666668
76,453181.000132,485473.000132,485639.000132,485473.000132,485639.000132,82.07833664563854,286.5280115629564,18.333333333333332
77,510176.000132,510176.000132,695237.000132,510176.000132,695237.000132,158862.9804615514,635451.9218462056,9.875
78,510191.000132,510191.000132,658997.000132,510191.000132,658997.000132,127740.39192785959,510961.56771143834,10.095238095238095
79,510211.000132,516011.000132,642790.000132,516011.000132,642790.000132,110205.67266148955,440822.6906459582,10.0
80,632320.000132,632320.000132,773459.000132,632320.000132,773459.000132,115299.67138968939,461198.68555875757,8.235294117647058
81,632320.000132,632320.000132,772460.000132,632320.000132,772460.000132,120301.18761857881,481204.75047431525,8.21875
82,632336.000132,632336.000132,766760.000132,632336.000132,766760.000132,121687.28462603879,486749.13850415515,7.761904761904762
83,632338.000132,632338.000132,799046.000132,632338.000132,799046.000132,144914.90923616374,579659.636944655,8.65625
84,719719.000132,719719.000132,745798.000132,719719.000132,745798.000132,24684.358943745243,49368.717887490486,8.4
85,719728.000132,719728.000132,746229.000132,719728.000132,746229.000132,24122.08672209874,48244.17344419748,8.916666666666666
86,719742.000132,719742.000132,745703.000132,719742.000132,745703.000132,24066.70986961633,48133.41973923266,9.142857142857142
87,719748.000132,719748.000132,746121.000132,719748.000132,746121.000132,25745.089079657777,51490.178159315554,9.875
88,719754.000132,719754.000132,746192.000132,719754.000132,746192.000132,19705.711736590038,39411.423473180075,10.125
89,719767.000132,719767.000132,1211902.000132,719767.000132,1211902.000132,1099003.9549418003,960835.6587583802,73.20320855614973
90,719816.000132,719816.000132,746272.000132,719816.000132,746272.000132,24081.126233721152,48162.252467442304,9.875
