app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.033216,0.033216,329.033216,0.033216,329.033216,329.0,329,6.809523809523809
1,2.033216,2.033216,7310.033216,2.033216,7310.033216,7308.0,7308,34.586693548387096
2,56.033216,56.033216,2485.033216,56.033216,2485.033216,2429.0,2429,19.085526315789473
3,78.033216,78.033216,210.033216,78.033216,210.033216,132.0,132,6.444444444444445
4,80.033216,80.033216,241.033216,80.033216,241.033216,161.0,161,7.571428571428571
5,108.033216,108.033216,1730.033216,108.033216,1730.033216,1622.0,1622,17.425742574257427
6,133.033216,133.033216,573.033216,133.033216,573.033216,440.0,880,9.304347826086957
7,155.033216,155.033216,189.033216,155.033216,189.033216,34.0,34,8.333333333333334
8,182.033216,182.033216,194.033216,182.033216,194.033216,12.0,36,8.666666666666666
9,220.033216,220.033216,1638.033216,220.033216,1638.033216,1418.0,1418,17.352941176470587
10,225.033216,225.033216,511.033216,225.033216,511.033216,286.0,286,10.066666666666666
11,229.033216,229.033216,1095.033216,229.033216,1095.033216,866.0,866,13.097560975609756
12,230.033216,230.033216,268.033216,230.033216,268.033216,38.0,38,10.4
13,239.033216,239.033216,395.033216,239.033216,395.033216,156.0,156,10.285714285714286
14,258.033216,258.033216,1121.033216,258.033216,1121.033216,863.0,863,13.743589743589743
15,346.033216,346.033216,1809.033216,346.033216,1809.033216,1463.0,1463,19.6
16,421.033216,421.033216,654.033216,421.033216,654.033216,233.0,233,12.416666666666666
17,454.033216,454.033216,766.033216,454.033216,766.033216,312.0,312,13.0625
18,454.033216,454.033216,7121.033216,454.033216,7121.033216,6667.0,6667,35.65665236051502
19,469.033216,469.033216,2022.033216,469.033216,2022.033216,1553.0,1553,20.702970297029704
20,577.033216,577.033216,674.033216,577.033216,674.033216,97.0,97,13.857142857142858
21,584.033216,584.033216,741.033216,584.033216,741.033216,157.0,157,14.11111111111111
22,605.033216,605.033216,679.033216,605.033216,679.033216,74.0,74,14.666666666666666
23,648.033216,648.033216,2596.033216,648.033216,2596.033216,1948.0,1948,21.676923076923078
24,648.033216,648.033216,853.033216,648.033216,853.033216,205.0,205,14.0
25,692.033216,692.033216,1511.033216,692.033216,1511.033216,819.0,819,19.142857142857142
26,812.033216,812.033216,987.033216,812.033216,987.033216,175.0,350,14.0
27,852.033216,852.033216,5218.033216,852.033216,5218.033216,4366.0,8732,28.632107023411372
28,921.033216,921.033216,1477.033216,921.033216,1477.033216,556.0,556,19.564102564102566
29,926.033216,926.033216,1017.033216,926.033216,1017.033216,91.0,91,15.25
30,939.033216,939.033216,1199.033216,939.033216,1199.033216,260.0,260,16.9375
31,1020.033216,1020.033216,1493.033216,1020.033216,1493.033216,473.0,473,20.62162162162162
32,1035.033216,1035.033216,1105.033216,1035.033216,1105.033216,70.0,70,17.857142857142858
33,1065.033216,1065.033216,1141.033216,1065.033216,1141.033216,76.0,76,18.125
34,1074.033216,1074.033216,1297.033216,1074.033216,1297.033216,223.0,223,18.333333333333332
35,1077.033216,1077.033216,8894.033216,1077.033216,8894.033216,7817.0,7817,41.67332123411978
36,1091.033216,1091.033216,7934.033216,1091.033216,7934.033216,6843.0,6843,38.94560669456067
37,1150.033216,1150.033216,1372.033216,1150.033216,1372.033216,222.0,222,19.083333333333332
38,1181.033216,1181.033216,1483.033216,1181.033216,1483.033216,302.0,302,22.0
39,1220.033216,1220.033216,8722.033216,1220.033216,8722.033216,7502.0,7502,41.84615384615385
40,1247.033216,1247.033216,1840.033216,1247.033216,1840.033216,593.0,593,24.096153846153847
41,1260.033216,1260.033216,1315.033216,1260.033216,1315.033216,55.0,55,20.4
42,1263.033216,1263.033216,1810.033216,1263.033216,1810.033216,547.0,547,24.270833333333332
43,1302.033216,1302.033216,1458.033216,1302.033216,1458.033216,156.0,156,22.846153846153847
44,1367.033216,1367.033216,1668.033216,1367.033216,1668.033216,337.7950367647059,903,23.941176470588236
45,1398.033216,1398.033216,1607.033216,1398.033216,1607.033216,209.0,209,23.708333333333332
46,1398.033216,1398.033216,1456.033216,1398.033216,1456.033216,58.0,58,24.142857142857142
47,1411.033216,1411.033216,27690.033216,1411.033216,27690.033216,32023.222652151104,26279,77.98950682056663
48,1413.033216,1413.033216,1527.033216,1413.033216,1527.033216,114.0,114,24.571428571428573
49,1419.033216,1419.033216,2336.033216,1419.033216,2336.033216,917.0,917,24.205479452054796
50,1422.033216,1422.033216,1471.604645,1422.033216,1471.604645,140.96875,347,26.0
51,1450.033216,1450.033216,1674.033216,1450.033216,1674.033216,224.0,224,24.678571428571427
52,1474.033216,1474.033216,10718.033216,1474.033216,10718.033216,9244.0,9244,44.624213836477985
53,1479.033216,1479.033216,2846.033216,1479.033216,2846.033216,1367.0,1367,23.389473684210525
54,1530.033216,1530.033216,1573.033216,1530.033216,1573.033216,43.0,43,22.75
55,1530.033216,1530.033216,1659.033216,1530.033216,1659.033216,129.0,129,24.363636363636363
