app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.030958,0.030958,329.030958,0.030958,329.030958,329.0,329,6.809523809523809
1,2.030958,2.030958,7310.030958,2.030958,7310.030958,7308.0,7308,34.4375
2,56.030958,56.030958,2485.030958,56.030958,2485.030958,2429.0,2429,19.085526315789473
3,78.030958,78.030958,210.030958,78.030958,210.030958,132.0,132,6.444444444444445
4,80.030958,80.030958,241.030958,80.030958,241.030958,161.0,161,7.571428571428571
5,108.030958,108.030958,1730.030958,108.030958,1730.030958,1622.0,1622,17.425742574257427
6,133.030958,133.030958,573.030958,133.030958,573.030958,440.0,880,9.304347826086957
7,155.030958,155.030958,189.030958,155.030958,189.030958,34.0,34,8.333333333333334
8,182.030958,182.030958,194.030958,182.030958,194.030958,12.0,36,8.666666666666666
9,220.030958,220.030958,1638.030958,220.030958,1638.030958,1418.0,1418,17.352941176470587
10,225.030958,225.030958,511.030958,225.030958,511.030958,286.0,286,10.066666666666666
11,229.030958,229.030958,1095.030958,229.030958,1095.030958,866.0,866,13.097560975609756
12,230.030958,230.030958,268.030958,230.030958,268.030958,38.0,38,10.4
13,239.030958,239.030958,395.030958,239.030958,395.030958,156.0,156,10.285714285714286
14,258.030958,258.030958,1121.030958,258.030958,1121.030958,863.0,863,13.743589743589743
15,346.030958,346.030958,1809.030958,346.030958,1809.030958,1463.0,1463,19.6
16,421.030958,421.030958,654.030958,421.030958,654.030958,233.0,233,12.416666666666666
17,454.030958,454.030958,766.030958,454.030958,766.030958,312.0,312,13.0625
18,454.030958,454.030958,7121.030958,454.030958,7121.030958,6667.0,6667,35.506437768240346
19,469.030958,469.030958,2022.030958,469.030958,2022.030958,1553.0,1553,20.702970297029704
20,577.030958,577.030958,674.030958,577.030958,674.030958,97.0,97,13.857142857142858
21,584.030958,584.030958,741.030958,584.030958,741.030958,157.0,157,14.11111111111111
22,605.030958,605.030958,679.030958,605.030958,679.030958,74.0,74,14.666666666666666
23,648.030958,648.030958,2596.030958,648.030958,2596.030958,1948.0,1948,21.676923076923078
24,648.030958,648.030958,853.030958,648.030958,853.030958,205.0,205,14.0
25,692.030958,692.030958,1511.030958,692.030958,1511.030958,819.0,819,19.142857142857142
26,812.030958,812.030958,987.030958,812.030958,987.030958,175.0,350,14.0
27,852.030958,852.030958,5218.030958,852.030958,5218.030958,4366.0,8732,28.632107023411372
28,921.030958,921.030958,1477.030958,921.030958,1477.030958,556.0,556,19.564102564102566
29,926.030958,926.030958,1017.030958,926.030958,1017.030958,91.0,91,15.25
