app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.000153,0.000153,16482.000153,0.000153,16482.000153,16482.0,16482.0,8.95
1,6.000153,6.000153,16608.000153,6.000153,16608.000153,16602.0,16602.0,9.619047619047619
2,6.000153,6.000153,16285.000153,6.000153,16285.000153,16279.0,16279.0,9.705882352941176
3,6.000153,6.000153,16793.000153,6.000153,16793.000153,16787.0,16787.0,9.035714285714286
4,10.000153,10.000153,16680.000153,10.000153,16680.000153,16670.000000000004,16670.000000000004,10.75
5,11.000153,11.000153,16669.000153,11.000153,16669.000153,16658.0,16658.0,11.222222222222221
6,12.000153,12.000153,16765.000153,12.000153,16765.000153,16753.0,16753.0,9.958333333333334
7,14.000153,14.000153,16723.000153,14.000153,16723.000153,16709.0,16709.0,10.761904761904763
8,17.000153,17.000153,14597.000153,17.000153,14597.000153,14580.0,14580.0,12.4
9,18.000153,18.000153,16722.000153,18.000153,16722.000153,16704.0,16704.0,11.444444444444445
10,21.000153,21.000153,16707.000153,21.000153,16707.000153,16686.0,16686.0,11.9375
11,22.000153,22.000153,14497.000153,22.000153,14497.000153,14475.0,14475.0,13.666666666666666
12,25.000153,25.000153,16725.000153,25.000153,16725.000153,16700.0,16700.0,10.882352941176471
13,26.000153,26.000153,16593.000153,26.000153,16593.000153,16567.0,16567.0,14.125
14,29.000153,29.000153,16793.000153,29.000153,16793.000153,16764.0,16764.0,9.222222222222221
15,30.000153,30.000153,16689.000153,30.000153,16689.000153,16659.0,16659.0,12.4
16,44102.000153,44102.000153,44248.000153,44102.000153,44248.000153,146.0,146.0,1.0
17,44477.000153,44477.000153,116567.000153,44477.000153,116567.000153,72090.0,72090.0,9.076923076923077
18,44477.000153,44477.000153,116631.000153,44477.000153,116631.000153,72154.0,72154.0,8.964285714285714
19,44488.000153,44488.000153,116731.000153,44488.000153,116731.000153,72243.0,72243.0,8.533333333333333
20,44488.000153,44488.000153,106281.000153,44488.000153,106281.000153,61792.99999999999,61792.99999999999,10.272727272727273
21,44491.000153,44491.000153,44620.000153,44491.000153,44620.000153,129.0,129.0,10.666666666666666
22,44497.000153,44497.000153,116600.000153,44497.000153,116600.000153,72103.0,72103.0,10.304347826086957
23,44498.000153,44498.000153,116650.000153,44498.000153,116650.000153,72152.0,72152.0,9.958333333333334
24,44500.000153,44500.000153,116678.000153,44500.000153,116678.000153,72178.0,72178.0,9.791666666666666
25,44500.000153,44500.000153,54310.000153,44500.000153,54310.000153,9810.0,9810.0,12.428571428571429
26,44500.000153,44500.000153,44570.000153,44500.000153,44570.000153,70.0,70.0,12.625
27,44500.000153,44500.000153,44658.000153,44500.000153,44658.000153,158.0,158.0,13.4
28,44506.000153,44506.000153,55830.000153,44506.000153,55830.000153,11324.0,11324.0,13.083333333333334
29,44507.000153,44507.000153,116598.000153,44507.000153,116598.000153,72091.0,72091.0,11.733333333333333
30,44508.000153,44508.000153,105781.000153,44508.000153,105781.000153,61272.99999999999,61272.99999999999,13.0
31,44508.000153,44508.000153,54002.000153,44508.000153,54002.000153,9494.0,9494.0,14.285714285714286
32,44508.000153,44508.000153,44578.000153,44508.000153,44578.000153,70.0,70.0,15.666666666666666
33,224994.000153,224994.000153,238492.000153,224994.000153,238492.000153,13498.0,13498.0,8.466666666666667
34,224997.000153,224997.000153,297216.000153,224997.000153,297216.000153,72219.0,72219.0,8.105263157894736
35,224999.000153,224999.000153,238068.000153,224999.000153,238068.000153,13069.0,13069.0,9.25925925925926
36,225000.000153,225000.000153,297283.000153,225000.000153,297283.000153,72283.0,72283.0,8.486486486486486
37,225010.000153,225010.000153,230194.000153,225010.000153,230194.000153,5184.0,5184.0,10.619047619047619
38,225010.000153,225010.000153,225092.000153,225010.000153,225092.000153,82.0,82.0,11.266666666666667
39,225010.000153,225010.000153,225101.000153,225010.000153,225101.000153,91.0,91.0,11.6875
40,225012.000153,225012.000153,233394.000153,225012.000153,233394.000153,8382.0,8382.0,11.05
41,225012.000153,225012.000153,225090.000153,225012.000153,225090.000153,78.0,78.0,12.4
42,225012.000153,225012.000153,225098.000153,225012.000153,225098.000153,86.0,86.0,12.916666666666666
43,225014.000153,225014.000153,225090.000153,225014.000153,225090.000153,76.0,76.0,13.444444444444445
44,225014.000153,225014.000153,225088.000153,225014.000153,225088.000153,74.0,74.0,13.666666666666666
45,225015.000153,225015.000153,230495.000153,225015.000153,230495.000153,5480.0,5480.0,12.142857142857142
46,225016.000153,225016.000153,235481.000153,225016.000153,235481.000153,10465.000000000002,10465.000000000002,11.266666666666667
47,225016.000153,225016.000153,225153.000153,225016.000153,225153.000153,137.0,137.0,13.0
48,225017.000153,225017.000153,225145.000153,225017.000153,225145.000153,128.0,128.0,13.375
49,291278.000153,291278.000153,631188.000153,291278.000153,630973.000153,268347.97472662287,1073391.8989064915,11.85
50,291287.000153,291287.000153,543358.000153,291287.000153,543358.000153,186327.7116644823,745310.8466579292,12.557692307692308
51,291295.000153,291295.000153,484664.000153,291295.000153,484664.000153,84117.51574902638,336470.0629961055,12.268292682926829
52,291300.000153,291300.000153,559757.000153,291300.000153,559757.000153,219308.65233749602,877234.6093499841,12.826923076923077
53,291309.000153,291309.000153,503017.000153,291309.000153,503017.000153,92095.17049886423,368380.6819954569,12.725
54,291313.000153,291313.000153,516011.000153,291313.000153,516011.000153,166093.93446920053,664375.7378768021,13.13953488372093
55,291315.000153,291315.000153,517038.000153,291315.000153,517038.000153,184398.27209414024,737593.088376561,13.348837209302326
56,291317.000153,291317.000153,567454.000153,291317.000153,567454.000153,225582.619676593,902330.478706372,13.16
57,343696.000153,343696.000153,343750.000153,343696.000153,343750.000153,23.301976843975364,93.20790737590146,12.545454545454545
58,343701.000153,343701.000153,343747.000153,343701.000153,343747.000153,41.641485841797476,166.5659433671899,12.88888888888889
59,343705.000153,343705.000153,343758.000153,343705.000153,343758.000153,41.86827201021802,167.47308804087209,12.571428571428571
60,343714.000153,343714.000153,343747.000153,343714.000153,343747.000153,14.240096960207168,56.96038784082867,13.666666666666666
61,343718.000153,343718.000153,343751.000153,343718.000153,343751.000153,32.77407310313834,131.09629241255337,14.125
62,343722.000153,343722.000153,343755.000153,343722.000153,343755.000153,28.68603789136336,114.74415156545344,13.777777777777779
63,343727.000153,343727.000153,343753.000153,343727.000153,343753.000153,23.536491997537702,94.14596799015081,14.285714285714286
64,343730.000153,343730.000153,343757.000153,343730.000153,343757.000153,23.177765560879322,92.71106224351729,13.375
65,343915.000153,343915.000153,554342.000153,343915.000153,554342.000153,91537.92224462233,366151.6889784893,14.678571428571429
66,343918.000153,343918.000153,579023.000153,343918.000153,578857.000153,102200.89586521372,408803.5834608549,14.096774193548388
67,343923.000153,343923.000153,660615.000153,343923.000153,660221.000153,249865.10755260265,999460.4302104106,12.35897435897436
68,343925.000153,343925.000153,579383.000153,343925.000153,579183.000153,102339.6641658407,409358.6566633628,14.133333333333333
69,343968.000153,343968.000153,531359.000153,343968.000153,531359.000153,82281.24599492154,326068.09558359004,16.15
70,343982.000153,343982.000153,562716.000153,343982.000153,562716.000153,198008.88617651584,792035.5447060633,15.2
71,343996.000153,343996.000153,534781.000153,343996.000153,534781.000153,85177.4871448319,331973.7960516525,16.42105263157895
72,343999.000153,343999.000153,543008.000153,343999.000153,543008.000153,88564.3846928819,346283.8964197569,16.36842105263158
73,453176.000153,453176.000153,453570.000153,453176.000153,453570.000153,329.92013433813895,1164.9593709043252,18.125
74,453178.000153,453178.000153,453379.000153,453178.000153,453379.000153,102.73856865384992,349.74831882161675,18.8
75,453179.000153,453179.000153,453393.000153,453179.000153,453393.000153,230.04657803362574,774.8937365343182,19.0
76,453181.000153,453181.000153,453347.000153,453181.000153,453347.000153,89.54000361342388,286.5280115629564,20.0
77,510176.000153,510176.000153,701037.000153,510176.000153,695237.000153,158862.9804615514,635451.9218462056,9.875
78,510191.000153,510191.000153,658997.000153,510191.000153,658997.000153,127740.39192785959,510961.56771143834,10.095238095238095
79,510211.000153,510211.000153,636990.000153,510211.000153,636990.000153,110205.67266148955,440822.6906459582,10.0
80,632320.000153,632320.000153,773459.000153,632320.000153,773459.000153,115299.67138968939,461198.68555875757,8.235294117647058
81,632320.000153,632320.000153,772460.000153,632320.000153,772460.000153,120301.18761857881,481204.75047431525,8.21875
82,632336.000153,632336.000153,766760.000153,632336.000153,766760.000153,121687.28462603879,486749.13850415515,7.761904761904762
83,632338.000153,632338.000153,799046.000153,632338.000153,799046.000153,144914.90923616374,579659.636944655,8.65625
84,719719.000153,719719.000153,745798.000153,719719.000153,745798.000153,24684.358943745243,49368.717887490486,8.4
85,719728.000153,719728.000153,746229.000153,719728.000153,746229.000153,24122.08672209874,48244.17344419748,8.916666666666666
86,719742.000153,719742.000153,745703.000153,719742.000153,745703.000153,24066.70986961633,48133.41973923266,9.142857142857142
87,719748.000153,719748.000153,746121.000153,719748.000153,746121.000153,25745.089079657777,51490.178159315554,9.875
88,719754.000153,719754.000153,746192.000153,719754.000153,746192.000153,19705.711736590038,39411.423473180075,10.125
89,719767.000153,719767.000153,1680524.839085,719767.000153,1211902.000153,1048608.4251304488,960835.6587583802,69.84642857142858
90,719816.000153,719816.000153,746272.000153,719816.000153,746272.000153,24081.126233721152,48162.252467442304,9.875
91,719849.000153,719849.000153,2423302.498268,719849.000153,1327984.000153,2484523.17420264,1205028.512974367,131.95495495495496
92,769021.000153,769021.000153,2213803.729131,769021.000153,1327813.000153,2271817.0332560083,1090975.6051264647,133.27180685358255
93,769058.000153,769058.000153,2106169.107393,769058.000153,1327806.000153,2129965.438832464,1017181.8204444529,134.01516360734237
94,769060.000153,769060.000153,2249196.075536,769060.000153,1327867.000153,1660286.0304405484,798472.8192638939,133.07692307692307
95,769060.000153,769060.000153,1962587.906914,769060.000153,1327798.000153,2184139.4476883016,1057716.1200590765,132.15731707317073
