app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.00014,0.00014,3613015.00014,0.00014,3613015.00014,7578781.398400317,3613015.0,134.24854574299312
1,266564.00014,266564.00014,4146396.00014,266564.00014,4146396.00014,8128298.956430445,3879831.9999999995,134.08083989501313
2,266566.00014,266566.00014,4144152.00014,266566.00014,4144152.00014,8129011.125821072,3877586.0,134.17025748817656
3,289185.00014,289185.00014,4602696.00014,289185.00014,4599472.00014,9006066.467896841,4310287.0,133.7238689547582
4,290070.00014,290070.00014,4603863.00014,290070.00014,4600364.00014,9008637.739339575,4310294.0,133.76183047321894
5,291876.00014,291876.00014,4594345.00014,291876.00014,4591618.00014,8997088.301507946,4299742.0,133.91818655549764
6,786808.00014,786808.00014,7455237.173669,786808.00014,5186062.00014,31202587.76110568,15105907.830334904,132.19765664798777
7,1243820.00014,1243820.00014,5378851.00014,1243820.00014,5289712.00014,8424129.78373067,4045892.0,133.25721649484535
8,1279491.00014,1279491.00014,6654793.00014,1279491.00014,6172028.00014,10127167.408404622,4892537.0,132.4749744637385
9,1362192.00014,1362192.00014,6118725.00014,1362192.00014,5928732.00014,9477333.275723988,4566540.0,132.82470527934393
10,1452854.00014,1452854.00014,8459469.994071,1452854.00014,6518084.00014,18935102.41351069,9182104.911492478,131.97916666666666
11,1487280.00014,1487280.00014,9277501.701833,1487280.00014,6586556.00014,30901487.932956237,15077282.642201835,131.17053481331988
12,1494845.00014,1494845.00014,8679491.354806,1494845.00014,6203051.00014,28673630.20679008,13920986.547837486,131.8234398782344
13,1537172.00014,1537172.00014,8694658.965137,1537172.00014,6687318.00014,19668407.985669803,9548713.036336433,131.82699137493657
14,1537243.00014,1537243.00014,9510648.879323,1537243.00014,6687359.00014,33367980.20875228,16273694.911107624,131.2271580010096
15,1559948.00014,1559948.00014,7509297.00014,1559948.00014,6723590.00014,10707252.445444373,5163642.0,132.70946291560102
16,1896806.00014,1896806.00014,7664551.00014,1896806.00014,6843230.00014,10257504.449616367,4946424.0,132.71815856777494
17,2003517.00014,2003517.00014,5348587.00014,2003517.00014,5259562.00014,6813704.588355367,3256045.0000000005,133.9284603421462
18,2025050.00014,2025050.00014,4672558.00014,2025050.00014,4668088.00014,5557425.424637159,2643038.0,134.57060669456067
19,2026073.00014,2026073.00014,5333683.00014,2026073.00014,5245899.00014,6746003.565160956,3219826.0,134.08930425752857
20,2026383.00014,2026383.00014,4919867.00014,2026383.00014,4913910.00014,6067776.861242498,2887527.0000000005,134.48799582463465
21,2083781.00014,2083781.00014,5002474.00014,2083781.00014,4996249.00014,6119629.676251955,2912468.0,134.47574334898277
22,2084777.00014,2084777.00014,5392387.00014,2084777.00014,5302862.00014,6743084.2106415415,3218085.0,134.10378827192528
23,2097261.00014,2097261.00014,4188678.00014,2097261.00014,4188640.00014,4426160.805143161,2091379.0,135.44856839872747
24,2100304.00014,2100304.00014,8375019.00014,2100304.00014,7272877.00014,10746892.003283571,5172572.999999999,132.970784213224
25,2100307.00014,2100307.00014,7895827.00014,2100307.00014,6990752.00014,10177241.79165864,4890445.0,133.1869542886492
26,2113144.00014,2113144.00014,4169703.00014,2113144.00014,4169703.00014,4359579.130158492,2056559.0,135.66985645933013
27,2274866.00014,2274866.00014,4096639.00014,2274866.00014,4096639.00014,3865292.5104388646,1821772.9999999998,135.7900905700586
28,2449488.00014,2449488.00014,9130836.00014,2449488.00014,7630584.00014,10707455.433774833,5181095.999999999,132.26490066225165
29,2449642.00014,2449642.00014,3899051.00014,2449642.00014,3899051.00014,3079969.903592915,1449409.0000000002,135.99893048128342
30,2454620.00014,2454620.00014,9167313.00014,2454620.00014,7641545.00014,10723065.277379587,5186925.0,132.30886850152905
31,2486553.00014,2486553.00014,5632132.00014,2486553.00014,5443951.00014,6208167.691219466,2957398.0,134.3487525987526
32,2532635.00014,2532635.00014,11113337.816043,2532635.00014,7718944.00014,38665041.95520856,18779618.503885813,131.76852791878173
33,2532663.00014,2532663.00014,9932729.371419,2532663.00014,6984840.00014,33221438.780378412,16121327.435710987,131.8856707317073
34,2532908.00014,2532908.00014,9306166.00014,2532908.00014,7719898.00014,10729717.204799108,5186990.000000001,132.3892857142857
35,2580746.00014,2580746.00014,6019218.00014,2580746.00014,5830005.00014,6822214.239548141,3249259.0,134.37577962577961
36,2592271.00014,2592271.00014,9554585.00014,2592271.00014,7779727.00014,10723225.135135135,5187456.0,132.2972972972973
37,2592337.00014,2592337.00014,7090912.00014,2592337.00014,6307481.00014,7780536.759904196,3715144.0,134.03366131538064
38,2592367.00014,2592367.00014,9512826.00014,2592367.00014,7774315.00014,10724984.881639427,5181948.0,132.4596527068437
39,2593223.00014,2593223.00014,5511043.00014,2593223.00014,5323942.00014,5757722.618225353,2730719.0,134.94403765690376
40,2593602.00014,2593602.00014,8432245.00014,2593602.00014,7329908.00014,9898483.522678848,4736306.0,133.75464876033058
41,2595254.00014,2595254.00014,8726260.00014,2595254.00014,7409039.00014,10025120.482855903,4813785.0,133.2854938271605
42,2595255.00014,2595255.00014,8484771.00014,2595255.00014,7343097.00014,9917240.344330795,4747842.0,133.68249870934434
43,2595591.00014,2595591.00014,9568817.00014,2595591.00014,7780430.00014,10739603.333703643,5184838.999999999,132.56624040920715
44,2597361.00014,2597361.00014,8842299.00014,2597361.00014,7410011.00014,10028858.173757724,4812650.0,133.3666323377961
45,2597371.00014,2597371.00014,8451952.00014,2597371.00014,7336685.00014,9918224.210743401,4739314.0,133.9363354037267
46,2614324.00014,2614324.00014,8914354.00014,2614324.00014,7420705.00014,10004292.602454666,4806380.999999999,133.21347736625515
47,2631213.00014,2631213.00014,9597751.00014,2631213.00014,7796349.00014,10708040.375640366,5165135.999999999,132.68084016393442
48,2635455.00014,2635455.00014,4364653.00014,2635455.00014,4363344.00014,3686338.2822855427,1727889.0,136.5398182789952
49,2635460.00014,2635460.00014,4612060.00014,2635460.00014,4607901.00014,4200010.817179188,1972440.9999999998,136.2781914893617
50,2663373.00014,2663373.00014,8595502.00014,2663373.00014,7406032.00014,9929251.155424222,4742659.0,133.99067357512953
51,2663374.00014,2663374.00014,8644500.00014,2663374.00014,7407571.00014,9931395.685540803,4744197.0,133.9761658031088
52,2669417.00014,2669417.00014,8676322.00014,2669417.00014,7408332.00014,9919187.498056993,4738915.0,133.96062176165802
53,2669418.00014,2669418.00014,8874912.00014,2669418.00014,7410212.00014,9904052.434300672,4740794.0,133.7032057911065
54,2675408.00014,2675408.00014,7928326.00014,2675408.00014,6997157.00014,9086243.618795596,4321749.0,134.55653986451276
55,2678400.00014,2678400.00014,5453548.43352,2678400.00014,4815666.00014,8404160.895342642,3962633.2372555304,135.73456464379947
56,2680341.00014,2680341.00014,8902808.00014,2680341.00014,7410326.00014,9881498.10256887,4729985.0,133.70356958096224
57,2717244.00014,2717244.00014,4293525.00014,2717244.00014,4293168.00014,3376208.6105536097,1575924.0,137.11153017241378
58,2740512.00014,2740512.00014,9804325.00014,2740512.00014,7936663.00014,10804020.710157054,5196151.0,133.07106076210093
59,2770101.00014,2770101.00014,4877538.00014,2770101.00014,4871882.00014,4483002.382654251,2101781.0,136.5090618336887
60,2777576.00014,2777576.00014,4172970.00014,2777576.00014,4172966.00014,2994899.676592938,1395390.0,137.36201298701297
61,2877615.00014,2877615.00014,4416277.00014,2877615.00014,4414377.00014,3291038.3055947577,1536761.9999999998,137.05860215053764
62,2890966.00014,2890966.00014,4029319.00014,2890966.00014,4029319.00014,2447023.9475798234,1138353.0,137.57554347826087
63,2948117.00014,2948117.00014,4598576.00014,2948117.00014,4595580.00014,3527015.2256646077,1647463.0,137.01611170784102
64,2949862.00014,2949862.00014,5578368.00014,2949862.00014,5390285.00014,5182832.205886244,2440423.0,135.91957671957672
65,2950237.00014,2950237.00014,6225410.00014,2950237.00014,6014534.00014,6488725.585649369,3064297.0000000005,135.52160168598525
66,2950505.00014,2950505.00014,6508527.00014,2950505.00014,6120932.00014,6710236.292654028,3170427.0,135.4565560821485
67,2964979.00014,2964979.00014,4007220.00014,2964979.00014,4007220.00014,2244329.2455673763,1042241.0000000001,137.81560283687944
68,2987445.00014,2987445.00014,4008569.00014,2987445.00014,4008569.00014,2199161.2087765955,1021124.0,137.83469721767594
69,3000159.00014,3000159.00014,4821988.00014,3000159.00014,4816718.00014,3887825.4704348845,1816559.0,136.97371244635193
70,3000822.00014,3000822.00014,6468114.00014,3000822.00014,6086960.00014,6541239.766301479,3086138.0000000005,135.65153115100316
71,3009876.00014,3009876.00014,8879227.00014,3009876.00014,7410236.00014,9235203.902582161,4400360.000000001,134.31924882629107
72,3031681.00014,3031681.00014,4198931.00014,3031681.00014,4198817.00014,2512234.060358891,1167136.0,137.75856443719414
73,3033601.00014,3033601.00014,4206780.00014,3033601.00014,4206560.00014,2524957.291352297,1172959.0,137.76889613920608
74,3046805.00014,3046805.00014,4296211.00014,3046805.00014,4295704.00014,2688091.7734120246,1248899.0,137.7516304347826
75,3046811.00014,3046811.00014,4385325.00014,3046811.00014,4383725.00014,2874704.763109756,1336914.0,137.61626016260163
76,3086290.00014,3086290.00014,4821663.00014,3086290.00014,4816674.00014,3710993.6698545264,1730384.0,137.25484913793105
77,3086292.00014,3086292.00014,5191544.00014,3086292.00014,5185164.00014,4493672.834452202,2098872.0,137.0236305048335
78,3106680.00014,3106680.00014,4562140.00014,3106680.00014,4559668.00014,3124477.930182927,1452988.0,137.62439024390244
79,3110214.00014,3110214.00014,5520995.966774,3110214.00014,4815670.00014,6623337.185174053,3104724.918510519,136.53176721836627
80,3129585.00014,3129585.00014,5386411.00014,3129585.00014,5297116.00014,4631150.30267164,2167531.0,136.74250535331905
81,3129645.00014,3129645.00014,6147145.00014,3129645.00014,5947556.00014,5995063.496251661,2817910.9999999995,136.15904255319148
82,3129852.00014,3129852.00014,6864513.00014,3129852.00014,6246810.00014,6617567.43685345,3116958.0000000005,135.87745358090186
83,3147031.00014,3147031.00014,8282492.00014,3147031.00014,7243470.00014,8674300.295552948,4096439.0,135.5214172395558
84,3148287.00014,3148287.00014,4464252.00014,3148287.00014,4462062.00014,2829588.4737996464,1313775.0,137.84221980413494
85,3148396.00014,3148396.00014,4189526.00014,3148396.00014,4189455.00014,2248188.302123287,1041059.0,138.20931506849314
86,3175183.00014,3175183.00014,4833083.00014,3175183.00014,4827571.00014,3549758.9509943184,1652388.0,137.48863636363637
87,3197839.00014,3197839.00014,4969032.414777,3197839.00014,4758167.00014,6540250.076447182,3046356.7552788276,137.40216216216217
88,3210601.00014,3210601.00014,6005282.00014,3210601.00014,5816268.00014,5557551.552088903,2605667.0,136.50374331550802
89,3210667.00014,3210667.00014,4785322.00014,3210667.00014,4780563.00014,3377257.946254072,1569896.0,137.68078175895766
90,3257189.00014,3257189.00014,5551800.00014,3257189.00014,5363861.00014,4502862.983091787,2106672.0,136.79549114331724
91,3267762.00014,3267762.00014,5191898.00014,3267762.00014,5185357.00014,4116502.9495673333,1917595.0,137.38885884261762
92,3284451.00014,3284451.00014,4312809.00014,3284451.00014,4312210.00014,2220439.352149616,1027759.0,138.26988480526603
93,3348382.00014,3348382.00014,4606932.00014,3348382.00014,4603067.00014,2703245.7552367165,1254685.0,137.88937329700272
94,3360689.00014,3360689.00014,4312938.00014,3360689.00014,4312235.00014,2056112.2952799122,951546.0,138.2919868276619
95,3360721.00014,3360721.00014,4313106.00014,3360721.00014,4312236.00014,2055980.0305296378,951515.0,138.28759604829858
96,3366387.00014,3366387.00014,3889628.00014,3366387.00014,3889628.00014,1134670.8786351332,523240.99999999994,138.78678511937812
97,3367379.00014,4172970.00014,5998599.444681,4008569.00014,5836657.958646,7585011.878259351,3549366.576337786,136.76827956989248
98,3367585.00014,3367585.00014,3889656.00014,3367585.00014,3889656.00014,1132363.841640625,522070.99999999994,138.815
99,3376792.00014,3376792.00014,5325760.00014,3376792.00014,5245476.00014,4012068.346138211,1868684.0,137.4081300813008
100,3383194.00014,3383194.00014,5281456.00014,3383194.00014,5245445.00014,4000101.001763429,1862251.0,137.47151383613672
101,3389517.00014,3389517.00014,5251757.00014,3389517.00014,5245116.00014,3988828.764104959,1855599.0,137.57554347826087
102,3416286.00014,3416286.00014,5252324.00014,3416286.00014,5245411.00014,3931298.4746518345,1829125.0,137.5538043478261
103,3473876.00014,4206780.00014,6200519.664748,4189455.00014,6145446.832696,8133978.978724644,3809927.612123852,136.63636363636363
