app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.035622,0.035622,329.035622,0.035622,329.035622,329.0,329,6.809523809523809
1,2.035622,2.035622,7310.035622,2.035622,7310.035622,7308.0,7308,34.4375
2,56.035622,56.035622,2485.035622,56.035622,2485.035622,2429.0,2429,19.085526315789473
3,78.035622,78.035622,210.035622,78.035622,210.035622,132.0,132,6.444444444444445
4,80.035622,80.035622,241.035622,80.035622,241.035622,161.0,161,7.571428571428571
5,108.035622,108.035622,1730.035622,108.035622,1730.035622,1622.0,1622,17.425742574257427
6,133.035622,133.035622,573.035622,133.035622,573.035622,440.0,880,9.304347826086957
7,155.035622,155.035622,189.035622,155.035622,189.035622,34.0,34,8.333333333333334
8,182.035622,182.035622,194.035622,182.035622,194.035622,12.0,36,8.666666666666666
9,220.035622,220.035622,1638.035622,220.035622,1638.035622,1418.0,1418,17.352941176470587
10,225.035622,225.035622,511.035622,225.035622,511.035622,286.0,286,10.066666666666666
11,229.035622,229.035622,1095.035622,229.035622,1095.035622,866.0,866,13.097560975609756
12,230.035622,230.035622,268.035622,230.035622,268.035622,38.0,38,10.4
13,239.035622,239.035622,395.035622,239.035622,395.035622,156.0,156,10.285714285714286
14,258.035622,258.035622,1121.035622,258.035622,1121.035622,863.0,863,13.743589743589743
15,346.035622,346.035622,1809.035622,346.035622,1809.035622,1463.0,1463,19.6
16,421.035622,421.035622,654.035622,421.035622,654.035622,233.0,233,12.416666666666666
17,454.035622,454.035622,766.035622,454.035622,766.035622,312.0,312,13.0625
18,454.035622,454.035622,7121.035622,454.035622,7121.035622,6667.0,6667,35.506437768240346
19,469.035622,469.035622,2022.035622,469.035622,2022.035622,1553.0,1553,20.702970297029704
20,577.035622,577.035622,674.035622,577.035622,674.035622,97.0,97,13.857142857142858
21,584.035622,584.035622,741.035622,584.035622,741.035622,157.0,157,14.11111111111111
22,605.035622,605.035622,679.035622,605.035622,679.035622,74.0,74,14.666666666666666
23,648.035622,648.035622,2596.035622,648.035622,2596.035622,1948.0,1948,21.676923076923078
24,648.035622,648.035622,853.035622,648.035622,853.035622,205.0,205,14.0
25,692.035622,692.035622,1511.035622,692.035622,1511.035622,819.0,819,19.142857142857142
26,812.035622,812.035622,987.035622,812.035622,987.035622,175.0,350,14.0
27,852.035622,852.035622,5218.035622,852.035622,5218.035622,4366.0,8732,28.632107023411372
28,921.035622,921.035622,1477.035622,921.035622,1477.035622,556.0,556,19.564102564102566
29,926.035622,926.035622,1017.035622,926.035622,1017.035622,91.0,91,15.25
30,939.035622,939.035622,1199.035622,939.035622,1199.035622,260.0,260,16.9375
31,1020.035622,1020.035622,1493.035622,1020.035622,1493.035622,473.0,473,20.62162162162162
32,1035.035622,1035.035622,1105.035622,1035.035622,1105.035622,70.0,70,17.857142857142858
33,1065.035622,1065.035622,1141.035622,1065.035622,1141.035622,76.0,76,18.125
34,1074.035622,1074.035622,1297.035622,1074.035622,1297.035622,223.0,223,18.333333333333332
35,1077.035622,1077.035622,8894.035622,1077.035622,8894.035622,7817.0,7817,41.3971119133574
36,1091.035622,1091.035622,7934.035622,1091.035622,7934.035622,6843.0,6843,38.75732217573222
37,1150.035622,1150.035622,1372.035622,1150.035622,1372.035622,222.0,222,19.083333333333332
38,1181.035622,1181.035622,1483.035622,1181.035622,1483.035622,302.0,302,22.0
39,1220.035622,1220.035622,8722.035622,1220.035622,8722.035622,7502.0,7502,41.57677902621723
40,1247.035622,1247.035622,1840.035622,1247.035622,1840.035622,593.0,593,24.096153846153847
41,1260.035622,1260.035622,1315.035622,1260.035622,1315.035622,55.0,55,20.4
42,1263.035622,1263.035622,1810.035622,1263.035622,1810.035622,547.0,547,24.270833333333332
43,1302.035622,1302.035622,1458.035622,1302.035622,1458.035622,156.0,156,22.846153846153847
44,1367.035622,1367.035622,1668.035622,1367.035622,1668.035622,337.7950367647059,903,23.941176470588236
45,1398.035622,1398.035622,1607.035622,1398.035622,1607.035622,209.0,209,23.708333333333332
