app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.038628,0.038628,392.654013,0.038628,392.654013,392.61538461538464,5104,1.0
2,25306.038628,25306.038628,27798.088628,25306.038628,27798.088628,2492.05,49841,2.0
1,3100.038628,3100.038628,48672.288628,3100.038628,48672.288628,45572.25,182289,1.25
4,151549.038628,151549.038628,151629.230117,151549.038628,151629.230117,117.78125,3769,2.0
6,186281.038628,186281.038628,187099.288628,186281.038628,187099.288628,818.25,16365,3.0
5,156040.038628,156040.038628,194700.038628,156040.038628,194700.038628,38660.0,38660,2.25
7,215160.038628,215160.038628,215487.788628,215160.038628,215487.788628,327.75,2622,2.0
10,281820.038628,281820.038628,281937.038628,281820.038628,281937.038628,117.0,234,4.0
11,285115.038628,285115.038628,285804.575213,285115.038628,285804.575213,1914.1822916666665,28271,4.333333333333333
13,286371.038628,286371.038628,287770.895771,286371.038628,287770.895771,5358.828125,68593,5.0
3,125120.038628,125120.038628,302221.705295,125120.038628,302221.705295,177101.66666666666,531305,2.6315789473684212
14,323485.038628,323485.038628,324186.038628,323485.038628,324186.038628,701.0,1402,4.0
15,364766.038628,364766.038628,364777.188628,364766.038628,364777.188628,13.9375,223,4.0
8,240533.038628,240533.038628,394844.267432,240533.038628,393433.311355,287531.21139705885,5045709,3.6470588235294117
17,392341.038628,392341.038628,410754.705295,392341.038628,410754.705295,18413.666666666668,55241,4.666666666666667
20,441113.038628,441113.038628,441121.967199,441113.038628,441121.967199,23.4375,250,6.0
19,426775.038628,426775.038628,501935.038628,426775.038628,501935.038628,75160.0,75160,5.25
21,547775.038628,547775.038628,547838.913628,547775.038628,547838.913628,79.84375,1022,5.0
23,588189.038628,588189.038628,588685.796204,588189.038628,588685.796204,1536.84375,16393,6.0
24,611353.038628,611353.038628,612162.956995,611353.038628,612162.956995,3720.5625,39686,6.0
22,573839.038628,573839.038628,612848.538628,573839.038628,612848.538628,39009.5,78019,5.333333333333333
25,616891.038628,616891.038628,621553.40033,616891.038628,621553.40033,18260.916666666668,219131,5.333333333333333
26,621021.038628,621021.038628,622116.705295,621021.038628,622116.705295,1095.6666666666667,3287,5.666666666666667
18,420527.038628,420527.038628,693656.038628,420527.038628,693656.038628,273129.0,273129,4.894736842105263
16,374846.038628,374846.038628,715439.038628,374846.038628,715439.038628,340593.0,681186,4.708333333333333
28,719606.038628,719606.038628,721423.824342,719606.038628,721423.824342,3181.125,50898,4.0
29,767629.038628,767629.038628,767919.601128,767629.038628,767919.601128,290.5625,4649,4.0
30,777752.038628,777752.038628,787260.038628,777752.038628,787260.038628,9508.0,9508,4.0
31,795856.038628,795856.038628,796681.558628,795856.038628,796681.558628,1289.875,20638,4.0
32,826082.038628,826082.038628,828478.989848,826082.038628,828478.989848,6142.1875,98275,4.0
33,849799.038628,849799.038628,852891.438628,849799.038628,852891.438628,3865.5,61848,4.0
35,873273.038628,873273.038628,874780.769397,873273.038628,874780.769397,3062.578125,39201,5.0
36,879563.038628,879563.038628,884186.265901,879563.038628,884186.265901,7946.171875,101711,5.0
38,897996.038628,897996.038628,898329.538628,897996.038628,898329.538628,333.5,667,6.0
34,865504.038628,865504.038628,899321.720821,865504.038628,898499.717199,67366.17708333334,923879,4.666666666666667
39,900212.038628,900212.038628,902663.638628,900212.038628,902663.638628,2451.6,12258,5.0
40,904451.038628,904451.038628,905136.038628,904451.038628,905136.038628,685.0,1370,5.0
41,1003104.038628,1003104.038628,1003147.580295,1003104.038628,1003147.580295,81.640625,1045,5.0
42,1028178.038628,1028178.038628,1028188.888628,1028178.038628,1028188.888628,16.953125,217,5.0
27,685573.038628,685573.038628,1030235.556294,685573.038628,1027899.488628,444116.7012310606,6846529,4.151515151515151
44,1064471.038628,1064471.038628,1066183.038628,1064471.038628,1066183.038628,1712.0,6848,5.0
43,1045453.038628,1045453.038628,1088555.500166,1045453.038628,1088555.500166,43102.46153846154,560332,4.666666666666667
47,1091530.038628,1091530.038628,1094186.588628,1091530.038628,1094186.588628,4981.03125,53131,6.0
12,285272.038628,285272.038628,1099471.038628,285272.038628,1099471.038628,814199.0,814199,4.375
45,1068864.038628,1068864.038628,1120105.038628,1068864.038628,1120105.038628,51241.0,102482,5.142857142857143
48,1167987.038628,1167987.038628,1168309.798628,1167987.038628,1168309.798628,504.3125,8069,4.0
51,1194837.038628,1194837.038628,1194853.518628,1194837.038628,1194853.518628,38.625,412,6.0
52,1198977.038628,1198977.038628,1199029.358628,1198977.038628,1199029.358628,122.625,1308,6.0
50,1172706.038628,1172706.038628,1207611.838628,1172706.038628,1207611.838628,72720.41666666667,872645,5.333333333333333
55,1322580.038628,1322580.038628,1328395.311355,1322580.038628,1328395.311355,20989.5,191904,7.0
56,1334717.038628,1334717.038628,1338003.038628,1334717.038628,1338003.038628,3286.0,3286,7.0
57,1362471.038628,1362471.038628,1362959.038628,1362471.038628,1362959.038628,488.0,1464,7.0
58,1369631.038628,1369631.038628,1376911.192474,1369631.038628,1376911.192474,10351.46875,94642,7.0
37,895340.038628,895340.038628,1379702.538628,895340.038628,1379702.538628,484362.5,1937450,5.023255813953488
59,1383896.038628,1383896.038628,1383904.967199,1383896.038628,1383904.967199,23.4375,250,6.0
60,1386703.038628,1386703.038628,1398431.428872,1386703.038628,1398431.428872,45081.0,480864,6.0
62,1419633.038628,1419633.038628,1419650.851128,1419633.038628,1419650.851128,31.171875,285,7.0
54,1232523.038628,1232523.038628,1430300.038628,1232523.038628,1430300.038628,197777.0,197777,6.111111111111111
63,1438165.038628,1438165.038628,1446662.163628,1438165.038628,1446662.163628,19118.53125,203931,6.0
64,1447133.038628,1447133.038628,1447199.238628,1447133.038628,1447199.238628,124.125,1324,6.0
65,1453598.038628,1453598.038628,1476933.705295,1453598.038628,1476933.705295,23335.666666666668,70007,6.333333333333333
66,1472553.038628,1472553.038628,1520096.720446,1472553.038628,1520064.038628,233843.203125,2137995,7.0
70,1543271.038628,1543271.038628,1546354.250749,1543271.038628,1546354.250749,14308.03125,101746,9.0
67,1518287.038628,1518287.038628,1573276.788628,1518287.038628,1573276.788628,54989.75,219959,7.714285714285714
71,1585394.038628,1585394.038628,1588997.85681,1585394.038628,1588997.85681,9910.5,79284,8.0
72,1600700.038628,1600700.038628,1600823.538628,1600700.038628,1600823.538628,247.0,1976,8.0
73,1617737.038628,1617737.038628,1617769.380733,1617737.038628,1617769.380733,153.625,1229,8.0
