app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
2,13370.037655,13370.037655,19199.887655,13370.037655,19199.887655,5829.85,116597,3.0
4,22507.037655,22507.037655,24099.096479,22507.037655,24099.096479,1691.5625,27065,4.0
3,20867.037655,20867.037655,82921.746479,20867.037655,82682.937655,62781.7734375,1236318,3.25
7,97347.037655,97347.037655,102824.068905,97347.037655,102824.068905,5477.03125,70106,5.0
1,8147.037655,8147.037655,120793.518732,8147.037655,108713.251941,135659.63281250003,2815854,3.0833333333333335
5,90575.037655,90575.037655,123937.686379,90575.037655,118727.537655,32258.072916666664,563050,3.6666666666666665
8,127555.037655,127555.037655,128010.537655,127555.037655,128010.537655,455.5,1822,3.0
9,132283.037655,132283.037655,132547.337655,132283.037655,132547.337655,264.3,5286,3.0
10,166338.037655,166338.037655,166478.037655,166338.037655,166478.037655,140.0,280,3.0
11,231356.037655,231356.037655,233850.940881,231356.037655,233850.940881,3625.40625,77342,3.0
12,242252.037655,242252.037655,245546.764928,242252.037655,245546.764928,3397.6875,72484,3.0
6,93727.037655,93727.037655,254354.336379,93727.037655,253001.187482,155417.15,3108343,2.9375
13,277303.037655,277303.037655,277315.637655,277303.037655,277315.637655,12.6,252,2.0
15,322997.037655,322997.037655,336756.628564,322997.037655,336756.628564,14189.578125,302711,3.0
17,343989.037655,343989.037655,345062.037655,343989.037655,345062.037655,1073.0,7511,4.0
18,348172.037655,348172.037655,348181.537655,348172.037655,348181.537655,16.625,266,4.0
19,387468.037655,387468.037655,387533.037655,387468.037655,387533.037655,81.25,1300,4.0
20,390094.037655,390094.037655,390458.937655,390094.037655,390458.937655,456.125,7298,4.0
21,411698.037655,411698.037655,444201.501941,411698.037655,444201.501941,56881.0625,910097,4.0
22,445256.037655,445256.037655,445607.573369,445256.037655,445607.573369,615.1875,9843,4.0
23,446125.037655,446125.037655,446499.437655,446125.037655,446499.437655,468.0,7488,4.0
26,469740.037655,469740.037655,472641.545592,469740.037655,472641.545592,3427.40625,36559,6.0
29,485457.037655,485457.037655,486006.912655,485457.037655,486006.912655,549.875,4399,8.0
30,487481.037655,487481.037655,488017.019798,487481.037655,488017.019798,750.375,6003,8.0
31,490152.037655,490152.037655,517018.734084,490152.037655,517018.734084,37613.375,300907,8.0
32,535260.037655,535260.037655,535498.466226,535260.037655,535498.466226,238.42857142857142,1669,8.0
24,450839.037655,450839.037655,546369.965073,450839.037655,504099.180512,150681.82083333333,1491284,6.466666666666667
25,463919.037655,463919.037655,613316.642117,463919.037655,585848.213369,276798.4462890625,2648987,6.6875
34,621202.037655,621202.037655,621219.89812,621202.037655,621219.89812,28.0,256,7.0
35,633534.037655,633534.037655,636409.370988,633534.037655,636409.370988,2875.3333333333335,17252,7.0
