app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.037424,0.037424,23905.037424,0.037424,23905.037424,23905.0,47810,1.3333333333333333
4,86028.037424,86028.037424,88724.180281,86028.037424,88724.180281,4718.25,75492,4.0
5,106833.037424,106833.037424,108915.537424,106833.037424,108915.537424,2082.5,4165,4.0
3,85560.037424,85560.037424,110250.259646,85560.037424,110250.259646,24690.222222222223,444424,3.3333333333333335
1,22585.037424,22585.037424,112968.537424,22585.037424,112968.537424,90383.5,180767,2.6
7,197851.037424,197851.037424,198233.016147,197851.037424,198233.016147,841.546875,17953,3.0
9,267558.037424,267558.037424,291934.787424,267558.037424,291934.787424,24376.75,97507,4.333333333333333
11,320411.037424,320411.037424,320778.037424,320411.037424,320778.037424,573.4375,7340,5.0
2,46416.037424,46416.037424,337582.180281,46416.037424,337582.180281,291166.14285714284,2038163,3.111111111111111
13,382161.037424,382161.037424,382220.965995,382161.037424,382220.965995,131.09375,1678,5.0
15,402044.037424,402044.037424,402360.926313,402044.037424,402360.926313,1336.875,14260,6.0
16,403615.037424,403615.037424,431669.037424,403615.037424,431669.037424,28054.0,28054,6.333333333333333
18,441219.037424,441219.037424,442569.587424,441219.037424,442569.587424,2954.328125,27011,7.0
20,462611.037424,462611.037424,462709.387424,462611.037424,462709.387424,245.875,1967,8.0
17,430448.037424,430448.037424,471133.037424,430448.037424,471133.037424,40685.0,122055,6.875
21,486313.037424,486313.037424,486325.837424,486313.037424,486325.837424,28.0,256,7.0
22,492106.037424,492106.037424,496033.446515,492106.037424,496033.446515,9900.343749999998,86403,7.333333333333333
19,444990.037424,444990.037424,496290.037424,444990.037424,496290.037424,51300.0,102600,7.0
14,398918.037424,398918.037424,510681.526313,398918.037424,510649.837424,225209.40937500002,2234636,6.45
23,494323.037424,494323.037424,524949.472083,494323.037424,524949.472083,104947.609375,959521,7.0
24,503180.037424,503180.037424,539674.571646,503180.037424,539674.571646,84030.78749999999,814844,6.6
26,569809.037424,569809.037424,569819.310151,569809.037424,569819.310151,21.1875,226,6.0
27,606189.037424,606189.037424,620118.370757,606189.037424,620118.370757,13929.333333333334,41788,6.333333333333333
29,632140.037424,632140.037424,632326.887424,632140.037424,632326.887424,408.734375,3737,7.0
30,633998.037424,633998.037424,634626.037424,633998.037424,634626.037424,628.0,1256,7.0
32,680836.037424,680836.037424,683835.037424,680836.037424,683835.037424,11996.0,95968,8.0
33,685931.037424,685931.037424,685935.194287,685931.037424,685935.194287,26.5,212,8.0
35,702559.037424,702559.037424,725739.037424,702559.037424,725739.037424,23180.0,46360,9.0
25,519520.037424,519520.037424,778732.771099,519520.037424,778729.95037,785615.258152174,7138430,7.043478260869565
39,782478.037424,782478.037424,782564.387424,782478.037424,782564.387424,296.828125,1727,11.0
41,787890.037424,787890.037424,788257.370757,787890.037424,788257.370757,367.3333333333333,1102,12.0
36,764830.037424,764830.037424,798780.180281,764830.037424,798780.180281,38483.25852272727,237651,10.363636363636363
42,794615.037424,794615.037424,804399.820033,794615.037424,804399.820033,41024.739583333336,225050,11.666666666666666
38,780188.037424,780188.037424,805815.537424,780188.037424,805815.537424,25627.5,102510,10.8
43,812612.037424,812612.037424,817689.987424,812612.037424,817689.987424,15868.59375,101559,10.0
