app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.03832,0.03832,13490.03832,0.03832,13490.03832,6955.78125,445170.0,1.0
3,61164.03832,61164.03832,66694.03832,61164.03832,66694.03832,4977.0,49770.0,3.727272727272727
4,64889.03832,66694.03832,72258.03832,66694.03832,72258.03832,7652.4233960177,158574.0,3.088495575221239
2,45001.03832,45001.03832,88413.03832,45001.03832,80101.03832,61132.49999999999,1287000.0,3.04
7,107292.03832,107292.03832,109321.03832,107292.03832,109321.03832,2789.875,44638.0,4.0
8,133643.03832,133643.03832,137207.03832,133643.03832,137207.03832,3564.0,46332.0,4.866666666666666
6,102602.03832,102602.03832,146340.03832,102602.03832,146340.03832,70285.16237113402,1268402.0,3.5463917525773194
10,155818.03832,155818.03832,159042.03832,155818.03832,159042.03832,5944.25,95108.0,4.0
12,182411.03832,182411.03832,188481.03832,182411.03832,188481.03832,5395.555555555556,48560.0,5.0
11,167776.03832,167776.03832,203334.03832,167776.03832,203334.03832,91069.36072530864,1262309.0,4.617283950617284
1,18147.03832,18147.03832,214809.03832,18147.03832,214809.03832,196662.0,1573296.0,3.653225806451613
13,223458.03832,223458.03832,224697.03832,223458.03832,224697.03832,2671.59375,56994.0,3.0
14,227263.03832,227263.03832,249781.03832,227263.03832,249781.03832,77793.86637931033,1261008.0,3.9482758620689653
16,258857.03832,258857.03832,262841.03832,258857.03832,262841.03832,4980.0,79680.0,4.0
17,263963.03832,265236.03832,278532.03832,265236.03832,280216.03832,33208.06730769231,434420.0,4.892307692307693
15,240955.03832,240955.03832,295684.53832,240955.03832,286202.53832,98014.9931344697,1432579.0,4.378787878787879
20,297946.03832,302087.03832,302312.03832,302087.03832,302312.03832,703.125,9000.0,5.0
21,304898.03832,304898.03832,311266.03832,304898.03832,311266.03832,5210.181818181818,57312.0,5.0
22,319327.03832,320918.53832,323726.03832,320918.53832,323726.03832,6580.078125,84225.0,5.0
19,281677.03832,285536.03832,346523.53832,285536.03832,339484.03832,112411.65574596773,1456488.0,4.939516129032258
18,271042.03832,272726.03832,356279.03832,272726.03832,335196.03832,147308.75,1986400.0,4.746153846153846
23,324075.03832,324075.03832,382104.03832,324075.03832,382104.03832,98210.859375,1561365.0,4.0256410256410255
24,378363.03832,378363.03832,383675.03832,378363.03832,383675.03832,11389.386075949367,193888.0,3.759493670886076
25,394565.03832,394565.03832,413705.03832,394565.03832,413705.03832,43065.0,918720.0,3.0
29,439101.03832,444323.53832,446877.53832,444323.53832,446877.53832,9457.78125,100883.0,6.0
26,416120.03832,416120.03832,457033.03832,416120.03832,436431.03832,90106.37896455225,1035861.0,5.567164179104478
28,422451.03832,436431.03832,482754.03832,436431.03832,481477.03832,90977.60559752748,1126150.0,5.170329670329671
32,528064.03832,528064.03832,531103.03832,528064.03832,531103.03832,3369.326086956522,27351.0,7.884057971014493
33,528525.03832,528525.03832,531449.03832,528525.03832,529909.03832,3553.450892857143,29756.0,7.642857142857143
34,529043.03832,529043.03832,533391.03832,529043.03832,533391.03832,8850.13274336283,76560.0,7.398230088495575
37,545129.03832,545129.03832,549902.03832,545129.03832,549902.03832,10540.375000000002,76368.0,8.833333333333334
27,421053.03832,421053.03832,562966.03832,421053.03832,562966.03832,225131.937311747,2128695.0,6.768674698795181
38,547864.03832,553062.03832,566190.03832,562951.03832,569515.03832,37936.97690217391,272406.0,8.91304347826087
31,517256.03832,517256.03832,572881.03832,517256.03832,559177.03832,135662.66796875,1089946.0,7.965909090909091
41,586249.03832,586249.03832,594447.03832,586249.03832,594447.03832,8198.0,65584.0,8.0
43,599670.03832,603864.03832,605616.53832,609170.03832,610572.03832,8850.652861445784,56781.0,9.975903614457831
9,135613.03832,135613.03832,609170.03832,135613.03832,609170.03832,473557.0,1420671.0,5.427486187845304
45,626177.03832,629529.03832,631489.03832,629529.03832,631489.03832,10198.125,72520.0,9.0
36,539923.03832,547864.03832,643307.03832,560216.03832,612749.03832,212220.8336240898,1546239.0,8.783980582524272
40,575303.03832,590348.03832,652782.03832,593250.03832,638391.03832,157693.63281250003,1142535.0,8.833333333333334
42,596114.03832,596114.03832,661619.03832,596114.03832,661619.03832,91579.48002049181,655050.0,8.947540983606558
46,648164.03832,648164.03832,665246.03832,648164.03832,665246.03832,17082.0,68328.0,8.819672131147541
48,652365.03832,661619.03832,677940.03832,661619.03832,678023.03832,42118.46785714286,306648.0,8.790476190476191
44,603864.03832,604915.53832,683424.03832,604915.53832,673832.53832,137754.1457278481,1000122.0,8.815189873417722
30,490992.03832,490992.03832,691432.03832,490992.03832,691432.03832,133626.66666666666,400880.0,8.40084985835694
51,694782.03832,694782.03832,699349.53832,694782.03832,699349.53832,8421.328125,76995.0,7.0
35,535250.03832,535250.03832,717176.03832,535250.03832,620401.03832,326665.40392525034,2521778.0,8.29041487839771
49,669422.03832,673681.03832,748713.28832,673681.03832,732787.03832,101768.76422155688,1013232.0,6.42814371257485
39,553062.03832,553062.03832,751129.03832,553062.03832,751129.03832,198067.0,1584536.0,7.737361282367448
50,672800.03832,686548.03832,751851.53832,686548.03832,749169.78832,99484.39362094394,1034714.0,6.153392330383481
47,651329.03832,717176.03832,794628.53832,661619.03832,768315.03832,233181.02228319057,2481066.0,6.014989293361884
5,71774.03832,71774.03832,809176.03832,71774.03832,809176.03832,737402.0,1474804.0,5.692237023426734
54,829002.03832,843220.53832,843610.53832,843220.53832,843610.53832,712.96875,15210.0,3.0
52,808008.03832,808008.03832,867474.03832,808008.03832,843525.03832,80344.45781250001,2163987.0,2.376190476190476
53,823683.03832,825182.53832,873107.03832,825182.53832,878433.03832,50532.92647058823,1406964.0,2.2986425339366514
55,874670.03832,874670.03832,878218.03832,874670.03832,878218.03832,4103.8149350649355,133050.0,1.974025974025974
58,893022.03832,893022.03832,896310.03832,893022.03832,896310.03832,4777.875,101928.0,3.0
62,940353.03832,940353.03832,962065.03832,940353.03832,962065.03832,32568.0,347392.0,6.0
63,963632.03832,963632.03832,967317.03832,963632.03832,967317.03832,4740.75,50568.0,6.0
56,874794.03832,875557.03832,978217.03832,875557.03832,978217.03832,117838.3811936937,1745220.0,4.321321321321322
59,905070.03832,905070.03832,978344.03832,905070.03832,947302.03832,108831.99935897437,1224728.0,5.687179487179487
64,973014.03832,973014.03832,987022.03832,973014.03832,987022.03832,15785.056547619048,182104.0,5.5476190476190474
65,984655.03832,984655.03832,987236.03832,984655.03832,987236.03832,3774.7125000000005,54201.0,4.457142857142857
66,995897.03832,995897.03832,997147.03832,995897.03832,997147.03832,3046.875,48750.0,4.0
67,1007207.03832,1007207.03832,1010507.03832,1007207.03832,1010507.03832,7425.0,118800.0,4.0
61,925551.03832,925551.03832,1031008.03832,925551.03832,1031008.03832,95870.0,1054570.0,4.8979591836734695
71,1048916.03832,1050270.03832,1053199.53832,1050270.03832,1053199.53832,7095.375,75684.0,6.0
70,1048086.03832,1048916.03832,1053426.03832,1055867.03832,1058575.03832,8830.993670886075,97488.0,5.7974683544303796
72,1058629.03832,1058629.03832,1058999.03832,1058629.03832,1058999.03832,1083.984375,13875.0,5.0
60,921283.03832,921283.03832,1061578.03832,921283.03832,1061578.03832,155185.66249068553,1964130.0,5.0566318926974665
69,1029535.03832,1029535.03832,1087910.03832,1029535.03832,1083672.03832,153545.50075301205,1974900.0,4.975903614457831
73,1107902.03832,1107902.03832,1111615.03832,1107902.03832,1111615.03832,3527.35,70547.0,3.0
75,1120839.03832,1120839.03832,1121995.03832,1120839.03832,1121995.03832,2023.0,32368.0,4.0
76,1141678.03832,1141678.03832,1143994.03832,1141678.03832,1143994.03832,3763.5,60216.0,4.0
74,1115102.03832,1115102.03832,1149833.03832,1115102.03832,1146939.03832,75003.09375,1209806.0,3.967741935483871
68,1012020.03832,1012020.03832,1156402.03832,1012020.03832,1156402.03832,144382.0,1155056.0,4.5958762886597935
77,1146683.03832,1146683.03832,1184371.03832,1146683.03832,1181037.03832,75948.32359813084,1428830.0,3.4018691588785046
80,1184424.03832,1184424.03832,1184870.03832,1184424.03832,1184870.03832,446.0,4460.0,4.0
81,1205727.03832,1205727.03832,1210677.53832,1205727.03832,1210677.53832,8580.6015625,112288.0,4.890625
82,1207381.03832,1207381.03832,1213060.03832,1207381.03832,1213060.03832,5679.0,62469.0,4.816901408450704
79,1183580.03832,1183580.03832,1221087.53832,1183580.03832,1214387.03832,67939.62424242424,1110592.0,3.915151515151515
78,1168240.03832,1168240.03832,1221114.03832,1168240.03832,1221114.03832,64461.19147245763,1163228.0,3.5466101694915255
83,1222153.03832,1222153.03832,1224381.03832,1222153.03832,1224381.03832,3098.3125,99146.0,2.0
85,1252326.03832,1252326.03832,1254133.03832,1252326.03832,1254133.03832,4489.265625,95771.0,3.0
84,1241804.03832,1241804.03832,1311099.03832,1241804.03832,1311099.03832,69295.0,346475.0,3.032258064516129
87,1310568.03832,1311099.03832,1312489.03832,1311099.03832,1312489.03832,3701.0886270491806,76450.0,3.098360655737705
86,1310493.03832,1310493.03832,1343333.03832,1310493.03832,1341943.03832,44774.3894675926,1147925.0,2.4962962962962965
88,1380328.03832,1380328.03832,1381883.03832,1380328.03832,1381883.03832,1555.0,32655.0,2.0
90,1409972.03832,1409972.03832,1424246.03832,1409972.03832,1424246.03832,14274.0,42822.0,3.0
89,1383988.03832,1383988.03832,1426777.03832,1383988.03832,1426777.03832,64659.21905048076,2011083.0,2.0576923076923075
91,1430098.03832,1430098.03832,1437760.03832,1430098.03832,1437760.03832,10056.375,321804.0,2.0
57,883438.03832,883438.03832,1441858.03832,883438.03832,1441858.03832,558420.0,1675260.0,3.801488833746898
92,1470226.03832,1470226.03832,1471745.53832,1470226.03832,1471745.53832,1013.0,64832.0,1.0
93,1486609.03832,1486609.03832,1499625.03832,1486609.03832,1499625.03832,12567.172413793103,728896.0,1.0
94,1504030.03832,1504030.03832,1508727.03832,1504030.03832,1508727.03832,4697.0,98637.0,1.0
98,1536043.03832,1537935.03832,1547755.03832,1541077.03832,1547755.03832,17853.215624999997,197001.0,5.8
101,1547314.03832,1550059.53832,1552477.53832,1550059.53832,1552477.53832,7005.2734375,71734.0,6.25
97,1535906.03832,1535906.03832,1560625.03832,1535906.03832,1556590.03832,35903.193181818184,403338.0,5.696969696969697
95,1508924.03832,1508924.03832,1569582.53832,1508924.03832,1563356.03832,89228.54347826086,1034208.0,5.521739130434782
96,1528626.03832,1528626.03832,1585558.03832,1528626.03832,1570265.03832,76062.57761732853,916058.0,5.3140794223826715
99,1537935.03832,1542746.53832,1618761.03832,1542746.53832,1617341.03832,103296.60511363635,1312650.0,5.036363636363636
100,1545613.03832,1547755.03832,1631689.53832,1547755.03832,1618900.03832,111917.09823258195,1488669.0,4.811475409836065
102,1592410.03832,1595699.53832,1637945.53832,1595699.53832,1634865.03832,61773.58500874125,1033550.0,3.825174825174825
105,1627217.03832,1627217.03832,1669323.03832,1627217.03832,1661989.53832,72763.70192307692,1090800.0,4.269230769230769
107,1650134.03832,1657517.03832,1673740.53832,1657517.03832,1673740.53832,40605.86111111111,572013.0,4.54320987654321
109,1689051.03832,1690170.53832,1690258.53832,1690170.53832,1690258.53832,299.0625,3828.0,5.0
108,1685751.03832,1685751.03832,1692652.03832,1685751.03832,1692564.03832,10666.06183792373,143073.0,4.771186440677966
104,1620497.03832,1620497.03832,1712361.03832,1620497.03832,1712317.03832,127292.64843749999,1928220.0,4.225
106,1649056.03832,1649056.03832,1717044.03832,1649056.03832,1702333.03832,84623.52044609665,1254848.0,4.315985130111524
110,1710075.03832,1710075.03832,1735458.03832,1710075.03832,1735458.03832,48936.768749999996,1177947.0,2.6588235294117646
112,1736669.03832,1736669.03832,1740812.03832,1736669.03832,1740812.03832,5260.371603260869,87003.0,3.869565217391304
111,1735805.03832,1735805.03832,1777935.03832,1735805.03832,1757302.03832,67861.48868534483,1354311.0,3.206896551724138
115,1828659.03832,1828659.03832,1830961.03832,1828659.03832,1830961.03832,7000.4673763736255,102439.0,4.373626373626373
116,1830050.03832,1830050.03832,1859945.03832,1830050.03832,1859945.03832,81677.33823529411,1217328.0,4.294117647058823
117,1866688.03832,1866688.03832,1881024.03832,1866688.03832,1881024.03832,37213.86666666667,401408.0,5.933333333333334
120,1877785.03832,1881024.03832,1882988.03832,1881024.03832,1882988.03832,5277.2097457627115,55974.0,6.033898305084746
121,1886155.03832,1892575.03832,1895483.03832,1904931.03832,1906385.03832,9338.89600409836,85786.0,6.967213114754099
123,1919326.03832,1919326.03832,1926772.03832,1919326.03832,1926772.03832,8144.0625,74460.0,7.0
122,1892575.03832,1894029.03832,1948152.03832,1894029.03832,1958554.03832,108729.24107142857,1082460.0,6.428571428571429
118,1867323.03832,1873856.03832,1950465.03832,1873856.03832,1915330.03832,147377.2608173077,1513801.0,6.230769230769231
103,1609503.03832,1609503.03832,1962742.03832,1609503.03832,1962698.03832,353195.0,353195.0,4.5659655831739965
119,1869099.03832,1882006.03832,1987668.03832,1881024.03832,1973625.03832,218096.05808246075,2331444.0,5.986910994764398
125,1956222.03832,1961005.03832,1999793.03832,1961005.03832,1998154.03832,72550.67673141892,891310.0,5.20945945945946
128,1998891.03832,2001643.03832,2003467.03832,2001643.03832,2003467.03832,6964.849431818181,73872.0,6.034090909090909
129,2006105.03832,2007832.03832,2011651.03832,2015409.03832,2017955.03832,9707.73003472222,89110.0,6.972222222222222
130,2007832.03832,2017318.53832,2032477.03832,2017318.53832,2032477.03832,38387.83916083916,378176.0,6.496503496503497
124,1949471.03832,1949471.03832,2033899.53832,1949471.03832,2004829.03832,136530.92578125,1502358.0,5.8161764705882355
127,1992579.03832,2000503.03832,2061035.53832,2001643.03832,2049928.53832,100435.77049180328,1101408.0,5.836065573770492
113,1739425.03832,1739425.03832,2082229.03832,1739425.03832,2082229.03832,342804.0,2399628.0,5.349038461538462
132,2065952.03832,2065952.03832,2100038.03832,2065952.03832,2100038.03832,25785.947916666668,356180.0,4.633333333333334
134,2086822.03832,2100038.03832,2110784.03832,2100038.03832,2110784.03832,29448.173076923074,322380.0,5.846153846153846
135,2109037.03832,2109037.03832,2110989.53832,2109037.03832,2110989.53832,2378.816964285714,26980.0,5.642857142857143
131,2051167.03832,2051167.03832,2111505.03832,2051167.03832,2106936.03832,87077.5966183575,1073120.0,5.193236714975845
126,1991695.03832,1991695.03832,2112556.53832,1991695.03832,2084838.03832,168925.48348623855,1924272.0,5.618348623853211
136,2132059.03832,2132059.03832,2139339.03832,2132059.03832,2139339.03832,9722.465277777777,185640.0,3.3518518518518516
138,2138015.03832,2139339.03832,2140157.03832,2139339.03832,2140157.03832,2168.3179945054944,33947.0,4.087912087912088
133,2086815.03832,2086815.03832,2168406.03832,2086815.03832,2157223.03832,83067.41541838844,1200885.0,4.426997245179064
137,2136491.03832,2136491.03832,2176706.53832,2136491.03832,2176093.03832,91138.54503205128,1524677.0,3.825641025641026
140,2177012.03832,2177012.03832,2201129.03832,2177012.03832,2201129.03832,24117.0,144702.0,4.916666666666667
141,2183302.03832,2183302.03832,2212950.03832,2183302.03832,2212950.03832,63892.86538461538,815320.0,5.015384615384615
144,2212885.03832,2214561.03832,2219629.03832,2215572.53832,2219192.53832,10974.92471590909,117288.0,5.988636363636363
143,2201717.03832,2201717.03832,2259025.03832,2201717.03832,2257577.03832,104076.27840909091,1117200.0,5.962121212121212
145,2214561.03832,2214561.03832,2291241.03832,2214561.03832,2291241.03832,110063.78105590062,1150200.0,6.124223602484472
142,2187723.03832,2198126.03832,2304178.03832,2198126.03832,2267912.03832,198771.1465909091,2093580.0,6.076363636363636
146,2227130.03832,2237363.03832,2317705.03832,2237363.03832,2314191.53832,153964.12890625,1439633.0,6.844594594594595
151,2314243.03832,2317705.03832,2319504.03832,2317705.03832,2319504.03832,4216.40625,35980.0,7.5
154,2333621.03832,2336072.03832,2336609.03832,2336072.03832,2336609.03832,1585.828125,11277.0,9.0
150,2296240.03832,2317705.03832,2339733.78832,2321916.78832,2342846.03832,71191.90469720497,582654.0,7.819875776397516
147,2269209.03832,2269209.03832,2367090.03832,2269209.03832,2335479.03832,140522.18421052632,1216192.0,7.394736842105263
148,2279002.03832,2292852.03832,2381582.28832,2292852.03832,2355417.03832,141515.9541390118,1227641.0,7.377581120943953
149,2295576.03832,2302567.03832,2398581.03832,2302167.03832,2379542.28832,140975.75070821532,1244111.0,7.252124645892351
152,2321194.03832,2329511.78832,2402030.28832,2329511.78832,2396922.91332,97153.37979094077,876480.0,7.094076655052265
139,2147813.03832,2147813.03832,2403024.03832,2147813.03832,2403024.03832,255211.0,1531266.0,6.261802575107296
157,2402504.03832,2403024.03832,2404194.03832,2403024.03832,2404194.03832,2324.171112804878,29250.0,5.085365853658536
156,2401652.03832,2403024.03832,2407522.03832,2403024.03832,2407522.03832,8926.346261160714,112450.0,5.080357142857143
155,2360758.03832,2387422.28832,2436880.28832,2387422.28832,2436100.28832,105695.32967032967,1214940.0,5.5677655677655675
160,2462281.03832,2464735.28832,2484952.66332,2464735.28832,2480729.91332,38909.950625,390932.0,6.37
153,2330494.03832,2366313.53832,2492046.03832,2383646.03832,2448954.03832,202885.6748373606,2107954.0,6.159851301115242
158,2406438.03832,2406438.03832,2499130.03832,2406438.03832,2499130.03832,151300.36144578314,1832160.0,5.285140562248996
161,2462776.03832,2472359.28832,2506523.60082,2472359.28832,2505246.28832,79402.56971153845,909123.0,5.589743589743589
159,2461987.03832,2461987.03832,2534201.60082,2461987.03832,2519724.03832,115778.5377403846,1494612.0,4.957692307692308
162,2476582.03832,2492954.60082,2571098.60082,2492954.60082,2571098.60082,125924.25069702603,1988910.0,4.052044609665428
165,2571646.03832,2572518.03832,2574117.03832,2572518.03832,2574117.03832,4996.875,79950.0,4.0
163,2557946.03832,2557946.03832,2585671.03832,2557946.03832,2580984.03832,48490.53787878788,816032.0,3.803030303030303
167,2592062.03832,2592062.03832,2595043.03832,2592062.03832,2595043.03832,6500.236111111111,71544.0,5.814814814814815
169,2594470.03832,2594470.03832,2601581.03832,2594470.03832,2601581.03832,7752.456185567011,85332.0,5.814432989690721
168,2594452.03832,2594452.03832,2602085.03832,2594452.03832,2602178.03832,20593.998579545456,237675.0,5.545454545454546
166,2576272.03832,2576272.03832,2621044.03832,2576272.03832,2614226.03832,110657.8158482143,1385321.0,5.112244897959184
