app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
1,18742.038121,18742.038121,36835.038121,18742.038121,36835.038121,18093.0,72372,2.0
3,57760.038121,57760.038121,65117.538121,57760.038121,65117.538121,7357.5,58860,3.3333333333333335
4,62106.038121,62106.038121,72009.038121,62106.038121,72009.038121,9903.0,99030,3.75
7,98420.038121,98420.038121,121684.038121,98420.038121,121684.038121,23264.0,255904,5.0
6,81568.038121,81568.038121,142654.985489,81568.038121,142461.038121,88802.29166666667,1217860,4.666666666666667
2,48022.038121,48022.038121,149556.538121,48022.038121,149556.538121,101534.5,1015345,3.8461538461538463
5,67623.038121,67623.038121,164262.538121,67623.038121,164262.538121,106303.45,1546232,4.4
0,0.038121,0.038121,175294.371454,0.038121,175294.371454,175294.33333333334,1051766,3.3684210526315788
13,196669.038121,196669.038121,197995.760343,196669.038121,197995.760343,2238.84375,23881,6.0
12,186796.038121,186796.038121,231738.038121,186796.038121,231738.038121,44942.0,359536,5.25
11,185657.038121,185657.038121,256614.62398,185657.038121,256373.401757,113440.83333333334,1555760,4.666666666666667
9,138776.038121,138776.038121,288719.538121,138776.038121,288719.538121,149943.5,1199548,4.5625
15,270966.038121,270966.038121,290678.223306,270966.038121,285562.42701,43104.9609375,525470,5.25
16,278923.038121,278923.038121,304760.096945,278923.038121,304760.096945,36602.5,439230,5.333333333333333
19,308932.038121,308932.038121,326880.038121,308932.038121,326880.038121,17948.0,71792,6.75
10,164791.038121,164791.038121,342538.466692,164791.038121,342538.466692,177747.42857142858,1244232,5.0476190476190474
17,295828.038121,295828.038121,381154.180978,295828.038121,368291.802827,122488.46590909091,1231884,6.363636363636363
24,391537.038121,391537.038121,392318.371454,391537.038121,392318.371454,879.0,7032,8.0
21,325490.038121,325490.038121,399407.440237,325490.038121,391703.234901,120667.70833333331,1053100,7.333333333333333
20,324672.038121,324672.038121,411395.965292,324672.038121,398479.626356,138773.63352272726,1252521,7.090909090909091
14,269061.038121,269061.038121,434494.163121,269061.038121,434494.163121,165433.125,1323465,6.0
18,299744.038121,299744.038121,434716.288121,299744.038121,434716.288121,134972.25,1079778,6.4375
22,370241.038121,370241.038121,444748.60955,370241.038121,444748.60955,74507.57142857143,521553,6.2
26,478778.038121,478778.038121,509054.338121,478778.038121,509054.338121,56768.0625,908289,4.0
8,123798.038121,123798.038121,518506.238121,123798.038121,518506.238121,394708.2,1973541,5.075
28,572256.038121,572256.038121,575872.92701,572256.038121,575872.92701,3616.8888888888887,32552,4.0
27,553030.038121,553030.038121,588054.765394,553030.038121,588054.765394,35024.72727272727,385272,3.25
29,591344.038121,591344.038121,615195.151329,591344.038121,615096.565394,68041.09375,1306389,3.3333333333333335
25,476509.038121,476509.038121,643186.538121,476509.038121,643186.538121,166677.5,1333420,3.6875
32,621060.038121,621060.038121,662503.598121,621060.038121,662503.598121,101758.74107142858,1036089,6.285714285714286
37,668355.038121,668355.038121,683225.038121,668355.038121,682393.417431,53009.505208333336,407113,8.333333333333334
33,629213.038121,629213.038121,702776.371454,629213.038121,702776.371454,73563.33333333333,441380,7.363636363636363
31,617624.038121,617624.038121,707753.323835,617624.038121,707753.323835,135193.92857142855,1261810,6.857142857142857
38,675186.038121,675186.038121,744144.371454,675186.038121,744144.371454,68958.33333333333,206875,8.375
40,714563.038121,714563.038121,747596.371454,714563.038121,747596.371454,33033.333333333336,99100,8.25
39,696690.038121,696690.038121,779310.163121,696690.038121,775412.42701,181553.509375,1417003,8.2
42,762715.038121,762715.038121,782878.313121,762715.038121,776082.863121,39465.9375,306160,8.25
44,783168.038121,783168.038121,796397.674485,783168.038121,796082.038121,33630.208333333336,258280,8.333333333333334
34,642584.038121,642584.038121,815792.466692,642584.038121,815792.466692,173208.42857142858,1212459,8.076923076923077
49,820678.038121,820678.038121,831288.503237,820678.038121,831288.503237,15683.59375,91250,11.0
50,844673.038121,844673.038121,853398.49102,844673.038121,853384.288121,12794.6484375,69690,11.75
43,764276.038121,764276.038121,854011.50026,764276.038121,821429.513121,189655.20772058825,1235598,9.823529411764707
41,725484.038121,725484.038121,854900.718479,725484.038121,854084.704788,172624.47443181818,1157406,9.545454545454545
35,645049.038121,645049.038121,903149.538121,645049.038121,903149.538121,258100.5,1032402,9.25
56,929120.038121,929120.038121,938145.538121,929120.038121,938145.538121,9025.5,36102,13.0
57,954258.038121,954258.038121,965735.347645,954258.038121,965417.933954,15942.708333333334,76525,13.333333333333334
51,853306.038121,853306.038121,975945.930271,853306.038121,928942.631911,211981.48124999998,1112034,12.2
48,813137.038121,813137.038121,982929.599445,813137.038121,904384.086719,288376.91071428574,1569144,11.761904761904763
59,993414.038121,993414.038121,1005767.600621,993414.038121,1003659.802827,16782.776041666668,87089,12.333333333333334
54,884938.038121,884938.038121,1032865.705174,884938.038121,980872.287766,229463.025,1177992,12.466666666666667
55,900820.038121,900820.038121,1035347.293409,900820.038121,1007339.009564,206051.32916666666,1052177,12.533333333333333
52,853337.038121,853337.038121,1044633.038121,853337.038121,1044633.038121,191296.0,765184,12.173913043478262
46,798112.038121,798112.038121,1050386.038121,798112.038121,1050386.038121,274200.158203125,1513644,11.59375
45,794594.038121,794594.038121,1057532.942969,794594.038121,1056054.038121,324895.82465277775,1830220,11.36111111111111
47,802408.038121,802408.038121,1062876.084274,802408.038121,884074.893565,434813.78571428574,2404896,11.571428571428571
62,1036919.038121,1036919.038121,1063971.273355,1036919.038121,1062781.368966,45845.26171875,269802,10.875
65,1116603.038121,1116603.038121,1118412.529349,1116603.038121,1117979.406542,2814.8645833333335,17434,10.333333333333334
61,1008413.038121,1008413.038121,1144409.286349,1008413.038121,1135605.773505,266492.3125,1559955,10.933333333333334
66,1116680.038121,1116680.038121,1148439.849552,1116680.038121,1148373.974665,67109.62499999999,421080,10.2
60,994862.038121,994862.038121,1150809.197844,994862.038121,1113667.469409,391924.9583333334,2320472,10.80952380952381
58,963196.038121,963196.038121,1152157.629526,963196.038121,1151436.033005,227309.55902777778,1313682,11.074074074074074
67,1147814.038121,1147814.038121,1199269.038121,1147814.038121,1199269.038121,51455.0,205820,9.285714285714286
