app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.072876,0.072876,14840.072876,0.072876,14840.072876,14840.0,445200,1.3333333333333333
3,28608.072876,28608.072876,53494.072876,28608.072876,53494.072876,24886.0,49772,3.0
4,57925.072876,57925.072876,69253.072876,57925.072876,69253.072876,11328.0,158592,3.0
2,23336.072876,23336.072876,87686.072876,23336.072876,87686.072876,64350.0,1287000,2.625
6,87111.072876,87111.072876,134090.332135,87111.072876,134090.332135,74322.65625,1268440,3.75
8,140730.072876,140730.072876,147348.930019,140730.072876,147348.930019,6618.857142857143,46332,4.0
10,165634.072876,165634.072876,170917.739543,165634.072876,170917.739543,7430.15625,95106,5.0
11,173834.072876,173834.072876,193558.276001,173834.072876,193558.276001,98621.015625,1262349,5.0
7,133897.072876,133897.072876,198280.276001,133897.072876,178556.072876,44659.0,44659,4.090909090909091
12,194887.072876,194887.072876,202980.739543,194887.072876,202980.739543,8093.666666666667,48562,4.666666666666667
13,213034.072876,213034.072876,215513.203311,213034.072876,215513.203311,3563.75,57020,4.0
16,280115.072876,280115.072876,296052.672876,280115.072876,296052.672876,15937.6,79688,6.333333333333333
17,294769.072876,294769.072876,318685.072876,294769.072876,315456.644305,47516.765625,434439,7.0
19,311152.072876,311152.072876,343519.939543,311152.072876,343519.939543,174483.03125,1456554,7.666666666666667
20,378204.072876,378204.072876,378705.572876,378204.072876,378705.572876,987.328125,9027,7.0
15,275178.072876,275178.072876,387133.995099,275178.072876,354766.128432,143631.56901041666,1432585,6.416666666666667
14,231270.072876,231270.072876,396431.822876,231270.072876,388898.822876,157628.75,1261030,6.142857142857143
21,380600.072876,380600.072876,399706.072876,380600.072876,399706.072876,19106.0,57318,6.25
22,404760.072876,404760.072876,410274.672876,404760.072876,406866.972876,7023.0,84276,5.333333333333333
23,405731.072876,405731.072876,434646.572876,405731.072876,434646.572876,138252.234375,1561437,5.666666666666667
24,456331.072876,456331.072876,459360.572876,456331.072876,459360.572876,15147.5,193888,5.0
25,476508.072876,476508.072876,516452.420702,476508.072876,516452.420702,76560.0,918720,5.333333333333333
26,487696.072876,487696.072876,539490.672876,487696.072876,539490.672876,93068.421875,1035892,5.75
29,615008.072876,615008.072876,616585.088501,615008.072876,616585.088501,11039.109375,100929,7.0
28,565810.072876,565810.072876,623696.638501,565810.072876,622119.622876,109979.58984375,1126191,6.25
33,650385.072876,650385.072876,650849.541626,650385.072876,650849.541626,4180.21875,29726,9.0
32,645909.072876,645909.072876,653213.041626,645909.072876,652748.572876,6839.5,27358,8.25
35,677189.072876,677189.072876,716592.432251,677189.072876,716592.432251,354630.234375,2521815,9.0
18,297309.072876,297309.072876,743610.416626,297309.072876,694592.472876,397283.4,1986417,6.45945945945946
38,744591.072876,744591.072876,749370.511472,744591.072876,749370.511472,42566.875,272428,10.0
34,672258.072876,672258.072876,749948.432251,672258.072876,710545.072876,38287.0,76574,9.0
37,737976.072876,737976.072876,753252.072876,737976.072876,753252.072876,15276.0,76380,9.571428571428571
31,638345.072876,638345.072876,773821.339597,638345.072876,729174.072876,145259.61397058822,1089948,8.529411764705882
41,784829.072876,784829.072876,797946.672876,784829.072876,797946.672876,13117.6,65588,9.0
43,836003.072876,836003.072876,836889.322876,836003.072876,836889.322876,8862.5,56720,10.0
40,779815.072876,779815.072876,837829.822876,779815.072876,836943.572876,155573.14732142855,1142570,8.714285714285714
45,838131.072876,838131.072876,839264.276001,838131.072876,839264.276001,11332.03125,72525,10.0
27,526529.072876,526529.072876,840860.808347,526529.072876,792617.072876,267038.3142857143,2128704,8.028571428571428
46,842845.072876,842845.072876,877009.572876,842845.072876,877009.572876,34164.5,68329,9.75
30,635668.072876,635668.072876,882775.292722,635668.072876,836108.572876,200440.5,400881,8.647058823529411
48,861459.072876,861459.072876,887013.072876,861459.072876,887013.072876,48872.024999999994,306648,10.2
50,891901.072876,891901.072876,908069.072876,891901.072876,908069.072876,161680.0,1034752,10.0
5,75779.072876,75779.072876,916546.611472,75779.072876,813181.572876,737402.5,1474805,6.674418604651163
44,838069.072876,838069.072876,932305.122155,838069.072876,915003.91903,145855.64583333334,1000153,9.333333333333334
36,731431.072876,731431.072876,932719.879744,731431.072876,860287.072876,218199.515625,1546272,9.03125
1,1193.072876,1193.072876,941057.100068,1193.072876,787842.072876,786649.0,1573298,6.34375
51,949034.072876,949034.072876,953564.778758,949034.072876,953564.778758,7220.8125,77022,6.0
49,882890.072876,882890.072876,962385.572876,882890.072876,946217.572876,122337.21590909093,1013240,7.7272727272727275
9,160618.072876,160618.072876,966786.611472,160618.072876,870954.572876,710336.5,1420673,6.883720930232558
47,855724.072876,855724.072876,972471.101111,855724.072876,954967.432876,301013.86764705885,2481084,7.764705882352941
52,979410.072876,979410.072876,1027498.472876,979410.072876,1027498.472876,101436.46875,2163978,3.0
54,1047387.072876,1047387.072876,1047798.3972,1047387.072876,1047798.3972,951.1875,15219,4.0
53,1044968.072876,1044968.072876,1067189.682251,1044968.072876,1066951.885376,71447.390625,1406964,3.25
55,1071479.072876,1071479.072876,1073557.979126,1071479.072876,1073557.979126,6236.71875,133050,3.0
58,1111561.072876,1111561.072876,1113987.572876,1111561.072876,1113987.572876,7961.953125,101913,5.0
59,1115053.072876,1115053.072876,1187096.014052,1115053.072876,1187096.014052,110034.3359375,1224730,5.75
42,822375.072876,822375.072876,1192388.041626,822375.072876,1149900.072876,327525.0,655050,6.4186046511627906
62,1214748.072876,1214748.072876,1221985.406209,1214748.072876,1221985.406209,32568.0,347392,6.0
63,1231444.072876,1231444.072876,1233743.572876,1231444.072876,1233743.572876,4742.71875,50589,6.0
56,1080784.072876,1080784.072876,1278719.924728,1080784.072876,1274699.183987,193915.11111111112,1745236,5.066666666666666
65,1282819.072876,1282819.072876,1288241.072876,1282819.072876,1288241.072876,5422.0,54220,6.0
64,1252958.072876,1252958.072876,1289379.272876,1252958.072876,1289379.272876,36421.2,182106,5.6
66,1317915.072876,1317915.072876,1318676.791626,1317915.072876,1318676.791626,3808.59375,48750,5.0
67,1319107.072876,1319107.072876,1321228.947876,1319107.072876,1321228.947876,9283.203125,118825,5.0
