app_id,submit_time,start_time,end_time,estimated_start_time,estimated_end_time,fair_act,service,num_apps_seen_diff
0,0.039115,0.039115,3378.858787,0.039115,3378.858787,3378.8196721311474,206108,1.0
2,4845.039115,4845.039115,42624.039115,4845.039115,42624.039115,37779.0,982254,2.0
3,80938.039115,80938.039115,100630.414115,80938.039115,100639.481738,43815.1875,1201788,2.3333333333333335
4,100446.039115,100630.414115,112411.414115,100630.414115,112411.414115,11781.0,58905,2.6666666666666665
6,173351.039115,173351.039115,183710.670694,173351.039115,183710.670694,18453.09375,393666,3.0
7,189493.039115,189493.039115,190438.44337,189493.039115,190438.44337,2082.84375,44434,3.0
10,247179.039115,247179.039115,247269.27349,247179.039115,247269.27349,451.171875,5775,5.0
9,223265.039115,223265.039115,272121.52349,223265.039115,272031.289115,152394.53125,1950650,5.0
14,295344.039115,295344.039115,304058.039115,295344.039115,304058.039115,8714.0,78426,7.0
15,312301.039115,312301.039115,318149.039115,312301.039115,318149.039115,5848.0,17544,7.0
16,318631.039115,318631.039115,368042.015859,318631.039115,373610.199345,205119.734375,1693892,7.75
12,266636.039115,266636.039115,368887.49825,266636.039115,368772.039115,143495.7604166667,1327768,6.916666666666667
11,258894.039115,258894.039115,369345.372448,258894.039115,369345.372448,110451.33333333333,331354,6.714285714285714
20,395607.039115,395607.039115,396047.006328,395607.039115,396047.006328,3354.75,26838,8.0
1,3428.039115,3428.039115,398039.64849,3428.039115,397765.039115,394337.0,1183011,4.647058823529412
19,375479.039115,375479.039115,405018.958709,375479.039115,404810.668579,124871.90625,1141686,7.0
21,412180.039115,412180.039115,423080.539115,412180.039115,423080.539115,10900.5,65403,6.0
8,222565.039115,222565.039115,478357.201822,222565.039115,449017.039115,226452.0,2264520,6.107142857142857
23,458748.039115,458748.039115,504762.039115,458748.039115,504762.039115,46014.0,230070,6.75
13,271371.039115,271371.039115,506219.583072,271371.039115,493192.639115,221821.6,1109108,6.68
24,494040.039115,494040.039115,521649.753401,494040.039115,521649.753401,38250.95833333333,386536,6.333333333333333
26,520827.039115,520827.039115,527651.753401,520827.039115,527651.753401,14929.0625,143319,6.666666666666667
17,343297.039115,368042.015859,544783.12955,369390.313492,543199.813492,173809.5,1042857,6.541666666666667
25,512047.039115,512047.039115,548468.077725,512047.039115,546541.185833,115045.08482142857,1257078,5.857142857142857
5,164693.039115,164693.039115,552062.240703,164693.039115,551532.039115,386839.0,773678,5.568181818181818
30,583941.039115,583941.039115,589288.199115,583941.039115,589288.199115,12532.40625,133679,6.0
29,579844.039115,579844.039115,591743.164115,579844.039115,591743.164115,16063.81875,190386,5.4
32,621605.039115,621605.039115,656504.622448,621605.039115,656504.622448,124329.76562499999,1256385,6.333333333333333
33,638175.039115,638175.039115,678186.973639,638175.039115,678186.973639,117646.484375,1075625,7.0
31,590982.039115,590982.039115,679282.239115,590982.039115,679282.239115,88300.2,441501,6.444444444444445
22,439985.039115,439985.039115,683020.039115,439985.039115,683020.039115,243035.0,729105,5.821428571428571
38,710326.039115,710326.039115,711260.144378,710326.039115,711260.144378,6655.5,53244,8.0
28,570572.039115,570572.039115,713713.753401,570572.039115,713713.753401,143141.7142857143,1001992,6.052631578947368
18,355455.039115,368042.015859,729725.540716,368042.015859,699251.515859,331209.5,1324838,6.2
40,740899.039115,740899.039115,742881.346807,740899.039115,742881.346807,8455.78125,77310,7.0
41,751032.039115,751032.039115,753359.594671,751032.039115,753359.594671,2327.5555555555557,20948,7.0
42,753803.039115,753803.039115,758859.039115,753803.039115,758859.039115,5056.0,15168,7.0
34,676518.039115,678186.973639,773192.333963,678186.973639,771632.236797,181050.19736842104,1775460,6.526315789473684
35,676748.039115,676748.039115,774089.878009,676748.039115,773155.772746,96048.0,384192,6.473684210526316
39,732735.039115,732735.039115,776197.539115,732735.039115,776197.539115,43462.5,347700,6.0
44,784552.039115,784552.039115,789978.705782,784552.039115,789978.705782,7631.25,97680,5.0
48,838937.039115,838937.039115,844343.039115,838937.039115,844343.039115,14190.75,113526,8.0
45,805521.039115,805521.039115,882211.962192,805521.039115,882211.962192,107097.67578125,996982,6.875
51,888019.039115,888019.039115,888713.86724,888019.039115,888713.86724,6253.453125,44469,9.0
52,889662.039115,889662.039115,914733.039115,889662.039115,914733.039115,25071.0,75213,9.75
46,813772.039115,813772.039115,954755.86724,813772.039115,952439.239115,183445.15,1386672,8.466666666666667
36,701364.039115,701364.039115,959665.080195,701364.039115,956053.839115,254689.8,1273449,7.081081081081081
56,955728.039115,955728.039115,959790.500653,955728.039115,959790.500653,8802.0,52812,10.666666666666666
27,543891.039115,543891.039115,963905.506385,543891.039115,930404.039115,386513.0,2319078,6.701754385964913
47,828021.039115,828021.039115,976199.724383,828021.039115,975504.896258,147483.85714285713,1032387,8.947368421052632
53,892325.039115,892325.039115,981334.187085,892325.039115,979026.889561,327647.9829545454,2155740,9.727272727272727
55,948664.039115,959790.500653,1008574.622026,959665.080195,1007668.875888,169077.375,1202328,9.0
57,1006313.039115,1006313.039115,1022423.439115,1006313.039115,1022423.439115,16110.4,80552,6.666666666666667
37,706658.039115,706658.039115,1038307.680195,706658.039115,1034696.439115,328038.4,1640192,7.159090909090909
50,860126.039115,860126.039115,1084825.200573,860126.039115,1084130.372448,224004.33333333334,1344026,8.272727272727273
59,1096965.039115,1096965.039115,1102360.839115,1096965.039115,1102360.839115,5395.8,26979,5.0
62,1160720.039115,1160720.039115,1163160.039115,1160720.039115,1163160.039115,4270.0,39040,7.0
64,1178943.039115,1178943.039115,1185256.039115,1178943.039115,1185256.039115,9469.5,75756,8.0
49,851783.039115,851783.039115,1199149.240682,851783.039115,1106332.039115,299469.4117647059,2545490,7.529411764705882
67,1214909.039115,1214909.039115,1249424.175479,1214909.039115,1255513.684276,191761.78125,1258744,9.75
65,1188279.039115,1188279.039115,1259541.705782,1188279.039115,1259541.705782,88939.1484375,641364,8.875
58,1042660.039115,1042660.039115,1270443.039115,1042660.039115,1270443.039115,227783.0,911132,7.190476190476191
72,1275419.039115,1275419.039115,1276951.164115,1275419.039115,1276951.164115,16853.375,98056,11.0
73,1298015.039115,1298015.039115,1301167.734767,1298015.039115,1301167.734767,12463.0,72512,11.0
61,1149503.039115,1149503.039115,1320339.645933,1149503.039115,1310094.839115,219286.35733695654,1605918,8.73913043478261
43,780550.039115,780550.039115,1327515.453778,780550.039115,1308756.039115,528206.0,1584618,7.88135593220339
71,1274286.039115,1274286.039115,1348846.751071,1274286.039115,1346920.539115,192178.78125,1162152,10.583333333333334
70,1266646.039115,1266646.039115,1367070.664115,1266646.039115,1365538.539115,161730.44270833334,988925,10.466666666666667
78,1367297.039115,1367297.039115,1379537.610544,1367297.039115,1379537.610544,14726.9375,85684,11.0
77,1345713.039115,1345713.039115,1384641.55694,1345713.039115,1383876.521225,225472.5,1311840,11.0
74,1317914.039115,1317914.039115,1391690.896258,1317914.039115,1391690.896258,85038.46875,516438,10.538461538461538
79,1385444.039115,1385444.039115,1396015.390466,1385444.039115,1396015.390466,59078.43749999999,391140,9.666666666666666
75,1324878.039115,1324878.039115,1456357.914645,1324878.039115,1399635.662798,369024.677734375,2318290,10.1875
82,1446467.039115,1446467.039115,1456465.372448,1446467.039115,1456465.372448,9998.333333333334,59990,10.666666666666666
84,1475350.039115,1475350.039115,1480339.500653,1475350.039115,1480339.500653,11148.328125,64863,11.0
