app_id,submit_time,service,num_jobs,sleep_time,model_name
0,0.0,2323172.0,1,0.0,TransformerModel256
1,364815.0,4842984.0,1,364815.0,VggnetModel256
2,2643284.0,79.0,1,2278469.0,Resnet50Model128
3,2643884.0,82.0,1,600.0,Resnet50Model128
4,2644401.0,27.148878890232197,2,517.0,ChatbotModel256
5,2644484.0,66.0,1,83.0,Resnet50Model128
6,2645085.0,77.0,1,601.0,TransformerModel256
7,2645684.0,71.0,1,599.0,Inception4Model256
8,2646285.0,69.0,1,601.0,DeepspeechModel64
9,2646885.0,74.0,1,600.0,ChatbotModel256
10,2647485.0,76.0,1,600.0,DcganModel256
11,2648084.0,70.0,1,599.0,VideopredictionModel64
12,2648685.0,80.0,1,601.0,VideopredictionModel64
13,2649284.0,74.0,1,599.0,GooglenetModel128
14,2649884.0,73.0,1,600.0,DcganModel256
15,2650484.0,77.0,1,600.0,ChatbotModel256
16,2651085.0,69.0,1,601.0,ChatbotModel256
17,2651684.0,75.0,1,599.0,VideopredictionModel64
18,2652285.0,75.0,1,601.0,GooglenetModel128
19,2652885.0,66.0,1,600.0,TransformerModel256
20,2653484.0,77.0,1,599.0,VideopredictionModel64
21,2654084.0,67.0,1,600.0,DeepspeechModel64
22,2654685.0,76.0,1,601.0,Resnet50Model128
23,2655284.0,62.00000000000001,1,599.0,VggnetModel256
24,2655885.0,67.0,1,601.0,Resnet50Model128
25,2656485.0,81.0,1,600.0,TransformerModel256
26,2657084.0,77.0,1,599.0,VggnetModel256
27,2657685.0,71.0,1,601.0,Inception4Model256
28,2658285.0,65.0,1,600.0,Resnet50Model128
29,2658884.0,74.0,1,599.0,VideopredictionModel64
30,2659485.0,71.0,1,601.0,GooglenetModel128
31,2660084.0,77.0,1,599.0,Resnet50Model128
32,2660685.0,70.0,1,601.0,Resnet50Model128
33,2661285.0,76.0,1,600.0,Resnet50Model128
34,2661885.0,72.0,1,600.0,ChatbotModel256
35,2662484.0,74.0,1,599.0,VggnetModel256
36,2662988.0,29.66506358875708,2,504.0,GooglenetModel128
37,2663085.0,78.0,1,97.0,VggnetModel256
38,2663685.0,75.0,1,600.0,DeepspeechModel64
39,2664285.0,76.0,1,600.0,ChatbotModel256
40,2664558.0,27.741207431970103,2,273.0,Resnet50Model128
41,2664688.0,1923.461084219106,8,130.0,DcganModel256
42,2664885.0,79.0,1,197.0,Inception4Model256
43,2665484.0,115.0,1,599.0,ChatbotModel256
44,2666085.0,79.0,1,601.0,Inception4Model256
45,2666685.0,72.0,1,600.0,VggnetModel256
46,2667285.0,81.0,1,600.0,VggnetModel256
47,2667885.0,72.0,1,600.0,DeepspeechModel64
48,2668485.0,75.0,1,600.0,TransformerModel256
49,2669085.0,79.0,1,600.0,TransformerModel256
50,2669685.0,78.0,1,600.0,DcganModel256
51,2670285.0,75.0,1,600.0,VideopredictionModel64
52,2670844.0,28.323513351631036,2,559.0,DeepspeechModel64
53,2670885.0,69.0,1,41.0,GooglenetModel128
54,2671485.0,70.0,1,600.0,DeepspeechModel64
55,2672085.0,76.0,1,600.0,VideopredictionModel64
56,2672685.0,79.0,1,600.0,GooglenetModel128
57,2673286.0,76.0,1,601.0,GooglenetModel128
58,2673884.0,72.0,1,598.0,ChatbotModel256
59,2674485.0,81.0,1,601.0,Resnet50Model128
60,2675085.0,76.0,1,600.0,DcganModel256
61,2675184.0,20.0044370770132,2,99.0,ChatbotModel256
62,2675275.0,33.19049894620879,2,91.0,Inception4Model256
63,2675685.0,66.0,1,410.0,VggnetModel256
64,2676285.0,82.0,1,600.0,Resnet50Model128
65,2676885.0,73.0,1,600.0,TransformerModel256
66,2677485.0,74.0,1,600.0,DeepspeechModel64
67,2678085.0,81.0,1,600.0,DeepspeechModel64
68,2678685.0,74.0,1,600.0,DcganModel256
69,2678694.0,28.323513351631036,2,9.0,DeepspeechModel64
70,2679285.0,81.0,1,591.0,DeepspeechModel64
71,2679885.0,68.0,1,600.0,Resnet50Model128
72,2680486.0,76.0,1,601.0,DeepspeechModel64
73,2681085.0,80.0,1,599.0,DeepspeechModel64
74,2681684.0,71.0,1,599.0,VideopredictionModel64
75,2682285.0,81.0,1,601.0,DeepspeechModel64
76,2682885.0,72.0,1,600.0,Resnet50Model128
77,2683485.0,79.0,1,600.0,ChatbotModel256
78,2683745.0,6519.0,1,260.0,TransformerModel256
79,2684085.0,71.0,1,340.0,TransformerModel256
80,2684685.0,63.0,1,600.0,VggnetModel256
81,2685285.0,69.0,1,600.0,GooglenetModel128
82,2685885.0,120.0,1,600.0,TransformerModel256
83,2686484.0,75.0,1,599.0,Resnet50Model128
84,2686681.0,30.94792455195491,2,197.0,VggnetModel256
85,2687085.0,84.0,1,404.0,TransformerModel256
86,2687685.0,76.0,1,600.0,VggnetModel256
87,2688285.0,78.0,1,600.0,GooglenetModel128
88,2688885.0,78.0,1,600.0,Inception4Model256
89,2689486.0,89.0,1,601.0,DeepspeechModel64
90,2690085.0,89.0,1,599.0,Inception4Model256
91,2690684.0,74.0,1,599.0,VggnetModel256
92,2691287.0,75.0,1,603.0,Resnet50Model128
93,2691885.0,73.0,1,598.0,Inception4Model256
94,2692486.0,72.0,1,601.0,VggnetModel256
95,2693086.0,77.0,1,600.0,ChatbotModel256
96,2693685.0,75.0,1,599.0,TransformerModel256
