app_id,submit_time,service,num_jobs,sleep_time,model_name
0,0.0,57.0,1,0.0,TransformerModel256
1,237.0,44.0,1,237.0,VggnetModel256
2,1159.0,48.0,1,922.0,Resnet50Model128
3,1873.0,59.0,1,714.0,Resnet50Model128
4,2415.0,87.0,1,542.0,ChatbotModel256
5,3117.0,65.0,1,702.0,Resnet50Model128
6,3346.0,62.00000000000001,1,229.0,TransformerModel256
7,3657.0,61.0,1,311.0,Inception4Model256
8,4041.0,1141.0,1,384.0,DeepspeechModel64
9,5257.0,42691.0,1,1216.0,ChatbotModel256
10,7355.0,288.0,1,2098.0,DcganModel256
11,7890.0,65.0,1,535.0,VideopredictionModel64
12,62295.0,49.0,1,54405.0,VideopredictionModel64
13,62662.0,28.999999999999996,1,367.0,GooglenetModel128
14,62683.0,42.0,1,21.0,DcganModel256
15,62686.0,40.0,1,3.0,ChatbotModel256
16,63201.0,58.0,1,515.0,ChatbotModel256
17,63503.0,48.0,1,302.0,VideopredictionModel64
18,63674.0,18368.0,1,171.0,GooglenetModel128
19,81752.0,1632.2101139132155,8,18078.0,TransformerModel256
20,82159.0,10661.950136446576,8,407.0,GooglenetModel128
21,82237.0,53.0,1,78.0,VideopredictionModel64
22,85212.0,16819.32438760516,8,2975.0,GooglenetModel128
23,85578.0,116255.02649705097,8,366.0,DeepspeechModel64
24,92610.0,52146.00327023699,4,7032.0,Resnet50Model128
25,148402.0,1964.5589586206422,4,55792.0,VggnetModel256
26,148404.0,43.45198522622346,4,2.0,Resnet50Model128
27,150165.0,646.3552051096333,8,1761.0,TransformerModel256
28,150533.0,4034.5769083620276,8,368.0,DcganModel256
29,152047.0,177.0,1,1514.0,VggnetModel256
30,152786.0,1088.4964885163522,4,739.0,Inception4Model256
31,153079.0,43.45198522622346,4,293.0,Resnet50Model128
32,153112.0,2019.46002621232,4,33.0,VideopredictionModel64
33,153486.0,1039.1258405379444,4,374.0,GooglenetModel128
34,153877.0,887.1446983687288,4,391.0,Resnet50Model128
35,153962.0,148.0,1,85.0,Resnet50Model128
36,154140.0,52156.866266543555,4,178.0,Resnet50Model128
37,172397.0,459.7541128133473,8,18257.0,DcganModel256
38,173163.0,396.3767593808201,8,766.0,VideopredictionModel64
39,173693.0,271181.50106749876,8,530.0,VggnetModel256
40,174130.0,1047.7060827722066,8,437.0,GooglenetModel128
41,174684.0,268050.27870626043,8,554.0,GooglenetModel128
42,175543.0,101156.86269760532,8,859.0,GooglenetModel128
43,175888.0,62757.112691967144,8,345.0,VideopredictionModel64
44,193383.0,195303.59423222207,8,17495.0,VggnetModel256
45,425763.0,1250.1113180472018,8,232380.0,VideopredictionModel64
46,1627333.0,134.0,1,1201570.0,DeepspeechModel64
47,1632114.0,85095.22987207278,8,4781.0,VideopredictionModel64
48,1706320.0,19936.84263394972,8,74206.0,Resnet50Model128
49,1709700.0,8406.932348586923,8,3380.0,DcganModel256
50,1711707.0,347262.5769014511,8,2007.0,Resnet50Model128
51,1795385.0,518.0,1,83678.0,Inception4Model256
52,1795611.0,383.0,1,226.0,ChatbotModel256
53,2847988.0,1159.0,1,1052377.0,Inception4Model256
54,2853697.0,322.0,1,5709.0,VggnetModel256
55,2873805.0,446.00000000000006,1,20108.0,VggnetModel256
56,2917184.0,294.0,1,43379.0,DeepspeechModel64
57,2920105.0,90694.0,1,2921.0,TransformerModel256
58,2921389.0,2114.531150746841,2,1284.0,TransformerModel256
59,2934959.0,3771.860272468686,8,13570.0,DcganModel256
60,3025695.0,7070.561576613566,8,90736.0,VggnetModel256
61,3027400.0,17.40041387172223,4,1705.0,DeepspeechModel64
62,3027497.0,89710.53367566084,8,97.0,GooglenetModel128
