app_id,submit_time,service,num_jobs,sleep_time,model_name
0,0.0,3998751.729312558,4,0.0,TransformerModel256
1,70024.0,5052170.892534079,8,70024.0,VggnetModel256
2,135296.0,4082089.510080025,4,65272.0,Resnet50Model128
3,178298.0,4006685.8317174516,4,43002.0,Resnet50Model128
4,265278.0,1770791.441485117,4,86980.0,ChatbotModel256
5,313422.0,1950994.136657433,4,48144.0,Resnet50Model128
6,318554.0,3758411.8832224933,8,5132.0,TransformerModel256
7,318802.0,4641347.419869659,8,248.0,Inception4Model256
8,319542.0,1779487.3333902908,8,740.0,DeepspeechModel64
9,319849.0,3246070.3012243155,8,307.0,VideopredictionModel64
10,320203.0,2965563.1332482724,16,354.0,VideopredictionModel64
11,323049.0,4995995.054686027,16,2846.0,GooglenetModel128
12,324143.0,4062001.2477582525,8,1094.0,VggnetModel256
13,324387.0,6128884.042542777,16,244.0,TransformerModel256
14,330439.0,6635521.686109245,8,6052.0,Inception4Model256
15,394438.0,6277250.229622655,16,63999.0,Inception4Model256
16,394610.0,2123977.157273887,16,172.0,VideopredictionModel64
17,394774.0,2279490.500204627,16,164.0,VideopredictionModel64
18,394933.0,4274648.481284178,16,159.0,GooglenetModel128
19,395522.0,3234173.431510278,8,589.0,GooglenetModel128
20,395836.0,6634490.151906235,8,314.0,TransformerModel256
21,400593.0,6072969.371939752,16,4757.0,Inception4Model256
22,400756.0,2622207.071379447,16,163.0,DcganModel256
23,400914.0,4181224.044408825,16,158.0,GooglenetModel128
24,401067.0,6980942.71540138,16,153.0,Inception4Model256
25,401222.0,1045826.0264970509,8,155.0,DeepspeechModel64
26,401376.0,3539886.599278525,8,154.0,Resnet50Model128
27,401530.0,4602730.546703893,8,154.0,VggnetModel256
28,401681.0,3984211.21589265,8,151.0,Resnet50Model128
29,504171.0,1513745.0193955975,4,102490.0,TransformerModel256
30,573378.0,3701277.757378318,4,69207.0,VggnetModel256
31,664358.0,3085.9999999999995,1,90980.0,Inception4Model256
32,664372.0,2631.0,1,14.0,Resnet50Model128
33,664544.0,2044.0000000000002,1,172.0,VideopredictionModel64
34,664555.0,2138.0,1,11.0,GooglenetModel128
35,671225.0,250.00000000000003,1,6670.0,Resnet50Model128
36,674938.0,8004.999999999999,1,3713.0,Resnet50Model128
37,686170.0,1198181.2506155742,4,11232.0,Resnet50Model128
38,686578.0,188.14188711061593,4,408.0,ChatbotModel256
39,686742.0,1689447.6854082106,4,164.0,VggnetModel256
40,737775.0,2510.0,1,51033.0,GooglenetModel128
41,737781.0,2470.0,1,6.0,VggnetModel256
42,737788.0,2281.0,1,7.0,DeepspeechModel64
43,737793.0,2304.0,1,5.0,ChatbotModel256
44,737803.0,2601.0,1,10.0,Resnet50Model128
45,737808.0,2119.0,1,5.0,Inception4Model256
46,737814.0,3002.0,1,6.0,ChatbotModel256
47,737821.0,3256.0,1,7.0,Inception4Model256
48,737830.0,2502.0,1,9.0,VggnetModel256
49,737837.0,2054.0,1,7.0,VggnetModel256
50,737844.0,2454.0,1,7.0,DeepspeechModel64
51,737849.0,2393.0,1,5.0,TransformerModel256
52,737855.0,2711.0,1,6.0,TransformerModel256
53,737861.0,2757.0,1,6.0,DcganModel256
54,737868.0,2733.0,1,7.0,VideopredictionModel64
55,737875.0,2754.0,1,7.0,DeepspeechModel64
56,737884.0,3228.0,1,9.0,GooglenetModel128
57,737891.0,2891.0,1,7.0,DeepspeechModel64
58,737896.0,2196.0,1,5.0,VideopredictionModel64
59,737902.0,2163.0,1,6.0,GooglenetModel128
60,737907.0,3110.0000000000005,1,5.0,GooglenetModel128
61,737912.0,2463.0,1,5.0,ChatbotModel256
62,737918.0,3044.0,1,6.0,Resnet50Model128
63,737924.0,2616.0,1,6.0,DcganModel256
64,737934.0,3421.0,1,10.0,ChatbotModel256
65,737941.0,2729.0,1,7.0,Inception4Model256
66,737946.0,2999.0,1,5.0,VggnetModel256
67,737952.0,3115.0,1,6.0,Resnet50Model128
68,737957.0,2354.0,1,5.0,TransformerModel256
