app_id,submit_time,service,num_jobs,sleep_time,model_name
0,0.0,2131982.9999999995,1,0.0,TransformerModel256
1,7.0,2131781.0,1,7.0,VggnetModel256
2,13.0,2131275.0,1,6.0,Resnet50Model128
3,21.0,2131855.9999999995,1,8.0,Resnet50Model128
4,27.0,2131898.9999999995,1,6.0,ChatbotModel256
5,34.0,2131821.0,1,7.0,Resnet50Model128
6,41.0,2131923.9999999995,1,7.0,TransformerModel256
7,47.0,2131657.0,1,6.0,Inception4Model256
8,54.0,2131583.9999999995,1,7.0,DeepspeechModel64
9,61.0,2131456.0,1,7.0,ChatbotModel256
10,68.0,2100449.0,1,7.0,DcganModel256
11,75.0,2131992.9999999995,1,7.0,VideopredictionModel64
12,82.0,2131628.9999999995,1,7.0,VideopredictionModel64
13,89.0,2131365.0,1,7.0,GooglenetModel128
14,95.0,2131722.9999999995,1,6.0,DcganModel256
15,101.0,2131396.0,1,6.0,ChatbotModel256
16,108.0,2132068.0,1,7.0,ChatbotModel256
17,114.0,2131429.9999999995,1,6.0,VideopredictionModel64
18,120.0,2130665.0,1,6.0,GooglenetModel128
19,128.0,2131209.9999999995,1,8.0,TransformerModel256
20,136.0,2131586.0,1,8.0,VideopredictionModel64
21,142.0,2131328.0,1,6.0,DeepspeechModel64
22,690761.0,13.0,1,690619.0,Resnet50Model128
23,690988.0,167.0,1,227.0,VggnetModel256
24,691875.0,167.0,1,887.0,Resnet50Model128
25,691877.0,19.0,1,2.0,TransformerModel256
26,692576.0,93929.0,1,699.0,VggnetModel256
27,693533.0,93926.0,1,957.0,Inception4Model256
28,700252.0,93766.0,1,6719.0,Resnet50Model128
29,702587.0,83714.0,1,2335.0,VideopredictionModel64
30,702691.0,47656.0,1,104.0,GooglenetModel128
31,702715.0,48164.0,1,24.0,Resnet50Model128
32,703872.0,37242.0,1,1157.0,Resnet50Model128
33,704225.0,42208.0,1,353.0,Resnet50Model128
34,704279.0,44431.0,1,54.0,ChatbotModel256
35,704345.0,44506.0,1,66.0,VggnetModel256
36,704390.0,44525.0,1,45.0,GooglenetModel128
37,863744.0,66.0,1,159354.0,VggnetModel256
38,863836.0,45.0,1,92.0,DeepspeechModel64
39,935511.0,58543.0,1,71675.0,ChatbotModel256
40,936386.0,59115.0,1,875.0,Resnet50Model128
41,937754.0,189.0,1,1368.0,Inception4Model256
42,937920.0,58491.0,1,166.0,ChatbotModel256
43,937949.0,58909.00000000001,1,29.0,Inception4Model256
44,938081.0,59373.99999999999,1,132.0,VggnetModel256
45,938113.0,59326.0,1,32.0,VggnetModel256
46,938142.0,147.0,1,29.0,DeepspeechModel64
47,938166.0,58726.0,1,24.0,TransformerModel256
48,938190.0,58585.0,1,24.0,TransformerModel256
49,938192.0,59117.0,1,2.0,DcganModel256
50,950582.0,59549.0,1,12390.0,VideopredictionModel64
51,958957.0,5.0,1,8375.0,DeepspeechModel64
52,959294.0,73249.0,1,337.0,GooglenetModel128
53,959635.0,14.999999999999998,1,341.0,DeepspeechModel64
54,959881.0,72118.0,1,246.0,VideopredictionModel64
55,960029.0,75394.0,1,148.0,GooglenetModel128
56,960056.0,75615.0,1,27.0,GooglenetModel128
57,960601.0,74168.0,1,545.0,ChatbotModel256
58,960625.0,74609.0,1,24.0,Resnet50Model128
59,960756.0,77010.0,1,131.0,DcganModel256
60,961107.0,2429.0,1,351.0,ChatbotModel256
61,961139.0,2554.0,1,32.0,Inception4Model256
62,961167.0,2561.0,1,28.0,VggnetModel256
63,968529.0,74437.0,1,7362.0,Resnet50Model128
64,968562.0,73421.0,1,33.0,TransformerModel256
65,968605.0,74518.0,1,43.0,DeepspeechModel64
66,968944.0,73635.0,1,339.0,DeepspeechModel64
67,973805.0,73035.0,1,4861.0,DcganModel256
68,973862.0,75425.0,1,57.0,DeepspeechModel64
69,973911.0,74213.0,1,49.0,DeepspeechModel64
70,973985.0,100391.0,1,74.0,Resnet50Model128
71,1019314.0,58071.0,1,45329.0,DeepspeechModel64
72,1025082.0,72505.0,1,5768.0,DeepspeechModel64
73,1045144.0,72545.0,1,20062.0,VideopredictionModel64
74,1045189.0,118448.0,1,45.0,DeepspeechModel64
75,1045336.0,74275.0,1,147.0,Resnet50Model128
76,1045400.0,76071.0,1,64.0,ChatbotModel256
77,1045446.0,126468.00000000001,1,46.0,TransformerModel256
78,1045552.0,75260.0,1,106.0,TransformerModel256
79,1115960.0,124239.0,1,70408.0,VggnetModel256
80,1126474.0,15.0,1,10514.0,GooglenetModel128
81,1126778.0,181.00000000000003,1,304.0,TransformerModel256
82,1127794.0,75721.0,1,1016.0,Resnet50Model128
83,1128497.0,75503.0,1,703.0,VggnetModel256
84,1141411.0,71382.0,1,12914.0,TransformerModel256
85,1363136.0,9.0,1,221725.0,VggnetModel256
86,1363302.0,161.0,1,166.0,GooglenetModel128
87,1363678.0,125852.0,1,376.0,Inception4Model256
88,1364078.0,128844.99999999999,1,400.0,DeepspeechModel64
89,1364234.0,123623.0,1,156.0,Inception4Model256
90,1364283.0,128400.99999999999,1,49.0,VggnetModel256
91,1364702.0,125958.0,1,419.0,Resnet50Model128
